VALEUR,#lisette,#celiante,#la-comtesse,#le-marquis,#le-baron,#champagne,#lucile,#monsieur-de-forlis,#le-laquais
Fréquences (scènes),0.22,0.18,0.22,0.42,0.58,0.02,0.26,0.26,0.02
Fréquences(répliques),0.08302583025830258,0.050276752767527674,0.11669741697416974,0.20249077490774908,0.31411439114391143,0.01014760147601476,0.06918819188191883,0.15313653136531366,0.0009225092250922509
Confrontation,0.10714285714285714,0.06547619047619048,0.11904761904761904,0.19642857142857142,0.23809523809523808,0.005952380952380952,0.13095238095238096,0.13095238095238096,0.005952380952380952
Déviations,#lisette,#celiante,#la-comtesse,#le-marquis,#le-baron,#champagne,#lucile,#monsieur-de-forlis,#le-laquais
#lisette,30.42,0.5254545454545455,0.07289256198347105,0.08320346320346322,1.790658307210031,0.22,0.4544055944055941,0.2586013986013988,0.22
#celiante,0.5254545454545455,33.62,0.5254545454545455,2.0445502645502645,1.9862835249042141,0.18,2.34,0.04940170940170936,0.18
#la-comtesse,0.07289256198347105,0.5254545454545455,30.42,0.03125541125541124,0.2984952978056426,0.22,0.2586013986013988,0.006853146853146821,0.22
#le-marquis,0.08320346320346322,2.0445502645502645,0.03125541125541124,16.819999999999997,0.11431855500821013,0.8009523809523812,0.43435897435897436,0.39040293040293034,0.41999999999999993
#le-baron,1.7906583072100306,1.9862835249042134,0.29849529780564227,0.11431855500820981,8.820000000000006,0.58,0.02806366047745369,0.8025994694960219,0.30413793103448283
#champagne,0.22,0.18,0.22,0.8009523809523812,0.58,48.019999999999996,0.26,0.26,0.02
#lucile,0.4544055944055945,2.34,0.2586013986013985,0.43435897435897436,0.02806366047745369,0.26,27.38000000000001,1.6758579881656803,0.26
#monsieur-de-forlis,0.2586013986013985,0.04940170940170936,0.006853146853146866,0.39040293040293034,0.8025994694960219,0.26,1.6758579881656803,27.38000000000001,0.26
#le-laquais,0.22,0.18,0.22,0.41999999999999993,0.30413793103448283,0.02,0.26,0.26,48.019999999999996
Successions,#lisette,#celiante,#la-comtesse,#le-marquis,#le-baron,#champagne,#lucile,#monsieur-de-forlis,#le-laquais
#lisette,0.0,0.4772727272727273,0.045454545454545456,0.09090909090909091,0.20454545454545456,0.0,0.13636363636363635,0.045454545454545456,0.0
#celiante,0.44,0.0,0.22,0.0,0.2,0.0,0.02,0.12,0.0
#la-comtesse,0.042105263157894736,0.11578947368421053,0.021052631578947368,0.14736842105263157,0.4,0.0,0.05263157894736842,0.22105263157894736,0.0
#le-marquis,0.013422818791946308,0.006711409395973154,0.10738255033557047,0.006711409395973154,0.5906040268456376,0.06711409395973154,0.1610738255033557,0.04697986577181208,0.0
#le-baron,0.032388663967611336,0.048582995951417005,0.15384615384615385,0.3481781376518219,0.016194331983805668,0.0,0.17813765182186234,0.21862348178137653,0.004048582995951417
#champagne,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#lucile,0.0875,0.0125,0.05,0.3625,0.4625,0.0,0.0,0.025,0.0
#monsieur-de-forlis,0.021739130434782608,0.043478260869565216,0.22826086956521738,0.05434782608695652,0.6521739130434783,0.0,0.0,0.0,0.0
#le-laquais,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
