VALEUR,#charilas,#mindate,#agis,#lisandre,#timee,#cleone,#leonide,#dorise,#hermodore,#trasimene
Fréquences (scènes),0.07142857142857142,0.21428571428571427,0.39285714285714285,0.42857142857142855,0.7142857142857143,0.32142857142857145,0.21428571428571427,0.03571428571428571,0.03571428571428571,0.17857142857142858
Fréquences(répliques),0.019852524106636415,0.06012478729438457,0.22064662507090188,0.1866137266023823,0.17697107203630175,0.25127623369256946,0.07146908678389109,0.0011344299489506524,0.0011344299489506524,0.010777084515031198
Confrontation,0.022388059701492536,0.06716417910447761,0.16417910447761194,0.1865671641791045,0.2462686567164179,0.13432835820895522,0.09701492537313433,0.014925373134328358,0.014925373134328358,0.05223880597014925
Déviations,#charilas,#mindate,#agis,#lisandre,#timee,#cleone,#leonide,#dorise,#hermodore,#trasimene
#charilas,24.142857142857146,5.761904761904762,0.7857142857142857,0.8571428571428571,0.1285714285714286,0.6428571428571429,0.42857142857142855,0.07142857142857142,0.07142857142857142,0.35714285714285715
#mindate,5.761904761904762,17.28571428571429,0.7813852813852814,0.07142857142857152,1.219047619047619,1.9285714285714288,0.06349206349206343,0.21428571428571427,0.21428571428571427,1.0714285714285714
#agis,0.7857142857142857,0.7813852813852814,10.321428571428573,0.35064935064935054,0.584415584415584,0.08116883116883127,0.7813852813852814,0.39285714285714285,0.39285714285714285,0.4733766233766235
#lisandre,0.8571428571428571,0.07142857142857152,0.35064935064935054,9.142857142857146,1.488095238095238,1.1904761904761898,0.793650793650794,0.42857142857142855,0.7619047619047619,2.142857142857143
#timee,0.12857142857142848,1.219047619047619,0.5844155844155846,1.488095238095238,2.285714285714285,0.028571428571428602,0.3857142857142856,0.11428571428571437,0.7142857142857142,0.5714285714285713
#cleone,0.6428571428571428,1.9285714285714284,0.08116883116883113,1.190476190476191,0.028571428571428602,12.89285714285714,0.00264550264550266,0.3214285714285714,0.3214285714285714,0.22936507936507938
#leonide,0.42857142857142855,0.06349206349206343,0.7813852813852814,0.793650793650794,0.3857142857142856,0.0026455026455026267,17.28571428571429,2.880952380952381,2.880952380952381,1.0714285714285714
#dorise,0.07142857142857142,0.21428571428571427,0.39285714285714285,0.42857142857142855,0.11428571428571427,0.32142857142857145,2.880952380952381,26.03571428571429,0.03571428571428571,0.17857142857142858
#hermodore,0.07142857142857142,0.21428571428571427,0.39285714285714285,0.7619047619047619,0.7142857142857143,0.32142857142857145,2.880952380952381,0.03571428571428571,26.03571428571429,0.17857142857142858
#trasimene,0.3571428571428571,1.0714285714285714,0.47337662337662334,2.142857142857143,0.5714285714285713,0.22936507936507938,1.0714285714285714,0.17857142857142855,0.17857142857142855,18.89285714285714
Successions,#charilas,#mindate,#agis,#lisandre,#timee,#cleone,#leonide,#dorise,#hermodore,#trasimene
#charilas,0.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
#mindate,0.5238095238095238,0.0,0.047619047619047616,0.14285714285714285,0.23809523809523808,0.0,0.047619047619047616,0.0,0.0,0.0
#agis,0.016666666666666666,0.016666666666666666,0.0,0.25,0.5,0.21666666666666667,0.0,0.0,0.0,0.0
#lisandre,0.0,0.07142857142857142,0.2714285714285714,0.0,0.014285714285714285,0.3142857142857143,0.3142857142857143,0.0,0.014285714285714285,0.0
#timee,0.0136986301369863,0.0547945205479452,0.3835616438356164,0.0410958904109589,0.0410958904109589,0.273972602739726,0.0821917808219178,0.0136986301369863,0.0,0.0958904109589041
#cleone,0.0,0.0,0.13846153846153847,0.4307692307692308,0.27692307692307694,0.0,0.12307692307692308,0.0,0.015384615384615385,0.015384615384615385
#leonide,0.0,0.0,0.05128205128205128,0.5384615384615384,0.15384615384615385,0.2564102564102564,0.0,0.0,0.0,0.0
#dorise,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#hermodore,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#dorise,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
