VALEUR,#locuteur-du-prologue,#brute,#premier-chef,#cassie,#titine,#le-genie,#porcie,#la-compagne,#marc-antoine,#second-chef,#troisieme-chef,#un-de-la-suite-d-antoine,#le-medecin,#pindare,#demetrie,#suite,#un-de-la-suite,#octave,#antoine,#le-soldat,#straton,#l-un-des-amis,#l-autre-ami,#premier-des-amis,#les-deux-amis
Fréquences (scènes),0.03333333333333333,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.26666666666666666,0.1,0.1,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.1,0.03333333333333333,0.03333333333333333,0.2,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.09169363538295577,0.27130528586839264,0.007011866235167206,0.06526429341963323,0.05771305285868392,0.0016181229773462784,0.17529665587918014,0.028586839266450916,0.041531823085221145,0.004314994606256742,0.004314994606256742,0.0005393743257820927,0.019417475728155338,0.019417475728155338,0.022114347357065803,0.0005393743257820927,0.0005393743257820927,0.07119741100323625,0.03182308522114347,0.05124056094929881,0.0296655879180151,0.002157497303128371,0.0010787486515641855,0.0010787486515641855,0.0005393743257820927
Confrontation,0.0,0.1349206349206349,0.06349206349206349,0.05555555555555555,0.06349206349206349,0.007936507936507936,0.05555555555555555,0.023809523809523808,0.047619047619047616,0.047619047619047616,0.047619047619047616,0.015873015873015872,0.015873015873015872,0.03968253968253968,0.05555555555555555,0.023809523809523808,0.023809523809523808,0.07142857142857142,0.06349206349206349,0.031746031746031744,0.031746031746031744,0.023809523809523808,0.023809523809523808,0.015873015873015872,0.015873015873015872
Déviations,#locuteur-du-prologue,#brute,#premier-chef,#cassie,#titine,#le-genie,#porcie,#la-compagne,#marc-antoine,#second-chef,#troisieme-chef,#un-de-la-suite-d-antoine,#le-medecin,#pindare,#demetrie,#suite,#un-de-la-suite,#octave,#antoine,#le-soldat,#straton,#l-un-des-amis,#l-autre-ami,#premier-des-amis,#les-deux-amis
#locuteur-du-prologue,28.03333333333333,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.26666666666666666,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#brute,0.36666666666666664,12.033333333333335,1.6030303030303032,0.14848484848484844,0.015151515151515166,1.093939393939394,0.2969696969696969,1.1,1.1,0.09696969696969701,0.09696969696969701,0.36666666666666664,0.36666666666666664,0.7333333333333333,1.1,1.093939393939394,1.093939393939394,2.2,1.8333333333333333,0.7333333333333333,2.187878787878788,1.093939393939394,1.093939393939394,0.36666666666666664,0.36666666666666664
#premier-chef,0.13333333333333333,1.6030303030303032,22.533333333333335,0.5333333333333333,0.6666666666666666,0.13333333333333333,1.0666666666666667,0.4000000000000001,0.8999999999999999,11.266666666666667,11.266666666666667,0.13333333333333333,0.13333333333333333,0.26666666666666666,0.4000000000000001,0.13333333333333333,0.13333333333333333,0.8000000000000002,0.6666666666666666,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
#cassie,0.13333333333333333,0.14848484848484844,0.5333333333333333,22.533333333333335,2.6666666666666674,0.13333333333333333,1.0666666666666667,0.4000000000000001,0.4000000000000001,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,11.266666666666667,6.400000000000001,0.13333333333333333,0.13333333333333333,0.8000000000000002,0.6666666666666666,0.26666666666666666,0.26666666666666666,0.13333333333333333,0.13333333333333333,0.13333333333333333,0.13333333333333333
#titine,0.16666666666666666,0.015151515151515166,0.6666666666666666,2.6666666666666674,20.83333333333334,0.16666666666666666,1.3333333333333333,0.5,0.5,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,1.3333333333333337,0.5,4.166666666666668,4.166666666666668,1.0,0.8333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#le-genie,0.03333333333333333,1.093939393939394,0.13333333333333333,0.13333333333333333,0.16666666666666666,28.03333333333333,0.26666666666666666,0.10000000000000002,0.10000000000000002,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.06666666666666667,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#porcie,0.26666666666666666,0.2969696969696969,1.0666666666666667,1.0666666666666667,1.3333333333333333,0.26666666666666666,16.133333333333336,6.050000000000001,0.8000000000000002,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.26666666666666666,0.5333333333333333,0.8000000000000002,0.26666666666666666,0.26666666666666666,1.6000000000000003,1.3333333333333333,0.5333333333333333,0.5333333333333333,0.26666666666666666,0.26666666666666666,2.016666666666667,2.016666666666667
#la-compagne,0.10000000000000002,1.0999999999999999,0.4000000000000001,0.4000000000000001,0.5,0.10000000000000002,6.050000000000001,24.3,0.30000000000000004,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.20000000000000004,0.30000000000000004,0.10000000000000002,0.10000000000000002,0.6000000000000001,0.5,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#marc-antoine,0.10000000000000002,1.0999999999999999,0.8999999999999999,0.4000000000000001,0.5,0.10000000000000002,0.8000000000000002,0.30000000000000004,24.3,3.2000000000000006,3.2000000000000006,8.1,8.1,0.20000000000000004,0.30000000000000004,0.10000000000000002,0.10000000000000002,0.2666666666666665,0.5,0.20000000000000004,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#second-chef,0.06666666666666667,0.09696969696969701,11.266666666666667,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.5333333333333333,0.20000000000000004,3.2000000000000006,26.133333333333336,26.133333333333336,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#second-chef,0.06666666666666667,0.09696969696969701,11.266666666666667,0.26666666666666666,0.3333333333333333,0.06666666666666667,0.5333333333333333,0.20000000000000004,3.2000000000000006,26.133333333333336,26.133333333333336,0.06666666666666667,0.06666666666666667,0.13333333333333333,0.20000000000000004,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#un-de-la-suite-d-antoine,0.03333333333333333,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.26666666666666666,0.10000000000000002,8.1,0.06666666666666667,0.06666666666666667,28.03333333333333,28.03333333333333,0.06666666666666667,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#un-de-la-suite-d-antoine,0.03333333333333333,0.36666666666666664,0.13333333333333333,0.13333333333333333,0.16666666666666666,0.03333333333333333,0.26666666666666666,0.10000000000000002,8.1,0.06666666666666667,0.06666666666666667,28.03333333333333,28.03333333333333,0.06666666666666667,0.10000000000000002,0.03333333333333333,0.03333333333333333,0.20000000000000004,0.16666666666666666,0.06666666666666667,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
#pindare,0.06666666666666667,0.7333333333333333,0.26666666666666666,11.266666666666667,1.3333333333333337,0.06666666666666667,0.5333333333333333,0.20000000000000004,0.20000000000000004,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,26.133333333333336,16.2,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.3333333333333333,0.13333333333333333,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
