VALEUR,#euthar,#theodat,#amalasonte,#gepilde,#valmire,#ildegonde,#honoric,#ataulphe
Fréquences (scènes),0.14285714285714285,0.5357142857142857,0.6071428571428571,0.17857142857142858,0.10714285714285714,0.4642857142857143,0.17857142857142858,0.07142857142857142
Fréquences(répliques),0.053283100107642624,0.2938643702906351,0.3223896663078579,0.024757804090419805,0.030139935414424113,0.2238966630785791,0.041442411194833155,0.01022604951560818
Confrontation,0.06666666666666667,0.24444444444444444,0.25555555555555554,0.06666666666666667,0.03333333333333333,0.2111111111111111,0.08888888888888889,0.03333333333333333
Déviations,#euthar,#theodat,#amalasonte,#gepilde,#valmire,#ildegonde,#honoric,#ataulphe
#euthar,20.571428571428577,1.6095238095238096,2.4285714285714284,0.7142857142857143,0.42857142857142855,0.010989010989010978,0.7142857142857143,0.2857142857142857
#theodat,1.6095238095238096,6.035714285714288,0.13459383753501372,2.678571428571429,1.607142857142857,0.15402930402930398,0.171904761904762,1.0714285714285714
#amalasonte,2.4285714285714284,0.1345938375350141,4.321428571428572,1.271008403361345,1.8214285714285714,1.9200064641241115,0.3063025210084035,0.508403361344538
#gepilde,0.7142857142857142,2.6785714285714284,1.271008403361345,18.89285714285714,0.5357142857142857,2.3214285714285716,0.8928571428571429,1.1571428571428575
#valmire,0.42857142857142855,1.6071428571428572,1.8214285714285714,0.5357142857142857,22.321428571428577,1.8543956043956047,0.5357142857142857,0.21428571428571427
#ildegonde,0.010989010989011016,0.15402930402930398,1.9200064641241108,2.3214285714285716,1.8543956043956047,8.035714285714286,0.044505494505494556,0.9285714285714285
#honoric,0.7142857142857142,0.1719047619047618,0.3063025210084035,0.8928571428571429,0.5357142857142857,0.044505494505494556,18.89285714285714,0.3571428571428571
#ataulphe,0.2857142857142857,1.0714285714285714,0.508403361344538,1.1571428571428568,0.21428571428571427,0.9285714285714286,0.35714285714285715,24.142857142857146
Successions,#euthar,#theodat,#amalasonte,#gepilde,#valmire,#ildegonde,#honoric,#ataulphe
#euthar,0.0,0.875,0.0,0.0,0.0,0.125,0.0,0.0
#theodat,0.16279069767441862,0.0,0.38372093023255816,0.011627906976744186,0.0,0.4186046511627907,0.023255813953488372,0.0
#amalasonte,0.013888888888888888,0.5,0.06944444444444445,0.125,0.0,0.1388888888888889,0.09722222222222222,0.05555555555555555
#gepilde,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#valmire,0.0,0.0,0.05555555555555555,0.0,0.0,0.9444444444444444,0.0,0.0
#ildegonde,0.029411764705882353,0.5147058823529411,0.16176470588235295,0.0,0.25,0.0,0.04411764705882353,0.0
#honoric,0.0,0.0,0.6666666666666666,0.0,0.08333333333333333,0.25,0.0,0.0
#gepilde,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
