VALEUR,#mercure,#la-cabale,#apollon,#l-auteur-comique,#l-auteur-tragique,#la-critique,#melpomene,#thalie,#le-genie-de-corneille,#le-genie-de-moliere,#l-acteur-tragique,#l-acteur-comique
Fréquences (scènes),0.8888888888888888,0.1111111111111111,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
Fréquences(répliques),0.18658280922431866,0.08385744234800839,0.24737945492662475,0.10062893081761007,0.0880503144654088,0.0880503144654088,0.04821802935010482,0.033542976939203356,0.04612159329140461,0.06079664570230608,0.008385744234800839,0.008385744234800839
Confrontation,0.16666666666666666,0.010416666666666666,0.19791666666666666,0.0625,0.0625,0.08333333333333333,0.10416666666666667,0.10416666666666667,0.0625,0.0625,0.041666666666666664,0.041666666666666664
Déviations,#mercure,#la-cabale,#apollon,#l-auteur-comique,#l-auteur-tragique,#la-critique,#melpomene,#thalie,#le-genie-de-corneille,#le-genie-de-moliere,#l-acteur-tragique,#l-acteur-comique
#mercure,0.11111111111111122,0.013888888888888902,0.020833333333333297,0.027777777777777804,0.027777777777777804,0.027777777777777804,0.3402777777777777,0.3402777777777777,0.013888888888888902,0.013888888888888902,0.8888888888888888,0.8888888888888888
#la-cabale,0.013888888888888902,7.111111111111111,0.6666666666666666,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.1111111111111111
#apollon,0.020833333333333297,0.6666666666666666,1.0,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.1666666666666667
#l-auteur-comique,0.027777777777777804,0.2222222222222222,0.3333333333333334,5.444444444444445,5.444444444444445,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#l-auteur-comique,0.027777777777777804,0.2222222222222222,0.3333333333333334,5.444444444444445,5.444444444444445,0.4444444444444444,0.4444444444444444,0.4444444444444444,0.2222222222222222,0.2222222222222222,0.2222222222222222,0.2222222222222222
#la-critique,0.027777777777777804,0.2222222222222222,0.3333333333333334,0.4444444444444444,0.4444444444444444,5.444444444444445,0.6944444444444445,0.6944444444444445,2.7222222222222223,2.7222222222222223,0.2222222222222222,0.2222222222222222
#melpomene,0.3402777777777777,0.2222222222222222,0.3333333333333334,0.4444444444444444,0.4444444444444444,0.6944444444444445,5.444444444444445,5.444444444444445,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223
#melpomene,0.3402777777777777,0.2222222222222222,0.3333333333333334,0.4444444444444444,0.4444444444444444,0.6944444444444445,5.444444444444445,5.444444444444445,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223
#le-genie-de-corneille,0.013888888888888902,0.1111111111111111,0.1666666666666667,0.2222222222222222,0.2222222222222222,2.7222222222222223,2.7222222222222223,2.7222222222222223,7.111111111111111,7.111111111111111,0.1111111111111111,0.1111111111111111
