VALEUR,#ormin,#zegry,#alabez,#charife,#fatime,#almansor,#zaïde,#medine,#adibar,#gasul,#gomelle,#lindarache
Fréquences (scènes),0.38461538461538464,0.3333333333333333,0.15384615384615385,0.20512820512820512,0.20512820512820512,0.41025641025641024,0.2564102564102564,0.05128205128205128,0.1794871794871795,0.05128205128205128,0.10256410256410256,0.05128205128205128
Fréquences(répliques),0.13749277874061236,0.20161756210283074,0.03466204506065858,0.0415944540727903,0.08261120739456962,0.22992489890236859,0.1288272674754477,0.019641825534373193,0.05834777585210861,0.00462160600808781,0.025418833044482957,0.035239745811669554
Confrontation,0.14516129032258066,0.13440860215053763,0.07526881720430108,0.07526881720430108,0.10215053763440861,0.13440860215053763,0.0967741935483871,0.010752688172043012,0.0967741935483871,0.021505376344086023,0.05913978494623656,0.04838709677419355
Déviations,#ormin,#zegry,#alabez,#charife,#fatime,#almansor,#zaïde,#medine,#adibar,#gasul,#gomelle,#lindarache
#ormin,14.769230769230766,3.2,1.2410256410256404,1.2019230769230773,0.0019230769230769097,2.8038461538461537,2.1061538461538456,0.7692307692307692,1.063736263736264,0.7692307692307692,0.1884615384615384,0.06923076923076928
#zegry,3.2,17.33333333333334,0.0,1.0416666666666665,0.1666666666666666,0.020833333333333297,0.5333333333333331,0.6666666666666666,0.04761904761904766,0.6666666666666666,0.0833333333333333,0.1666666666666667
#alabez,1.2410256410256404,0.0,27.92307692307692,6.23076923076923,0.04326923076923079,0.8677884615384617,1.5384615384615383,0.3076923076923077,0.005494505494505487,1.5576923076923075,0.6153846153846154,0.3076923076923077
#charife,1.2019230769230766,1.0416666666666665,6.23076923076923,24.641025641025642,3.3910256410256414,3.282051282051282,2.051282051282051,0.41025641025641024,1.435897435897436,0.41025641025641024,0.8205128205128205,0.41025641025641024
#fatime,0.0019230769230769314,0.1666666666666666,0.04326923076923079,3.3910256410256414,24.641025641025642,1.5867387820512822,0.43878205128205144,0.41025641025641024,1.7037545787545787,0.41025641025641024,0.039262820512820526,0.8477564102564104
#almansor,2.803846153846154,0.020833333333333297,0.8677884615384617,3.282051282051282,1.5867387820512822,13.564102564102566,0.0025641025641025463,0.8205128205128205,0.4432234432234432,1.6955128205128207,3.3910256410256414,1.6955128205128207
#zaïde,2.1061538461538465,0.5333333333333331,1.5384615384615385,2.051282051282051,0.43878205128205144,0.0025641025641025463,21.564102564102566,4.3128205128205135,2.7091575091575093,0.5128205128205128,0.0006410256410256366,0.46282051282051295
#medine,0.7692307692307693,0.6666666666666666,0.3076923076923077,0.41025641025641024,0.41025641025641024,0.8205128205128205,4.3128205128205135,35.1025641025641,0.358974358974359,0.10256410256410256,0.20512820512820512,0.10256410256410256
#adibar,1.063736263736264,0.04761904761904754,0.0054945054945055175,1.435897435897436,1.7037545787545787,0.4432234432234432,2.7091575091575097,0.358974358974359,26.256410256410255,1.1446886446886444,0.1108058608058608,1.1446886446886444
#gasul,0.7692307692307693,0.6666666666666666,1.5576923076923075,0.41025641025641024,0.41025641025641024,1.6955128205128207,0.5128205128205128,0.10256410256410256,1.1446886446886444,35.1025641025641,0.20512820512820512,0.10256410256410256
#gomelle,0.1884615384615385,0.0833333333333333,0.6153846153846154,0.8205128205128205,0.039262820512820526,3.3910256410256414,0.0006410256410256366,0.20512820512820512,0.1108058608058608,0.20512820512820512,31.410256410256412,15.705128205128206
#lindarache,0.0692307692307692,0.1666666666666667,0.3076923076923077,0.41025641025641024,0.8477564102564104,1.6955128205128207,0.46282051282051295,0.10256410256410256,1.1446886446886444,0.10256410256410256,15.705128205128206,35.1025641025641
Successions,#ormin,#zegry,#alabez,#charife,#fatime,#almansor,#zaïde,#medine,#adibar,#gasul,#gomelle,#lindarache
#ormin,0.016129032258064516,0.6129032258064516,0.04838709677419355,0.1935483870967742,0.0967741935483871,0.0,0.0,0.0,0.0,0.0,0.016129032258064516,0.016129032258064516
#zegry,0.3018867924528302,0.0,0.10377358490566038,0.0,0.05660377358490566,0.3584905660377358,0.1320754716981132,0.0,0.018867924528301886,0.009433962264150943,0.018867924528301886,0.0
#alabez,0.058823529411764705,0.35294117647058826,0.0,0.4117647058823529,0.11764705882352941,0.029411764705882353,0.0,0.0,0.0,0.029411764705882353,0.0,0.0
#charife,0.4117647058823529,0.0,0.29411764705882354,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#fatime,0.1568627450980392,0.0392156862745098,0.1568627450980392,0.1568627450980392,0.0,0.0,0.2549019607843137,0.0,0.21568627450980393,0.0,0.0196078431372549,0.0
#almansor,0.0234375,0.2578125,0.0078125,0.0,0.0,0.0078125,0.3671875,0.0,0.0546875,0.0390625,0.15625,0.0859375
#zaïde,0.009708737864077669,0.14563106796116504,0.0,0.0,0.13592233009708737,0.4368932038834951,0.0,0.1262135922330097,0.14563106796116504,0.0,0.0,0.0
#medine,0.0,0.07692307692307693,0.0,0.0,0.0,0.0,0.9230769230769231,0.0,0.0,0.0,0.0,0.0
#adibar,0.0,0.075,0.0,0.0,0.25,0.2,0.4,0.0,0.025,0.0,0.025,0.025
#gasul,0.0,0.0,0.14285714285714285,0.0,0.0,0.7142857142857143,0.0,0.0,0.14285714285714285,0.0,0.0,0.0
#gomelle,0.0,0.0,0.0,0.0,0.038461538461538464,0.8461538461538461,0.0,0.0,0.07692307692307693,0.0,0.0,0.038461538461538464
#lindarache,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.5714285714285714,0.07142857142857142,0.0,0.07142857142857142,0.0,0.07142857142857142,0.0
