VALEUR,#themire,#madame-clopin,#madame-clopin #themire,#le-marquis,#monsieur-clopin,#themire #madame-clopin,#julie,#lindor,#la-deputee,#le-depute,#madame-clopin #la-deputee,#madame-copin,#le-marquis #monsieur-clopin
Fréquences (scènes),0.8333333333333334,0.75,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.20489296636085627,0.12691131498470948,0.0030581039755351682,0.15137614678899083,0.09785932721712538,0.0045871559633027525,0.1437308868501529,0.11314984709480122,0.04281345565749235,0.0963302752293578,0.0045871559633027525,0.0045871559633027525,0.0061162079510703364
Confrontation,0.1715686274509804,0.16666666666666666,0.00980392156862745,0.10294117647058823,0.09803921568627451,0.0196078431372549,0.10784313725490197,0.09313725490196079,0.0392156862745098,0.10294117647058823,0.024509803921568627,0.029411764705882353,0.03431372549019608
Déviations,#themire,#madame-clopin,#madame-clopin #themire,#le-marquis,#monsieur-clopin,#themire #madame-clopin,#julie,#lindor,#la-deputee,#le-depute,#madame-clopin #la-deputee,#madame-copin,#le-marquis #monsieur-clopin
#themire,0.3333333333333331,0.3,0.03333333333333337,0.00666666666666669,0.03333333333333328,0.03333333333333337,0.004761904761904728,0.03333333333333328,0.06666666666666674,0.03333333333333328,0.03333333333333337,0.03333333333333337,0.03333333333333337
#madame-clopin,0.3,0.75,0.08333333333333333,0.15,0.0,0.08333333333333333,0.10714285714285714,0.0,0.16666666666666666,0.0,0.08333333333333333,0.08333333333333333,0.08333333333333333
#madame-clopin #themire,0.03333333333333332,0.08333333333333333,10.083333333333332,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#le-marquis,0.00666666666666669,0.15,0.41666666666666663,4.083333333333332,3.2666666666666675,0.8166666666666669,1.2595238095238097,1.0666666666666669,0.8333333333333333,1.0666666666666669,0.41666666666666663,0.8166666666666669,0.8166666666666669
#monsieur-clopin,0.03333333333333336,0.0,0.3333333333333333,3.2666666666666657,5.333333333333335,1.3333333333333337,0.761904761904762,2.083333333333334,0.6666666666666666,2.083333333333334,0.3333333333333333,1.3333333333333337,1.3333333333333337
#themire #madame-clopin,0.03333333333333332,0.08333333333333333,0.08333333333333333,0.8166666666666664,1.3333333333333337,10.083333333333332,0.5833333333333334,0.3333333333333333,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#julie,0.004761904761904728,0.10714285714285714,0.5833333333333333,1.2595238095238097,0.7619047619047616,0.5833333333333333,2.083333333333332,0.04761904761904754,0.5952380952380955,0.04761904761904754,0.2976190476190477,0.5833333333333333,0.2976190476190477
#lindor,0.03333333333333336,0.0,0.3333333333333333,1.0666666666666667,2.083333333333334,0.3333333333333333,0.04761904761904766,5.333333333333335,0.6666666666666666,2.083333333333334,0.3333333333333333,1.3333333333333337,1.3333333333333337
#la-deputee,0.06666666666666664,0.16666666666666666,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.5952380952380951,0.6666666666666666,8.333333333333336,0.1666666666666667,4.166666666666668,0.16666666666666666,0.16666666666666666
#le-depute,0.03333333333333336,0.0,0.3333333333333333,1.0666666666666667,2.083333333333334,0.3333333333333333,0.04761904761904766,2.083333333333334,0.1666666666666667,5.333333333333335,1.3333333333333337,1.3333333333333337,1.3333333333333337
#madame-clopin #la-deputee,0.03333333333333332,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.29761904761904756,0.3333333333333333,4.166666666666668,1.3333333333333337,10.083333333333332,0.08333333333333333,0.08333333333333333
#madame-copin,0.03333333333333332,0.08333333333333333,0.08333333333333333,0.8166666666666664,1.3333333333333337,0.08333333333333333,0.5833333333333334,1.3333333333333337,0.16666666666666666,1.3333333333333337,0.08333333333333333,10.083333333333332,0.08333333333333333
#le-marquis #monsieur-clopin,0.03333333333333332,0.08333333333333333,0.08333333333333333,0.8166666666666664,1.3333333333333337,0.08333333333333333,0.29761904761904756,1.3333333333333337,0.16666666666666666,1.3333333333333337,0.08333333333333333,0.08333333333333333,10.083333333333332
Successions,#themire,#madame-clopin,#madame-clopin #themire,#le-marquis,#monsieur-clopin,#themire #madame-clopin,#julie,#lindor,#la-deputee,#le-depute,#madame-clopin #la-deputee,#madame-copin,#le-marquis #monsieur-clopin
#themire,0.0,0.29411764705882354,0.0,0.2647058823529412,0.029411764705882353,0.029411764705882353,0.11764705882352941,0.08823529411764706,0.08823529411764706,0.08823529411764706,0.0,0.0,0.0
#madame-clopin,0.3333333333333333,0.0,0.027777777777777776,0.05555555555555555,0.19444444444444445,0.0,0.1388888888888889,0.1111111111111111,0.05555555555555555,0.08333333333333333,0.0,0.0,0.0
#madame-clopin #themire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.20833333333333334,0.16666666666666666,0.0,0.0,0.25,0.0,0.0,0.20833333333333334,0.0,0.125,0.0,0.0,0.041666666666666664
#monsieur-clopin,0.10526315789473684,0.3684210526315789,0.0,0.3157894736842105,0.0,0.05263157894736842,0.0,0.05263157894736842,0.0,0.10526315789473684,0.0,0.0,0.0
#themire #madame-clopin,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#julie,0.2857142857142857,0.35714285714285715,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.0,0.21428571428571427,0.0,0.0,0.0
#lindor,0.16666666666666666,0.2777777777777778,0.0,0.2222222222222222,0.16666666666666666,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.05555555555555555,0.0
