VALEUR,#alcipe,#philiste,#thalie,#ariste,#melpomene,#cliton,#le-grec,#le-romain,#rodrigue,#le-temps
Fréquences (scènes),0.4,0.1,0.7,0.1,0.5,0.1,0.1,0.1,0.1,0.1
Fréquences(répliques),0.20876826722338204,0.08559498956158663,0.21711899791231734,0.05010438413361169,0.2839248434237996,0.012526096033402923,0.018789144050104383,0.012526096033402923,0.014613778705636743,0.09603340292275574
Confrontation,0.08333333333333333,0.027777777777777776,0.25,0.027777777777777776,0.25,0.05555555555555555,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.05555555555555555
Déviations,#alcipe,#philiste,#thalie,#ariste,#melpomene,#cliton,#le-grec,#le-romain,#rodrigue,#le-temps
#alcipe,3.5999999999999996,0.8999999999999999,0.22857142857142848,0.4000000000000001,2.0,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001
#philiste,0.8999999999999999,8.1,0.7,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#thalie,0.2285714285714287,0.7000000000000001,0.9000000000000005,0.1285714285714285,0.07142857142857142,0.1285714285714285,0.7000000000000001,0.7000000000000001,0.7000000000000001,0.1285714285714285
#ariste,0.4000000000000001,0.10000000000000002,0.12857142857142861,8.1,0.5,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#melpomene,2.0,0.5,0.07142857142857142,0.5,2.5,0.5,0.5,0.5,0.5,0.5
#cliton,0.4000000000000001,0.10000000000000002,0.12857142857142861,0.10000000000000002,0.5,8.1,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-grec,0.4000000000000001,0.10000000000000002,0.7,0.10000000000000002,0.5,0.10000000000000002,8.1,8.1,8.1,0.10000000000000002
#le-grec,0.4000000000000001,0.10000000000000002,0.7,0.10000000000000002,0.5,0.10000000000000002,8.1,8.1,8.1,0.10000000000000002
#le-grec,0.4000000000000001,0.10000000000000002,0.7,0.10000000000000002,0.5,0.10000000000000002,8.1,8.1,8.1,0.10000000000000002
#le-temps,0.4000000000000001,0.10000000000000002,0.12857142857142861,0.10000000000000002,0.5,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,8.1
Successions,#alcipe,#philiste,#thalie,#ariste,#melpomene,#cliton,#le-grec,#le-romain,#rodrigue,#le-temps
#alcipe,0.08,0.56,0.36,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#philiste,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thalie,0.3125,0.0,0.03125,0.1875,0.3125,0.03125,0.0,0.0,0.0,0.125
#ariste,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melpomene,0.0,0.0,0.5625,0.0,0.0,0.0625,0.0625,0.0625,0.0625,0.1875
#ariste,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ariste,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-romain,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-romain,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#le-temps,0.0,0.0,0.4444444444444444,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.2222222222222222
