VALEUR,#roxane,#hezionne,#arbate,#perdicas,#seleucus,#cassander,#oroondate,#statira,#le-garde
Fréquences (scènes),0.7631578947368421,0.3157894736842105,0.18421052631578946,0.15789473684210525,0.07894736842105263,0.15789473684210525,0.34210526315789475,0.18421052631578946,0.02631578947368421
Fréquences(répliques),0.37934560327198363,0.04294478527607362,0.05623721881390593,0.08231083844580778,0.034764826175869123,0.05930470347648262,0.22597137014314927,0.11809815950920245,0.0010224948875255625
Confrontation,0.28125,0.125,0.09375,0.0859375,0.0546875,0.0625,0.1640625,0.1171875,0.015625
Déviations,#roxane,#hezionne,#arbate,#perdicas,#seleucus,#cassander,#oroondate,#statira,#le-garde
#roxane,2.1315789473684212,0.0774349667271629,0.02190821882291936,0.03871748336358145,0.036600120992135464,0.07320024198427093,1.5496998464330585,1.0268343271973037,0.07350272232304905
#hezionne,0.07743496672716256,17.789473684210527,0.6629072681704258,1.894736842105263,0.9473684210526315,1.894736842105263,0.2975708502024293,0.6629072681704258,1.4824561403508774
#arbate,0.02190821882291936,0.6629072681704258,25.289473684210524,0.010025062656641583,0.5526315789473684,1.1052631578947367,0.15297860034702132,0.39151450053705694,0.18421052631578946
#perdicas,0.03871748336358128,1.894736842105263,0.010025062656641583,26.94736842105263,0.5847953216374271,0.0029239766081871404,0.5398110661268557,0.7243107769423561,0.15789473684210525
#seleucus,0.03660012099213556,0.9473684210526315,0.5526315789473684,0.5847953216374271,32.23684210526316,0.5847953216374271,0.0006747638326585737,3.790726817042607,0.07894736842105263
#cassander,0.07320024198427112,1.894736842105263,1.1052631578947367,0.0029239766081871404,0.5847953216374271,26.94736842105263,0.0013495276653171474,1.1052631578947367,0.15789473684210525
#oroondate,1.5496998464330596,0.2975708502024289,0.15297860034702157,0.5398110661268554,0.0006747638326585624,0.0013495276653171248,16.44736842105263,2.834297281665704,0.3421052631578947
#statira,1.0268343271973037,0.6629072681704258,0.39151450053705694,0.7243107769423561,3.790726817042607,1.1052631578947367,2.8342972816657026,25.289473684210524,0.18421052631578946
#le-garde,0.07350272232304897,1.4824561403508774,0.18421052631578946,0.15789473684210525,0.07894736842105263,0.15789473684210525,0.34210526315789475,0.18421052631578946,36.02631578947369
Successions,#roxane,#hezionne,#arbate,#perdicas,#seleucus,#cassander,#oroondate,#statira,#le-garde
#roxane,0.05357142857142857,0.13095238095238096,0.1488095238095238,0.18452380952380953,0.05952380952380952,0.10119047619047619,0.24404761904761904,0.07142857142857142,0.005952380952380952
#hezionne,0.7931034482758621,0.0,0.0,0.0,0.0,0.0,0.20689655172413793,0.0,0.0
#arbate,0.8571428571428571,0.03571428571428571,0.0,0.03571428571428571,0.0,0.0,0.07142857142857142,0.0,0.0
#perdicas,0.631578947368421,0.0,0.0,0.0,0.10526315789473684,0.0,0.03508771929824561,0.22807017543859648,0.0
#seleucus,0.46153846153846156,0.0,0.0,0.19230769230769232,0.0,0.15384615384615385,0.19230769230769232,0.0,0.0
#cassander,0.6153846153846154,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0
#oroondate,0.36363636363636365,0.05454545454545454,0.02727272727272727,0.02727272727272727,0.045454545454545456,0.03636363636363636,0.0,0.44545454545454544,0.0
#statira,0.12,0.0,0.0,0.2,0.013333333333333334,0.0,0.6533333333333333,0.013333333333333334,0.0
#le-garde,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
