VALEUR,#nicolas,#patafflard,#thomas #mathurin,#mathurin,#thomas,#racine,#tous,#ensemble,#choeur,#nicette,#mimi
Fréquences (scènes),0.46153846153846156,0.6923076923076923,0.07692307692307693,0.5384615384615384,0.6153846153846154,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693
Fréquences(répliques),0.0,0.0,0.0,0.07407407407407407,0.07407407407407407,0.4074074074074074,0.0,0.0,0.10185185185185185,0.14814814814814814,0.19444444444444445
Confrontation,0.12121212121212122,0.1590909090909091,0.015151515151515152,0.13636363636363635,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.06818181818181818,0.045454545454545456,0.045454545454545456
Déviations,#nicolas,#patafflard,#thomas #mathurin,#mathurin,#thomas,#racine,#tous,#ensemble,#choeur,#nicette,#mimi
#nicolas,3.7692307692307696,0.32051282051282026,0.6282051282051281,0.1831501831501831,0.025641025641025605,0.006410256410256401,0.006410256410256401,0.6282051282051281,0.006410256410256401,0.46153846153846156,0.46153846153846156
#patafflard,0.3205128205128207,1.2307692307692306,0.13675213675213677,0.14774114774114763,0.05235042735042733,0.27350427350427353,0.27350427350427353,0.13675213675213677,0.10683760683760682,0.13675213675213677,0.13675213675213677
#thomas #mathurin,0.6282051282051281,0.13675213675213677,11.076923076923078,0.5384615384615384,0.6153846153846154,0.15384615384615385,0.15384615384615385,0.07692307692307693,0.15384615384615385,0.07692307692307693,0.07692307692307693
#mathurin,0.1831501831501831,0.14774114774114763,0.5384615384615385,2.7692307692307696,0.6648351648351642,0.0054945054945055175,0.0054945054945055175,0.3956043956043954,0.0054945054945055175,0.5384615384615385,0.5384615384615385
#thomas,0.025641025641025605,0.05235042735042733,0.6153846153846154,0.664835164835165,1.9230769230769227,0.48076923076923067,0.48076923076923067,0.24038461538461534,0.48076923076923067,0.24038461538461534,0.24038461538461534
#racine,0.006410256410256401,0.27350427350427353,0.15384615384615385,0.005494505494505487,0.48076923076923067,9.307692307692307,9.307692307692307,4.653846153846153,1.5576923076923075,4.653846153846153,4.653846153846153
#racine,0.006410256410256401,0.27350427350427353,0.15384615384615385,0.005494505494505487,0.48076923076923067,9.307692307692307,9.307692307692307,4.653846153846153,1.5576923076923075,4.653846153846153,4.653846153846153
#ensemble,0.6282051282051281,0.13675213675213677,0.07692307692307693,0.3956043956043957,0.24038461538461534,4.653846153846153,4.653846153846153,11.076923076923078,0.15384615384615385,0.07692307692307693,0.07692307692307693
#choeur,0.006410256410256401,0.10683760683760682,0.15384615384615385,0.005494505494505487,0.48076923076923067,1.5576923076923075,1.5576923076923075,0.15384615384615385,9.307692307692307,4.653846153846153,4.653846153846153
#nicette,0.46153846153846156,0.13675213675213677,0.07692307692307693,0.5384615384615384,0.24038461538461534,4.653846153846153,4.653846153846153,0.07692307692307693,4.653846153846153,11.076923076923078,11.076923076923078
#nicette,0.46153846153846156,0.13675213675213677,0.07692307692307693,0.5384615384615384,0.24038461538461534,4.653846153846153,4.653846153846153,0.07692307692307693,4.653846153846153,11.076923076923078,11.076923076923078
Successions,#nicolas,#patafflard,#thomas #mathurin,#mathurin,#thomas,#racine,#tous,#ensemble,#choeur,#nicette,#mimi
#nicolas,0.0,0.625,0.0625,0.0,0.1875,0.125,0.0,0.0,0.0,0.0,0.0
#patafflard,0.2,0.02,0.0,0.34,0.36,0.06,0.0,0.02,0.0,0.0,0.0
#thomas #mathurin,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mathurin,0.03389830508474576,0.288135593220339,0.0,0.0,0.576271186440678,0.06779661016949153,0.01694915254237288,0.0,0.01694915254237288,0.0,0.0
#thomas,0.03076923076923077,0.2,0.0,0.6461538461538462,0.015384615384615385,0.09230769230769231,0.0,0.0,0.0,0.0,0.015384615384615385
#racine,0.13636363636363635,0.36363636363636365,0.0,0.0,0.2727272727272727,0.0,0.045454545454545456,0.0,0.045454545454545456,0.0,0.13636363636363635
#tous,0.0,0.0,0.0,0.0,0.5,0.5,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.5,0.0
#nicette,0.0,0.0,0.0,0.0,0.0,0.75,0.0,0.0,0.25,0.0,0.0
#mimi,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.5,0.0
