VALEUR,#fulvie,#livie,#sejan,#apicata,#voluzie,#druze,#terence,#tibere,#macron,#regulus,#apitaca
Fréquences (scènes),0.13636363636363635,0.36363636363636365,0.22727272727272727,0.4090909090909091,0.3181818181818182,0.2727272727272727,0.2727272727272727,0.4090909090909091,0.13636363636363635,0.13636363636363635,0.045454545454545456
Fréquences(répliques),0.029607250755287008,0.19274924471299093,0.1933534743202417,0.11722054380664652,0.029003021148036254,0.12749244712990937,0.1299093655589124,0.1564954682779456,0.0072507552870090634,0.008459214501510574,0.008459214501510574
Confrontation,0.025,0.1,0.09166666666666666,0.15,0.125,0.1,0.11666666666666667,0.14166666666666666,0.075,0.05,0.025
Déviations,#fulvie,#livie,#sejan,#apicata,#voluzie,#druze,#terence,#tibere,#macron,#regulus,#apitaca
#fulvie,16.40909090909091,0.7575757575757578,0.6818181818181818,1.2272727272727273,0.9545454545454546,0.040404040404040435,0.8181818181818181,1.2272727272727273,0.40909090909090906,0.40909090909090906,0.13636363636363635
#livie,0.7575757575757578,8.909090909090908,0.018181818181818195,1.5782828282828285,2.5454545454545454,1.5151515151515156,2.1818181818181817,0.02272727272727276,1.0909090909090908,1.0909090909090908,0.36363636363636365
#sejan,0.6818181818181818,0.018181818181818146,13.136363636363638,0.0010101010101010081,0.10519480519480523,0.09696969696969691,0.09696969696969691,0.0010101010101010081,0.14848484848484855,0.6818181818181818,0.2272727272727273
#apicata,1.227272727272727,1.5782828282828285,0.0010101010101010081,7.681818181818182,5.974747474747475,2.454545454545454,0.9730639730639737,1.9534231200897871,0.04208754208754202,0.04208754208754202,0.8535353535353533
#voluzie,0.9545454545454545,2.5454545454545454,0.10519480519480523,5.974747474747475,10.22727272727273,1.909090909090909,0.6233766233766236,1.2128427128427128,0.0021645021645021714,0.9545454545454545,1.4610389610389614
#druze,0.040404040404040435,1.5151515151515156,0.09696969696969691,2.4545454545454546,1.9090909090909092,11.636363636363635,1.6363636363636362,0.973063973063973,0.040404040404040435,0.040404040404040435,0.2727272727272727
#terence,0.8181818181818181,2.1818181818181817,0.09696969696969691,0.973063973063973,0.6233766233766233,1.6363636363636362,11.636363636363635,0.08417508417508418,1.7070707070707074,0.040404040404040435,1.9393939393939397
#tibere,1.227272727272727,0.02272727272727276,0.0010101010101010081,1.9534231200897871,1.2128427128427128,0.9730639730639737,0.08417508417508404,7.681818181818182,0.48653198653198687,0.48653198653198687,0.4090909090909091
#macron,0.40909090909090906,1.0909090909090908,0.14848484848484855,0.04208754208754209,0.0021645021645021606,0.040404040404040435,1.7070707070707074,0.4865319865319865,16.40909090909091,0.8535353535353537,0.13636363636363635
#regulus,0.40909090909090906,1.0909090909090908,0.6818181818181818,0.04208754208754209,0.9545454545454546,0.040404040404040435,0.040404040404040435,0.4865319865319865,0.8535353535353537,16.40909090909091,0.13636363636363635
#apitaca,0.13636363636363635,0.36363636363636365,0.22727272727272727,0.8535353535353533,1.4610389610389614,0.2727272727272727,1.9393939393939397,0.4090909090909091,0.13636363636363635,0.13636363636363635,20.045454545454547
Successions,#fulvie,#livie,#sejan,#apicata,#voluzie,#druze,#terence,#tibere,#macron,#regulus,#apitaca
#fulvie,0.0,0.7058823529411765,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0,0.0,0.0
#livie,0.2826086956521739,0.0,0.2826086956521739,0.08695652173913043,0.0,0.2608695652173913,0.0,0.08695652173913043,0.0,0.0,0.0
#sejan,0.0,0.39473684210526316,0.0,0.15789473684210525,0.05263157894736842,0.02631578947368421,0.10526315789473684,0.21052631578947367,0.05263157894736842,0.0,0.0
#apicata,0.0,0.13157894736842105,0.23684210526315788,0.02631578947368421,0.3684210526315789,0.0,0.13157894736842105,0.07894736842105263,0.0,0.02631578947368421,0.0
#voluzie,0.0,0.0,0.09523809523809523,0.7142857142857143,0.0,0.0,0.09523809523809523,0.047619047619047616,0.0,0.0,0.047619047619047616
#druze,0.15625,0.34375,0.09375,0.03125,0.0,0.03125,0.0,0.34375,0.0,0.0,0.0
#terence,0.0,0.0,0.09090909090909091,0.36363636363636365,0.13636363636363635,0.0,0.0,0.2727272727272727,0.045454545454545456,0.045454545454545456,0.045454545454545456
#tibere,0.0,0.06818181818181818,0.1590909090909091,0.06818181818181818,0.022727272727272728,0.29545454545454547,0.18181818181818182,0.045454545454545456,0.09090909090909091,0.06818181818181818,0.0
#macron,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0,0.7142857142857143,0.0,0.0,0.0
#regulus,0.0,0.0,0.0,0.0,0.0,0.0,0.4,0.6,0.0,0.0,0.0
#apitaca,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0
