VALEUR,#mademoiselle-laure,#nelly,#les-jeunes-chinoises,#mu-si-ka-li,#ka-out-tchou,#les-deux-chinoises,#pat-tchou-li,#une-chinoise,#les-jeunes-filles
Fréquences (scènes),0.8666666666666667,0.6666666666666666,0.06666666666666667,0.06666666666666667,0.4,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.13333333333333333
Fréquences(répliques),0.4093686354378819,0.15478615071283094,0.028513238289205704,0.004073319755600814,0.15478615071283094,0.002036659877800407,0.22810590631364563,0.002036659877800407,0.016293279022403257
Confrontation,0.3108108108108108,0.2702702702702703,0.02702702702702703,0.02702702702702703,0.13513513513513514,0.04054054054054054,0.10810810810810811,0.02702702702702703,0.05405405405405406
Déviations,#mademoiselle-laure,#nelly,#les-jeunes-chinoises,#mu-si-ka-li,#ka-out-tchou,#les-deux-chinoises,#pat-tchou-li,#une-chinoise,#les-jeunes-filles
#mademoiselle-laure,0.2666666666666664,0.20512820512820534,0.020512820512820502,0.020512820512820502,0.276923076923077,0.020512820512820502,0.06282051282051285,0.020512820512820502,0.041025641025641005
#nelly,0.20512820512820473,1.6666666666666672,0.6666666666666666,0.6666666666666666,0.25,0.1666666666666667,0.041666666666666706,0.1666666666666667,0.3333333333333334
#les-jeunes-chinoises,0.020512820512820502,0.6666666666666666,13.066666666666668,13.066666666666668,0.4000000000000001,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.13333333333333333
#les-jeunes-chinoises,0.020512820512820502,0.6666666666666666,13.066666666666668,13.066666666666668,0.4000000000000001,0.06666666666666667,0.26666666666666666,0.06666666666666667,0.13333333333333333
#ka-out-tchou,0.276923076923077,0.25,0.4000000000000001,0.4000000000000001,5.399999999999998,0.8999999999999999,0.09999999999999995,0.4000000000000001,0.8000000000000002
#les-deux-chinoises,0.020512820512820502,0.1666666666666667,0.06666666666666667,0.06666666666666667,0.8999999999999999,13.066666666666668,0.26666666666666666,0.06666666666666667,0.13333333333333333
#pat-tchou-li,0.06282051282051285,0.041666666666666706,0.26666666666666666,0.26666666666666666,0.09999999999999995,0.26666666666666666,8.066666666666668,0.26666666666666666,0.5333333333333333
#une-chinoise,0.020512820512820502,0.1666666666666667,0.06666666666666667,0.06666666666666667,0.4000000000000001,0.06666666666666667,0.26666666666666666,13.066666666666668,0.13333333333333333
#les-jeunes-filles,0.041025641025641005,0.3333333333333334,0.13333333333333333,0.13333333333333333,0.8000000000000002,0.13333333333333333,0.5333333333333333,0.13333333333333333,11.266666666666667
Successions,#mademoiselle-laure,#nelly,#les-jeunes-chinoises,#mu-si-ka-li,#ka-out-tchou,#les-deux-chinoises,#pat-tchou-li,#une-chinoise,#les-jeunes-filles
#mademoiselle-laure,0.09782608695652174,0.3804347826086957,0.010869565217391304,0.0,0.21739130434782608,0.010869565217391304,0.2608695652173913,0.010869565217391304,0.010869565217391304
#nelly,0.8113207547169812,0.0,0.0,0.0,0.07547169811320754,0.0,0.09433962264150944,0.0,0.018867924528301886
#les-jeunes-chinoises,0.5,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#mu-si-ka-li,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ka-out-tchou,0.5454545454545454,0.18181818181818182,0.030303030303030304,0.0,0.030303030303030304,0.0,0.21212121212121213,0.0,0.0
#les-deux-chinoises,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#pat-tchou-li,0.5555555555555556,0.25,0.0,0.0,0.19444444444444445,0.0,0.0,0.0,0.0
#mu-si-ka-li,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-jeunes-filles,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
