VALEUR,#don-fernand,#philipin,#beatrix,#don-louys,#don-lope,#leonor,#lucrece,#leonard,#mendoce,#jacinte,#don-juan
Fréquences (scènes),0.425531914893617,0.40425531914893614,0.14893617021276595,0.2553191489361702,0.1276595744680851,0.23404255319148937,0.2127659574468085,0.23404255319148937,0.19148936170212766,0.0851063829787234,0.23404255319148937
Fréquences(répliques),0.22778297474275022,0.1492048643592142,0.04162768942937325,0.09635173058933583,0.06454630495790459,0.0940130963517306,0.06922357343311505,0.0930776426566885,0.05425631431244153,0.019176800748362956,0.09073900841908325
Confrontation,0.18951612903225806,0.1532258064516129,0.06048387096774194,0.08870967741935484,0.016129032258064516,0.0846774193548387,0.10080645161290322,0.12096774193548387,0.0846774193548387,0.028225806451612902,0.07258064516129033
Déviations,#don-fernand,#philipin,#beatrix,#don-louys,#don-lope,#leonor,#lucrece,#leonard,#mendoce,#jacinte,#don-juan
#don-fernand,15.510638297872342,2.987737961926094,0.3215805471124619,4.689716312056739,2.553191489361702,0.09903288201160544,0.015319148936170205,1.1490328820116054,0.0075650118203309915,0.2896276595744681,1.5353965183752418
#philipin,2.987737961926091,16.68085106382979,0.010238361862102094,0.2721164613661817,2.4255319148936167,1.3463300417387762,1.0320268756998883,0.044894635040211725,0.5096429015801918,0.23544232922732358,1.3463300417387762
#beatrix,0.3215805471124619,0.010238361862102094,34.04255319148937,1.7872340425531914,0.8936170212765957,1.6382978723404256,13.66079027355623,0.07985631389886706,0.08645727794663967,0.5957446808510638,0.24868748273003596
#don-louys,4.689716312056739,0.27211646136618217,1.787234042553191,26.063829787234052,0.1430260047281327,1.1645712443584781,2.553191489361702,0.23275306254029637,0.7330575256107169,1.0212765957446808,2.808510638297872
#don-lope,2.553191489361702,2.4255319148936163,0.8936170212765955,0.1430260047281327,35.76595744680852,0.2527401676337849,1.276595744680851,1.404255319148936,1.1489361702127658,0.5106382978723404,1.404255319148936
#leonor,0.09903288201160544,1.3463300417387762,1.6382978723404253,1.1645712443584781,0.2527401676337849,27.574468085106393,0.04951644100580272,0.12818709337084572,0.5811304534708788,10.027079303675047,0.07033585370142437
#lucrece,0.015319148936170205,1.0320268756998876,13.66079027355623,2.553191489361702,1.276595744680851,0.04951644100580272,29.127659574468083,3.022243713733075,0.6148936170212768,0.8510638297872339,0.18588007736943904
#leonard,1.1490328820116054,0.044894635040211725,0.07985631389886719,0.23275306254029637,1.404255319148936,0.12818709337084572,3.022243713733075,27.574468085106393,1.7023425746830005,0.9361702127659575,0.7893441181642344
#mendoce,0.0075650118203309516,0.5096429015801918,0.08645727794663967,0.7330575256107169,1.1489361702127658,0.5811304534708792,0.6148936170212764,1.7023425746829994,30.72340425531915,0.7659574468085105,0.005372877713303271
#jacinte,0.2896276595744681,0.23544232922732358,0.5957446808510638,1.0212765957446808,0.5106382978723404,10.027079303675047,0.8510638297872339,0.9361702127659575,0.7659574468085105,39.340425531914896,0.004352030947775626
#don-juan,1.5353965183752418,1.3463300417387762,0.24868748273003582,2.808510638297872,1.404255319148936,0.07033585370142437,0.18588007736943904,0.7893441181642344,0.005372877713303227,0.004352030947775626,27.574468085106393
Successions,#don-fernand,#philipin,#beatrix,#don-louys,#don-lope,#leonor,#lucrece,#leonard,#mendoce,#jacinte,#don-juan
#don-fernand,0.013422818791946308,0.2953020134228188,0.013422818791946308,0.2550335570469799,0.0,0.1342281879194631,0.10067114093959731,0.1476510067114094,0.026845637583892617,0.013422818791946308,0.0
#philipin,0.3228346456692913,0.015748031496062992,0.25984251968503935,0.015748031496062992,0.0,0.015748031496062992,0.03937007874015748,0.031496062992125984,0.25984251968503935,0.031496062992125984,0.007874015748031496
#beatrix,0.02040816326530612,0.6938775510204082,0.0,0.0,0.02040816326530612,0.0,0.20408163265306123,0.04081632653061224,0.0,0.0,0.02040816326530612
#don-louys,0.5072463768115942,0.057971014492753624,0.0,0.014492753623188406,0.3188405797101449,0.014492753623188406,0.0,0.08695652173913043,0.0,0.0,0.0
#don-lope,0.0,0.0,0.0,0.6764705882352942,0.0,0.3235294117647059,0.0,0.0,0.0,0.0,0.0
#leonor,0.375,0.0,0.0,0.03571428571428571,0.19642857142857142,0.017857142857142856,0.0,0.07142857142857142,0.017857142857142856,0.16071428571428573,0.125
#lucrece,0.25,0.07142857142857142,0.23214285714285715,0.0,0.0,0.017857142857142856,0.017857142857142856,0.25,0.0,0.0,0.16071428571428573
#leonard,0.36363636363636365,0.025974025974025976,0.012987012987012988,0.03896103896103896,0.0,0.03896103896103896,0.19480519480519481,0.012987012987012988,0.06493506493506493,0.0,0.24675324675324675
#mendoce,0.13636363636363635,0.6818181818181818,0.0,0.0,0.0,0.022727272727272728,0.022727272727272728,0.09090909090909091,0.0,0.0,0.045454545454545456
#jacinte,0.11764705882352941,0.23529411764705882,0.0,0.0,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.17647058823529413
#don-juan,0.0,0.06818181818181818,0.0,0.0,0.0,0.18181818181818182,0.20454545454545456,0.4318181818181818,0.022727272727272728,0.045454545454545456,0.045454545454545456
