VALEUR,#madame-luce,#marote,#monsieur-menandre,#monsieur-duverger,#monsieur-alidor,#le-marquis,#le-baron,#monsieur-de-l-etoile,#monsieur-floridor,#mademoiselle-de-l-etoile,#monsieur-damis
Fréquences (scènes),0.4117647058823529,0.4117647058823529,0.23529411764705882,0.4117647058823529,0.11764705882352941,0.29411764705882354,0.23529411764705882,0.4117647058823529,0.4117647058823529,0.29411764705882354,0.11764705882352941
Fréquences(répliques),0.0,0.0,0.0,0.24,0.04,0.0,0.0,0.44,0.0,0.0,0.28
Confrontation,0.1118421052631579,0.10526315789473684,0.07894736842105263,0.13157894736842105,0.02631578947368421,0.07894736842105263,0.06578947368421052,0.125,0.13815789473684212,0.09210526315789473,0.046052631578947366
Déviations,#madame-luce,#marote,#monsieur-menandre,#monsieur-duverger,#monsieur-alidor,#le-marquis,#le-baron,#monsieur-de-l-etoile,#monsieur-floridor,#mademoiselle-de-l-etoile,#monsieur-damis
#madame-luce,5.882352941176469,3.3721488595438176,3.3613445378151265,1.5558223289315727,0.037815126050420186,2.058823529411765,1.6470588235294117,2.8823529411764706,1.2292917166866748,2.058823529411765,0.8235294117647058
#marote,3.3721488595438176,5.882352941176469,3.3613445378151265,0.4333733493397359,0.8235294117647058,2.058823529411765,1.6470588235294117,2.8823529411764706,1.2292917166866748,0.5445378151260506,0.8235294117647058
#monsieur-menandre,3.3613445378151265,3.3613445378151265,9.941176470588236,1.1113445378151263,0.47058823529411764,1.1764705882352942,0.9411764705882353,1.6470588235294117,0.2542016806722689,1.1764705882352942,0.47058823529411764
#monsieur-duverger,1.5558223289315727,0.4333733493397359,1.1113445378151263,5.882352941176469,1.6806722689075633,0.5445378151260506,1.6470588235294117,1.2292917166866748,0.2701080432172869,0.5445378151260506,0.037815126050420186
#monsieur-alidor,0.037815126050420186,0.8235294117647058,0.47058823529411764,1.6806722689075633,13.235294117647058,0.28823529411764703,0.47058823529411764,0.8235294117647058,0.8235294117647058,0.5882352941176471,0.23529411764705882
#le-marquis,2.0588235294117645,2.0588235294117645,1.1764705882352942,0.5445378151260503,0.28823529411764703,8.470588235294116,6.776470588235293,0.4302521008403363,0.0016806722689075512,0.1505882352941177,0.5882352941176471
#le-baron,1.6470588235294117,1.6470588235294117,0.9411764705882353,1.6470588235294117,0.47058823529411764,6.776470588235293,9.941176470588236,1.1113445378151263,0.07563025210084037,0.026470588235294128,0.47058823529411764
#monsieur-de-l-etoile,2.8823529411764706,2.8823529411764706,1.6470588235294117,1.2292917166866748,0.8235294117647058,0.4302521008403359,1.1113445378151263,5.882352941176469,3.3721488595438176,1.8302521008403354,1.6806722689075633
#monsieur-floridor,1.2292917166866748,1.2292917166866748,0.2542016806722689,0.2701080432172869,0.8235294117647058,0.0016806722689075764,0.07563025210084037,3.3721488595438176,5.882352941176469,1.8302521008403354,1.6806722689075633
#mademoiselle-de-l-etoile,2.0588235294117645,0.5445378151260503,1.1764705882352942,0.5445378151260503,0.5882352941176471,0.1505882352941177,0.026470588235294128,1.8302521008403367,1.8302521008403367,8.470588235294116,3.3882352941176466
#monsieur-damis,0.8235294117647058,0.8235294117647058,0.47058823529411764,0.037815126050420186,0.23529411764705882,0.5882352941176471,0.47058823529411764,1.6806722689075633,1.6806722689075633,3.3882352941176466,13.235294117647058
Successions,#madame-luce,#marote,#monsieur-menandre,#monsieur-duverger,#monsieur-alidor,#le-marquis,#le-baron,#monsieur-de-l-etoile,#monsieur-floridor,#mademoiselle-de-l-etoile,#monsieur-damis
#madame-luce,0.0196078431372549,0.49019607843137253,0.13725490196078433,0.3137254901960784,0.0196078431372549,0.0,0.0,0.0,0.0196078431372549,0.0,0.0
#marote,0.4583333333333333,0.0,0.2708333333333333,0.25,0.0,0.0,0.0,0.0,0.0,0.020833333333333332,0.0
#monsieur-menandre,0.3448275862068966,0.3793103448275862,0.0,0.13793103448275862,0.0,0.0,0.0,0.0,0.13793103448275862,0.0,0.0
#monsieur-duverger,0.4146341463414634,0.24390243902439024,0.14634146341463414,0.0,0.0,0.0975609756097561,0.0,0.0,0.024390243902439025,0.04878048780487805,0.024390243902439025
#monsieur-alidor,0.0,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.0,0.0,0.0,0.23809523809523808,0.047619047619047616,0.0,0.47619047619047616,0.19047619047619047,0.0,0.047619047619047616,0.0
#le-baron,0.0,0.0,0.0,0.0,0.0,0.6875,0.0,0.1875,0.125,0.0,0.0
#monsieur-de-l-etoile,0.0,0.0,0.0,0.06896551724137931,0.0,0.10344827586206896,0.13793103448275862,0.0,0.5172413793103449,0.06896551724137931,0.10344827586206896
#monsieur-floridor,0.06896551724137931,0.034482758620689655,0.10344827586206896,0.034482758620689655,0.0,0.06896551724137931,0.0,0.4827586206896552,0.034482758620689655,0.10344827586206896,0.06896551724137931
#mademoiselle-de-l-etoile,0.0,0.0,0.0,0.1,0.0,0.0,0.2,0.3,0.3,0.0,0.1
#monsieur-damis,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.7142857142857143,0.14285714285714285,0.14285714285714285,0.0
