VALEUR,#thelastrie,#l-infante,#le-roi,#corax,#baliste,#boristhene,#caldice,#atramante
Fréquences (scènes),0.43478260869565216,0.782608695652174,0.5217391304347826,0.21739130434782608,0.13043478260869565,0.43478260869565216,0.08695652173913043,0.21739130434782608
Fréquences(répliques),0.09329829172141918,0.31011826544021026,0.13994743758212877,0.013797634691195795,0.11695137976346912,0.12352168199737187,0.017739816031537452,0.18462549277266754
Confrontation,0.1513157894736842,0.23026315789473684,0.18421052631578946,0.06578947368421052,0.07236842105263158,0.1513157894736842,0.05263157894736842,0.09210526315789473
Déviations,#thelastrie,#l-infante,#le-roi,#corax,#baliste,#boristhene,#caldice,#atramante
#thelastrie,7.347826086956523,0.1760869565217391,0.28405797101449276,0.6339130434782608,0.37101449275362314,0.4178260869565216,1.4695652173913045,0.013913043478260851
#l-infante,0.1760869565217391,1.0869565217391302,0.01630434782608688,0.21304347826086958,0.1811594202898552,0.42608695652173917,0.20410628019323662,0.0019323671497584515
#le-roi,0.28405797101449276,0.016304347826087025,5.2608695652173925,0.7420289855072463,1.3152173913043481,0.009057971014492761,0.0018115942028985484,0.14202898550724638
#corax,0.6339130434782608,0.21304347826086958,0.7420289855072463,14.08695652173913,0.6521739130434783,0.013913043478260851,0.43478260869565216,1.0869565217391304
#baliste,0.37101449275362314,0.18115942028985493,1.3152173913043481,0.6521739130434783,17.39130434782609,0.07101449275362319,2.094202898550724,0.18550724637681157
#boristhene,0.4178260869565216,0.42608695652173917,0.009057971014492761,0.013913043478260851,0.07101449275362319,7.347826086956523,1.4695652173913045,1.533913043478261
#caldice,1.4695652173913045,0.20410628019323673,0.0018115942028985484,0.43478260869565216,2.094202898550724,1.4695652173913045,19.17391304347826,0.7347826086956523
#atramante,0.013913043478260851,0.0019323671497584515,0.14202898550724638,1.0869565217391304,0.18550724637681157,1.533913043478261,0.7347826086956523,14.08695652173913
Successions,#thelastrie,#l-infante,#le-roi,#corax,#baliste,#boristhene,#caldice,#atramante
#thelastrie,0.0,0.7380952380952381,0.0,0.0,0.07142857142857142,0.16666666666666666,0.023809523809523808,0.0
#l-infante,0.25,0.008928571428571428,0.24107142857142858,0.0,0.017857142857142856,0.2857142857142857,0.017857142857142856,0.17857142857142858
#le-roi,0.14893617021276595,0.3829787234042553,0.0,0.10638297872340426,0.10638297872340426,0.2127659574468085,0.02127659574468085,0.02127659574468085
#corax,0.0,0.25,0.625,0.0,0.0,0.125,0.0,0.0
#baliste,0.07692307692307693,0.23076923076923078,0.6923076923076923,0.0,0.0,0.0,0.0,0.0
#boristhene,0.08928571428571429,0.6785714285714286,0.05357142857142857,0.05357142857142857,0.017857142857142856,0.03571428571428571,0.0,0.07142857142857142
#caldice,0.5,0.25,0.0,0.0,0.25,0.0,0.0,0.0
#atramante,0.0,0.72,0.08,0.0,0.04,0.16,0.0,0.0
