VALEUR,#naquart,#le-tabellion,#monsieur-blandineau,#la-greffiere,#lisette,#madame-blandineau,#angelique,#lolive,#le-magister,#l-elue,#madame-carmin,#claudine,#le-comte,#premiere-paysanne,#un-paysan,#la-paysan,#seconde-paysanne
Fréquences (scènes),0.3,0.06666666666666667,0.36666666666666664,0.4666666666666667,0.5333333333333333,0.16666666666666666,0.23333333333333334,0.1,0.1,0.06666666666666667,0.03333333333333333,0.03333333333333333,0.23333333333333334,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3275862068965517,0.25862068965517243,0.13793103448275862,0.27586206896551724
Confrontation,0.10101010101010101,0.03535353535353535,0.11616161616161616,0.15151515151515152,0.17676767676767677,0.06060606060606061,0.08080808080808081,0.03535353535353535,0.025252525252525252,0.03535353535353535,0.020202020202020204,0.010101010101010102,0.09090909090909091,0.015151515151515152,0.015151515151515152,0.015151515151515152,0.015151515151515152
Déviations,#naquart,#le-tabellion,#monsieur-blandineau,#la-greffiere,#lisette,#madame-blandineau,#angelique,#lolive,#le-magister,#l-elue,#madame-carmin,#claudine,#le-comte,#premiere-paysanne,#un-paysan,#la-paysan,#seconde-paysanne
#naquart,14.700000000000006,3.266666666666666,2.2090909090909094,0.3428571428571429,0.6749999999999999,1.5,0.00476190476190477,0.9,0.9,0.6,0.3,1.633333333333333,0.3857142857142856,0.3,0.3,0.3,0.3
#le-tabellion,3.266666666666666,26.133333333333336,0.09696969696969701,0.00476190476190476,0.004166666666666665,0.3333333333333333,0.6095238095238095,0.20000000000000004,0.20000000000000004,0.13333333333333333,0.06666666666666667,0.06666666666666667,0.6095238095238095,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.06666666666666667
#monsieur-blandineau,2.2090909090909094,0.09696969696969701,12.033333333333335,0.2502164502164504,0.21893939393939413,0.015151515151515166,0.9562770562770564,1.1,1.1,0.7333333333333333,0.36666666666666664,1.093939393939394,0.9562770562770564,0.36666666666666664,0.36666666666666664,0.36666666666666664,0.36666666666666664
#la-greffiere,0.3428571428571429,0.00476190476190476,0.25021645021645006,8.533333333333333,0.02916666666666668,0.1904761904761907,1.5727891156462583,0.257142857142857,1.828571428571428,1.219047619047619,0.6095238095238095,0.4666666666666667,0.02176870748299319,0.4666666666666667,0.4666666666666667,0.4666666666666667,0.4666666666666667
#lisette,0.6749999999999999,0.004166666666666665,0.21893939393939413,0.02916666666666668,6.533333333333334,0.6666666666666669,1.376190476190476,0.22500000000000006,1.6000000000000003,0.8166666666666668,0.4083333333333334,0.5333333333333333,0.1440476190476191,0.5333333333333333,0.5333333333333333,0.5333333333333333,0.5333333333333333
#madame-blandineau,1.5,0.3333333333333333,0.015151515151515166,0.19047619047619038,0.6666666666666669,20.83333333333334,1.1666666666666667,0.5,0.5,8.333333333333336,4.166666666666668,0.16666666666666666,1.1666666666666667,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
