VALEUR,#circasse,#acmat,#roxelane,#le-mufti,#le-page,#soliman,#ormin,#rustan,#osman,#chamerie
Fréquences (scènes),0.38095238095238093,0.3333333333333333,0.5714285714285714,0.2857142857142857,0.09523809523809523,0.47619047619047616,0.23809523809523808,0.19047619047619047,0.047619047619047616,0.09523809523809523
Fréquences(répliques),0.15664160401002505,0.15162907268170425,0.2525062656641604,0.09899749373433583,0.006892230576441102,0.2568922305764411,0.013157894736842105,0.041353383458646614,0.006892230576441102,0.015037593984962405
Confrontation,0.1349206349206349,0.12698412698412698,0.15079365079365079,0.11904761904761904,0.03968253968253968,0.1746031746031746,0.10317460317460317,0.09523809523809523,0.015873015873015872,0.03968253968253968
Déviations,#circasse,#acmat,#roxelane,#le-mufti,#le-page,#soliman,#ormin,#rustan,#osman,#chamerie
#circasse,8.04761904761905,4.166666666666668,1.4464285714285712,0.035714285714285685,0.07440476190476193,0.17202380952380944,0.4297619047619047,0.18005952380952375,1.0059523809523812,0.7619047619047619
#acmat,4.166666666666668,9.333333333333336,2.25,0.5,0.6666666666666666,0.03333333333333328,0.26666666666666655,0.0833333333333333,1.3333333333333337,0.6666666666666666
#roxelane,1.4464285714285712,2.25,3.857142857142858,0.0952380952380953,0.017857142857142842,0.08928571428571411,0.25714285714285695,0.035714285714285685,0.5714285714285714,0.642857142857143
#le-mufti,0.035714285714285685,0.5,0.0952380952380953,10.714285714285714,0.5714285714285714,0.45714285714285746,0.12857142857142848,0.017857142857142842,0.2857142857142857,0.5714285714285714
#le-page,0.07440476190476193,0.6666666666666666,0.017857142857142842,0.5714285714285714,17.190476190476193,0.0023809523809523864,0.5761904761904763,1.0059523809523812,0.09523809523809523,0.19047619047619047
#soliman,0.17202380952380944,0.03333333333333328,0.08928571428571411,0.45714285714285746,0.0023809523809523864,5.761904761904762,1.100952380952381,0.004761904761904773,0.47619047619047616,0.9523809523809523
#ormin,0.4297619047619047,0.26666666666666655,0.25714285714285695,0.12857142857142848,0.5761904761904763,1.100952380952381,12.19047619047619,1.1523809523809525,0.23809523809523808,0.5761904761904763
#rustan,0.18005952380952375,0.0833333333333333,0.035714285714285685,0.017857142857142842,1.0059523809523812,0.004761904761904773,1.1523809523809525,13.761904761904763,0.19047619047619047,6.880952380952381
#osman,1.0059523809523812,1.3333333333333337,0.5714285714285714,0.2857142857142857,0.09523809523809523,0.47619047619047616,0.23809523809523808,0.19047619047619047,19.047619047619047,0.09523809523809523
#chamerie,0.7619047619047619,0.6666666666666666,0.642857142857143,0.5714285714285714,0.19047619047619047,0.9523809523809523,0.5761904761904763,6.880952380952381,0.09523809523809523,17.190476190476193
Successions,#circasse,#acmat,#roxelane,#le-mufti,#le-page,#soliman,#ormin,#rustan,#osman,#chamerie
#circasse,0.0,0.45098039215686275,0.23529411764705882,0.0196078431372549,0.0,0.17647058823529413,0.0196078431372549,0.0196078431372549,0.0784313725490196,0.0
#acmat,0.6052631578947368,0.0,0.0,0.10526315789473684,0.0,0.2631578947368421,0.02631578947368421,0.0,0.0,0.0
#roxelane,0.18421052631578946,0.013157894736842105,0.02631578947368421,0.14473684210526316,0.013157894736842105,0.3026315789473684,0.039473684210526314,0.2236842105263158,0.0,0.05263157894736842
#le-mufti,0.06896551724137931,0.10344827586206896,0.41379310344827586,0.0,0.0,0.41379310344827586,0.0,0.0,0.0,0.0
#le-page,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
#soliman,0.10606060606060606,0.16666666666666666,0.36363636363636365,0.19696969696969696,0.030303030303030304,0.06060606060606061,0.045454545454545456,0.030303030303030304,0.0,0.0
#ormin,0.125,0.0,0.25,0.0,0.0,0.5,0.0,0.0,0.0,0.125
#rustan,0.05,0.0,0.8,0.0,0.0,0.1,0.0,0.0,0.0,0.05
#osman,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#chamerie,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
