VALEUR,#esther,#thamar,#mardochee,#haman,#thares,#vasthi,#le-roi,#zethar,#tharsis
Fréquences (scènes),0.4583333333333333,0.125,0.375,0.7083333333333334,0.20833333333333334,0.125,0.25,0.125,0.041666666666666664
Fréquences(répliques),0.23064935064935066,0.02181818181818182,0.11844155844155844,0.3433766233766234,0.03324675324675325,0.10337662337662337,0.132987012987013,0.009870129870129871,0.006233766233766234
Confrontation,0.21428571428571427,0.05102040816326531,0.1836734693877551,0.24489795918367346,0.061224489795918366,0.061224489795918366,0.11224489795918367,0.061224489795918366,0.01020408163265306
Déviations,#esther,#thamar,#mardochee,#haman,#thares,#vasthi,#le-roi,#zethar,#tharsis
#esther,7.04166666666667,1.9204545454545454,2.003787878787879,1.0002228163992872,2.291666666666667,0.2840909090909091,0.022727272727272728,0.10227272727272728,0.4583333333333333
#thamar,1.9204545454545454,18.375,0.6805555555555556,2.125,0.625,0.375,0.75,0.375,0.125
#mardochee,2.003787878787879,0.6805555555555556,9.375,0.2965686274509804,1.875,0.013888888888888888,0.027777777777777776,0.013888888888888888,0.375
#haman,1.0002228163992866,2.125,0.2965686274509804,2.0416666666666656,0.6004901960784311,0.5955882352941176,0.014705882352941176,0.3602941176470588,0.12009803921568635
#thares,2.2916666666666665,0.625,1.875,0.6004901960784311,15.041666666666663,0.225,1.25,0.625,0.20833333333333331
#vasthi,0.2840909090909091,0.375,0.013888888888888888,0.5955882352941176,0.225,18.375,0.08333333333333333,0.375,0.125
#le-roi,0.022727272727272728,0.75,0.027777777777777776,0.014705882352941176,1.25,0.08333333333333333,13.5,0.08333333333333333,0.25
#zethar,0.10227272727272728,0.375,0.013888888888888888,0.3602941176470588,0.625,0.375,0.08333333333333333,18.375,0.125
#tharsis,0.4583333333333333,0.125,0.375,0.12009803921568624,0.20833333333333334,0.125,0.25,0.125,22.04166666666667
Successions,#esther,#thamar,#mardochee,#haman,#thares,#vasthi,#le-roi,#zethar,#tharsis
#esther,0.0,0.08860759493670886,0.3037974683544304,0.3670886075949367,0.0,0.10126582278481013,0.12658227848101267,0.012658227848101266,0.0
#thamar,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mardochee,0.5714285714285714,0.023809523809523808,0.023809523809523808,0.2619047619047619,0.0,0.023809523809523808,0.09523809523809523,0.0,0.0
#haman,0.21212121212121213,0.0,0.09848484848484848,0.022727272727272728,0.2196969696969697,0.17424242424242425,0.21212121212121213,0.022727272727272728,0.03787878787878788
#thares,0.0,0.0,0.0,0.9655172413793104,0.0,0.034482758620689655,0.0,0.0,0.0
#vasthi,0.18421052631578946,0.0,0.02631578947368421,0.631578947368421,0.0,0.0,0.15789473684210525,0.0,0.0
#le-roi,0.24489795918367346,0.0,0.04081632653061224,0.5918367346938775,0.0,0.10204081632653061,0.0,0.02040816326530612,0.0
#zethar,0.0,0.0,0.0,0.8,0.0,0.0,0.2,0.0,0.0
#tharsis,0.2,0.0,0.0,0.8,0.0,0.0,0.0,0.0,0.0
