VALEUR,#la-piete,#esther,#elise,#le-choeur,#mardochee,#aman,#hydaspe,#assuerus,#asaph,#zares
Fréquences (scènes),0.043478260869565216,0.34782608695652173,0.17391304347826086,0.30434782608695654,0.08695652173913043,0.2608695652173913,0.17391304347826086,0.43478260869565216,0.08695652173913043,0.043478260869565216
Fréquences(répliques),0.05128205128205128,0.2315018315018315,0.04468864468864469,0.25567765567765566,0.04542124542124542,0.13113553113553114,0.05641025641025641,0.1304029304029304,0.009523809523809525,0.04395604395604396
Confrontation,0.0,0.22580645161290322,0.08064516129032258,0.14516129032258066,0.08064516129032258,0.12903225806451613,0.08064516129032258,0.1774193548387097,0.06451612903225806,0.016129032258064516
Déviations,#la-piete,#esther,#elise,#le-choeur,#mardochee,#aman,#hydaspe,#assuerus,#asaph,#zares
#la-piete,21.043478260869566,0.34782608695652173,0.17391304347826086,0.30434782608695654,0.08695652173913043,0.2608695652173913,0.17391304347826086,0.43478260869565216,0.08695652173913043,0.043478260869565216
#esther,0.34782608695652173,9.782608695652174,0.266304347826087,0.13121118012422353,2.4456521739130435,0.0036231884057970967,0.11005434782608693,0.06576086956521737,0.1331521739130435,0.34782608695652173
#elise,0.17391304347826086,0.266304347826087,15.695652173913043,2.6102484472049685,0.34782608695652173,1.0434782608695652,0.6956521739130435,1.7391304347826086,0.34782608695652173,0.17391304347826086
#le-choeur,0.30434782608695654,0.13121118012422353,2.6102484472049685,11.130434782608695,0.2515527950310558,0.3737060041407867,1.2173913043478262,1.3720496894409937,0.6086956521739131,0.30434782608695654
#mardochee,0.08695652173913043,2.4456521739130435,0.34782608695652173,0.2515527950310558,19.17391304347826,0.5217391304347826,0.34782608695652173,0.019565217391304356,3.9239130434782608,0.08695652173913043
#aman,0.2608695652173913,0.0036231884057970967,1.0434782608695652,0.3737060041407868,0.5217391304347826,12.56521739130435,0.8768115942028987,0.14202898550724638,0.5217391304347826,2.094202898550724
#hydaspe,0.17391304347826086,0.11005434782608693,0.6956521739130435,1.2173913043478262,0.34782608695652173,0.8768115942028987,15.695652173913043,0.03913043478260871,0.34782608695652173,0.17391304347826086
#assuerus,0.43478260869565216,0.06576086956521737,1.7391304347826086,1.372049689440994,0.019565217391304356,0.14202898550724638,0.03913043478260871,7.347826086956523,1.4695652173913045,0.43478260869565216
#asaph,0.08695652173913043,0.1331521739130435,0.34782608695652173,0.6086956521739131,3.9239130434782608,0.5217391304347826,0.34782608695652173,1.4695652173913045,19.17391304347826,0.08695652173913043
#zares,0.043478260869565216,0.34782608695652173,0.17391304347826086,0.30434782608695654,0.08695652173913043,2.094202898550724,0.17391304347826086,0.43478260869565216,0.08695652173913043,21.043478260869566
Successions,#la-piete,#esther,#elise,#le-choeur,#mardochee,#aman,#hydaspe,#assuerus,#asaph,#zares
#la-piete,,,,,,,,,,
#esther,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.0,0.5,0.0,0.0
#elise,0.0,0.3076923076923077,0.0,0.6923076923076923,0.0,0.0,0.0,0.0,0.0,0.0
#le-choeur,0.0,0.04716981132075472,0.07547169811320754,0.8584905660377359,0.0,0.0,0.009433962264150943,0.009433962264150943,0.0,0.0
#mardochee,0.0,0.6,0.0,0.2,0.0,0.0,0.0,0.0,0.2,0.0
#aman,0.0,0.1111111111111111,0.0,0.07407407407407407,0.0,0.0,0.5925925925925926,0.14814814814814814,0.0,0.07407407407407407
#hydaspe,0.0,0.0,0.0,0.0,0.0,0.8095238095238095,0.0,0.14285714285714285,0.0,0.047619047619047616
#assuerus,0.0,0.3125,0.0,0.03125,0.03125,0.1875,0.125,0.15625,0.15625,0.0
#asaph,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#zares,0.0,0.0,0.3333333333333333,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
