VALEUR,#l-ange,#la-pucelle,#le-garde,#le-comte,#le-duc,#destivet,#aronte,#la-comtesse,#dalinde,#canchon,#mide,#le-baron,#un-soldat,#un-du-peuple,#un-autre-soldat
Fréquences (scènes),0.03125,0.25,0.125,0.65625,0.40625,0.21875,0.03125,0.3125,0.1875,0.25,0.1875,0.21875,0.0625,0.03125,0.03125
Fréquences(répliques),0.0631704410011919,0.3265792610250298,0.014302741358760428,0.19189511323003575,0.12872467222884387,0.013110846245530394,0.0029797377830750892,0.12157330154946365,0.023241954707985697,0.03098927294398093,0.014302741358760428,0.05899880810488677,0.008939213349225268,0.0005959475566150178,0.0005959475566150178
Confrontation,0.003401360544217687,0.05782312925170068,0.02040816326530612,0.14625850340136054,0.1564625850340136,0.1054421768707483,0.003401360544217687,0.08163265306122448,0.05102040816326531,0.11224489795918367,0.08843537414965986,0.0782312925170068,0.04081632653061224,0.027210884353741496,0.027210884353741496
Déviations,#l-ange,#la-pucelle,#le-garde,#le-comte,#le-duc,#destivet,#aronte,#la-comtesse,#dalinde,#canchon,#mide,#le-baron,#un-soldat,#un-du-peuple,#un-autre-soldat
#l-ange,30.03125,2.25,0.125,0.65625,0.40625,0.21875,0.03125,0.3125,0.1875,0.25,0.1875,0.21875,0.0625,0.03125,0.03125
#la-pucelle,2.25,18.0,1.0,0.9642857142857143,0.019230769230769232,0.03571428571428571,0.25,2.5,1.5,0.5,1.5,1.75,0.5,0.25,0.25
#le-garde,0.125,1.0,24.5,0.05357142857142857,0.2403846153846154,0.875,0.125,1.25,0.75,1.0,0.75,0.875,0.25,0.125,0.125
#le-comte,0.65625,0.9642857142857143,0.05357142857142857,3.78125,0.025755494505494504,0.07674319727891156,0.1800595238095238,0.37202380952380953,0.000992063492063492,0.2976190476190476,0.9533730158730159,0.07674319727891156,0.3601190476190476,0.1800595238095238,0.1800595238095238
#le-duc,0.40625,0.019230769230769232,0.2403846153846154,0.025755494505494504,11.28125,6.074519230769231,0.40625,0.21634615384615385,0.12980769230769232,2.326923076923077,1.001602564102564,0.47012362637362637,1.7355769230769231,0.8677884615384616,0.8677884615384616
#destivet,0.21875,0.03571428571428571,0.875,0.07674319727891156,6.074519230769231,19.53125,0.21875,0.01607142857142857,0.0744047619047619,6.035714285714286,5.502976190476191,1.4088010204081634,0.7232142857142857,2.7901785714285716,2.7901785714285716
#aronte,0.03125,0.25,0.125,0.1800595238095238,0.40625,0.21875,30.03125,0.3125,0.1875,0.25,0.1875,0.21875,0.0625,0.03125,0.03125
#la-comtesse,0.3125,2.5,1.25,0.37202380952380953,0.21634615384615385,0.01607142857142857,0.3125,15.125,5.208333333333333,0.1,0.4083333333333333,0.30178571428571427,0.225,0.3125,0.3125
#dalinde,0.1875,1.5,0.75,0.000992063492063492,0.12980769230769232,0.0744047619047619,0.1875,5.208333333333333,21.125,0.16666666666666666,1.125,1.3125,1.0416666666666667,0.1875,0.1875
#canchon,0.25,0.5,1.0,0.2976190476190476,2.326923076923077,6.035714285714286,0.25,0.1,0.16666666666666666,18.0,13.5,0.8928571428571429,0.5,2.25,2.25
#mide,0.1875,1.5,0.75,0.9533730158730159,1.001602564102564,5.502976190476191,0.1875,0.4083333333333333,1.125,13.5,21.125,2.169642857142857,1.0416666666666667,3.5208333333333335,3.5208333333333335
#le-baron,0.21875,1.75,0.875,0.07674319727891156,0.47012362637362637,1.4088010204081634,0.21875,0.30178571428571427,1.3125,0.8928571428571429,2.169642857142857,19.53125,0.7232142857142857,2.7901785714285716,2.7901785714285716
#un-soldat,0.0625,0.5,0.25,0.3601190476190476,1.7355769230769231,0.7232142857142857,0.0625,0.225,1.0416666666666667,0.5,1.0416666666666667,0.7232142857142857,28.125,14.0625,14.0625
#un-du-peuple,0.03125,0.25,0.125,0.1800595238095238,0.8677884615384616,2.7901785714285716,0.03125,0.3125,0.1875,2.25,3.5208333333333335,2.7901785714285716,14.0625,30.03125,30.03125
#un-du-peuple,0.03125,0.25,0.125,0.1800595238095238,0.8677884615384616,2.7901785714285716,0.03125,0.3125,0.1875,2.25,3.5208333333333335,2.7901785714285716,14.0625,30.03125,30.03125
Successions,#l-ange,#la-pucelle,#le-garde,#le-comte,#le-duc,#destivet,#aronte,#la-comtesse,#dalinde,#canchon,#mide,#le-baron,#un-soldat,#un-du-peuple,#un-autre-soldat
