VALEUR,#parnassot,#sauvelarime,#la-cesure,#l-etranger,#l-imperatif,#guillemet,#songecreux,#plusieurs-auteurs,#durimet,#pinceserre,#le-musicien,#le-perruquier,#plusieurs-particuliers,#le-tailleur,#un-creancier,#un-autre-creancier,#limedouce,#l-adepte,#l-auteur-tragique,#l-exempt,#un-acteur
Fréquences (scènes),0.75,0.375,0.25,0.5,0.5,0.25,0.25,0.125,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Fréquences(répliques),0.0,0.0,0.0,0.1951219512195122,0.7073170731707317,0.0,0.0,0.0,0.0,0.04878048780487805,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.04878048780487805
Confrontation,0.1,0.05384615384615385,0.046153846153846156,0.07692307692307693,0.08076923076923077,0.06153846153846154,0.05384615384615385,0.023076923076923078,0.10384615384615385,0.10384615384615385,0.011538461538461539,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.038461538461538464,0.038461538461538464,0.038461538461538464,0.007692307692307693,0.007692307692307693
Déviations,#parnassot,#sauvelarime,#la-cesure,#l-etranger,#l-imperatif,#guillemet,#songecreux,#plusieurs-auteurs,#durimet,#pinceserre,#le-musicien,#le-perruquier,#plusieurs-particuliers,#le-tailleur,#un-creancier,#un-autre-creancier,#limedouce,#l-adepte,#l-auteur-tragique,#l-exempt,#un-acteur
#parnassot,0.5,0.25,0.16666666666666666,0.0,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.75,0.3333333333333333,0.3333333333333333,0.75,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#sauvelarime,0.25,3.125,2.0833333333333335,0.16666666666666666,0.16666666666666666,0.08333333333333333,0.75,0.375,0.16666666666666666,0.16666666666666666,0.375,0.375,0.375,0.375,0.375,0.375,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.375,0.375
#la-cesure,0.16666666666666666,2.0833333333333335,4.5,0.0,0.0,0.5,0.5,0.25,0.0,0.0,0.25,0.25,0.25,0.25,0.25,0.25,2.25,2.25,2.25,0.25,0.25
#l-etranger,0.0,0.16666666666666666,0.0,2.0,0.5,1.0,0.0,0.5,0.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#l-imperatif,0.3333333333333333,0.16666666666666666,0.0,0.5,2.0,1.0,0.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#guillemet,0.16666666666666666,0.08333333333333333,0.5,1.0,1.0,4.5,0.5,2.25,1.0,1.0,0.25,0.25,0.25,0.25,0.25,0.25,2.25,2.25,2.25,0.25,0.25
#songecreux,0.16666666666666666,0.75,0.5,0.0,0.0,0.5,4.5,2.25,1.0,1.0,0.25,2.25,2.25,2.25,2.25,2.25,0.25,0.25,0.25,0.25,0.25
#plusieurs-auteurs,0.75,0.375,0.25,0.5,0.5,2.25,2.25,6.125,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#durimet,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,1.0,1.0,0.5,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#durimet,0.3333333333333333,0.16666666666666666,0.0,0.0,0.5,1.0,1.0,0.5,2.0,2.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#le-musicien,0.75,0.375,0.25,0.5,0.5,0.25,0.25,0.125,0.5,0.5,6.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#le-perruquier,0.08333333333333333,0.375,0.25,0.5,0.5,0.25,2.25,0.125,0.5,0.5,0.125,6.125,6.125,6.125,6.125,6.125,0.125,0.125,0.125,0.125,0.125
#le-perruquier,0.08333333333333333,0.375,0.25,0.5,0.5,0.25,2.25,0.125,0.5,0.5,0.125,6.125,6.125,6.125,6.125,6.125,0.125,0.125,0.125,0.125,0.125
#le-perruquier,0.08333333333333333,0.375,0.25,0.5,0.5,0.25,2.25,0.125,0.5,0.5,0.125,6.125,6.125,6.125,6.125,6.125,0.125,0.125,0.125,0.125,0.125
#le-perruquier,0.08333333333333333,0.375,0.25,0.5,0.5,0.25,2.25,0.125,0.5,0.5,0.125,6.125,6.125,6.125,6.125,6.125,0.125,0.125,0.125,0.125,0.125
#le-perruquier,0.08333333333333333,0.375,0.25,0.5,0.5,0.25,2.25,0.125,0.5,0.5,0.125,6.125,6.125,6.125,6.125,6.125,0.125,0.125,0.125,0.125,0.125
#limedouce,0.08333333333333333,1.0416666666666667,2.25,0.5,0.5,2.25,0.25,0.125,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,6.125,6.125,6.125,0.125,0.125
#limedouce,0.08333333333333333,1.0416666666666667,2.25,0.5,0.5,2.25,0.25,0.125,0.5,0.5,0.125,0.125,0.125,0.125,0.125,0.125,6.125,6.125,6.125,0.125,0.125
