VALEUR,#les-deux-colporteurs,#premier-colporteur,#second-colporteur,#le-colporteur,#delphine,#arlequin,#la-ronde,#arlequin #delphine,#gilles,#balourd,#arlequin #l-imprimeur #le-colporteur,#l-imprimeur,#le-prote,#l-imprimeur #le-prote #le-colporteur,#ensemble
#arlequin #l-imprimeur #le-colporteur,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.519047619047619,0.4000000000000001,0.3313725490196079,0.23333333333333334,0.06666666666666667,0.6,0.03333333333333333,28.03333333333333,8.1,8.1,28.03333333333333,0.03333333333333333
#ensemble,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.23333333333333334,0.4000000000000001,0.5666666666666667,0.23333333333333334,0.06666666666666667,0.2666666666666667,0.03333333333333333,0.03333333333333333,8.1,0.10000000000000002,0.03333333333333333,28.03333333333333
Successions,#les-deux-colporteurs,#premier-colporteur,#second-colporteur,#le-colporteur,#delphine,#arlequin,#la-ronde,#arlequin #delphine,#gilles,#balourd,#arlequin #l-imprimeur #le-colporteur,#l-imprimeur,#le-prote,#l-imprimeur #le-prote #le-colporteur,#ensemble
#les-deux-colporteurs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#premier-colporteur,0.1,0.0,0.9,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-deux-colporteurs,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-colporteur,0.027777777777777776,0.0,0.0,0.027777777777777776,0.1388888888888889,0.0,0.0,0.0,0.7222222222222222,0.0,0.0,0.05555555555555555,0.027777777777777776,0.0,0.0
#delphine,0.0,0.0,0.0,0.06779661016949153,0.0,0.6271186440677966,0.1864406779661017,0.03389830508474576,0.06779661016949153,0.0,0.0,0.0,0.0,0.01694915254237288,0.0
#arlequin,0.0,0.0,0.0,0.031007751937984496,0.29457364341085274,0.007751937984496124,0.06201550387596899,0.0,0.5193798449612403,0.07751937984496124,0.0,0.0,0.007751937984496124,0.0,0.0
#la-ronde,0.0,0.0,0.0,0.0,0.23404255319148937,0.2765957446808511,0.02127659574468085,0.0,0.46808510638297873,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin #delphine,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#gilles,0.0,0.0,0.0,0.1566265060240964,0.030120481927710843,0.3795180722891566,0.15060240963855423,0.0,0.0,0.06626506024096386,0.0,0.1746987951807229,0.03614457831325301,0.0,0.006024096385542169
#balourd,0.0,0.0,0.0,0.0,0.0,0.47619047619047616,0.0,0.0,0.5238095238095238,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin #l-imprimeur #le-colporteur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#l-imprimeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.9090909090909091,0.0,0.06060606060606061,0.0,0.030303030303030304,0.0,0.0
#le-prote,0.0,0.0,0.0,0.1111111111111111,0.0,0.1111111111111111,0.0,0.0,0.6666666666666666,0.0,0.0,0.1111111111111111,0.0,0.0,0.0
#arlequin #l-imprimeur #le-colporteur,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ensemble,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
