VALEUR,#les-deux-colporteurs,#premier-colporteur,#second-colporteur,#le-colporteur,#delphine,#arlequin,#la-ronde,#arlequin #delphine,#gilles,#balourd,#arlequin #l-imprimeur #le-colporteur,#l-imprimeur,#le-prote,#l-imprimeur #le-prote #le-colporteur,#ensemble
Fréquences (scènes),0.03333333333333333,0.03333333333333333,0.03333333333333333,0.23333333333333334,0.4,0.5666666666666667,0.23333333333333334,0.06666666666666667,0.6,0.03333333333333333,0.03333333333333333,0.1,0.1,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.0,0.11029411764705882,0.058823529411764705,0.04411764705882353,0.09558823529411764,0.29411764705882354,0.13725490196078433,0.00980392156862745,0.13970588235294118,0.029411764705882353,0.004901960784313725,0.03676470588235294,0.031862745098039214,0.004901960784313725,0.0024509803921568627
Confrontation,0.010752688172043012,0.010752688172043012,0.010752688172043012,0.0967741935483871,0.14516129032258066,0.1935483870967742,0.0967741935483871,0.053763440860215055,0.16129032258064516,0.010752688172043012,0.026881720430107527,0.07526881720430108,0.06989247311827956,0.026881720430107527,0.010752688172043012
Déviations,#les-deux-colporteurs,#premier-colporteur,#second-colporteur,#le-colporteur,#delphine,#arlequin,#la-ronde,#arlequin #delphine,#gilles,#balourd,#arlequin #l-imprimeur #le-colporteur,#l-imprimeur,#le-prote,#l-imprimeur #le-prote #le-colporteur,#ensemble
#les-deux-colporteurs,28.03333333333333,28.03333333333333,28.03333333333333,0.23333333333333334,0.4000000000000001,0.5666666666666667,0.23333333333333334,0.06666666666666667,0.6,0.03333333333333333,0.03333333333333333,0.10000000000000002,0.10000000000000002,0.03333333333333333,0.03333333333333333
#les-deux-colporteurs,28.03333333333333,28.03333333333333,28.03333333333333,0.23333333333333334,0.4000000000000001,0.5666666666666667,0.23333333333333334,0.06666666666666667,0.6,0.03333333333333333,0.03333333333333333,0.10000000000000002,0.10000000000000002,0.03333333333333333,0.03333333333333333
#les-deux-colporteurs,28.03333333333333,28.03333333333333,28.03333333333333,0.23333333333333334,0.4000000000000001,0.5666666666666667,0.23333333333333334,0.06666666666666667,0.6,0.03333333333333333,0.03333333333333333,0.10000000000000002,0.10000000000000002,0.03333333333333333,0.03333333333333333
#le-colporteur,0.23333333333333334,0.23333333333333334,0.23333333333333334,17.633333333333336,0.514285714285714,0.2355742296918768,0.245578231292517,0.6095238095238095,0.3428571428571429,0.23333333333333334,2.519047619047619,2.4142857142857133,2.4142857142857133,2.519047619047619,0.23333333333333334
#delphine,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.5142857142857145,10.799999999999995,0.7117647058823531,1.7285714285714289,1.7999999999999998,0.6722222222222219,0.4000000000000001,0.4000000000000001,0.03333333333333339,0.03333333333333339,0.4000000000000001,0.4000000000000001
#arlequin,0.5666666666666667,0.5666666666666667,0.5666666666666667,0.2355742296918768,0.7117647058823524,5.633333333333335,0.0002801120448179252,0.6627450980392158,0.0627450980392158,0.3313725490196079,0.3313725490196079,0.05294117647058817,0.05294117647058817,0.3313725490196079,0.5666666666666667
#la-ronde,0.23333333333333334,0.23333333333333334,0.23333333333333334,0.245578231292517,1.728571428571428,0.0002801120448179252,17.633333333333336,5.038095238095238,0.00952380952380954,0.23333333333333334,0.23333333333333334,0.1285714285714285,0.1285714285714285,0.23333333333333334,0.23333333333333334
#arlequin #delphine,0.06666666666666667,0.06666666666666667,0.06666666666666667,0.6095238095238095,1.7999999999999998,0.6627450980392158,5.038095238095238,26.133333333333336,0.03333333333333332,0.06666666666666667,0.06666666666666667,3.2000000000000006,3.2000000000000006,0.06666666666666667,0.06666666666666667
#gilles,0.6,0.6,0.6,0.3428571428571429,0.6722222222222223,0.0627450980392158,0.00952380952380954,0.03333333333333332,4.8000000000000025,0.2666666666666667,0.6,0.02222222222222221,0.02222222222222221,0.6,0.2666666666666667
#balourd,0.03333333333333333,0.03333333333333333,0.03333333333333333,0.23333333333333334,0.4000000000000001,0.3313725490196079,0.23333333333333334,0.06666666666666667,0.2666666666666667,28.03333333333333,0.03333333333333333,0.10000000000000002,0.10000000000000002,0.03333333333333333,0.03333333333333333
#arlequin #l-imprimeur #le-colporteur,0.03333333333333333,0.03333333333333333,0.03333333333333333,2.519047619047619,0.4000000000000001,0.3313725490196079,0.23333333333333334,0.06666666666666667,0.6,0.03333333333333333,28.03333333333333,8.1,8.1,28.03333333333333,0.03333333333333333
#l-imprimeur,0.10000000000000002,0.10000000000000002,0.10000000000000002,2.4142857142857146,0.03333333333333339,0.05294117647058825,0.12857142857142861,3.2000000000000006,0.022222222222222265,0.10000000000000002,8.1,24.3,9.633333333333331,8.1,8.1
#le-prote,0.10000000000000002,0.10000000000000002,0.10000000000000002,2.4142857142857146,0.03333333333333339,0.05294117647058825,0.12857142857142861,3.2000000000000006,0.022222222222222265,0.10000000000000002,8.1,9.633333333333331,24.3,8.1,0.10000000000000002
