VALEUR,#pheres,#alzaïde,#ezire,#amenophis,#menos,#nisus,#osiris,#zaraes
Fréquences (scènes),0.2,0.68,0.12,0.56,0.04,0.12,0.04,0.2
Fréquences(répliques),0.09382924767540152,0.35672020287404904,0.044801352493660185,0.2459847844463229,0.03803888419273035,0.027049873203719356,0.00253592561284869,0.19103972950126796
Confrontation,0.11666666666666667,0.2833333333333333,0.05,0.3,0.03333333333333333,0.08333333333333333,0.016666666666666666,0.11666666666666667
Déviations,#pheres,#alzaïde,#ezire,#amenophis,#menos,#nisus,#osiris,#zaraes
#pheres,16.0,0.04705882352941184,0.6,0.014285714285714247,0.20000000000000004,0.6,0.20000000000000004,0.0
#alzaïde,0.04705882352941184,2.5599999999999996,0.4517647058823529,0.6670588235294124,0.68,0.5301960784313726,0.68,0.04705882352941184
#ezire,0.6000000000000001,0.4517647058823529,19.360000000000003,1.6800000000000002,0.12,0.36,0.12,0.6000000000000001
#amenophis,0.014285714285714181,0.6670588235294124,1.6800000000000002,4.839999999999996,0.34571428571428564,1.0371428571428567,0.34571428571428564,0.014285714285714181
#menos,0.20000000000000004,0.68,0.12,0.34571428571428564,23.04,6.453333333333333,0.04,0.20000000000000004
#nisus,0.6000000000000001,0.5301960784313726,0.36,1.0371428571428567,6.453333333333333,19.360000000000003,0.12,0.6000000000000001
#osiris,0.20000000000000004,0.68,0.12,0.34571428571428564,0.04,0.12,23.04,0.20000000000000004
#zaraes,0.0,0.04705882352941184,0.6,0.014285714285714247,0.20000000000000004,0.6,0.20000000000000004,16.0
Successions,#pheres,#alzaïde,#ezire,#amenophis,#menos,#nisus,#osiris,#zaraes
#pheres,0.0,0.6363636363636364,0.0,0.2727272727272727,0.0,0.0,0.0,0.09090909090909091
#alzaïde,0.1038961038961039,0.06493506493506493,0.16883116883116883,0.45454545454545453,0.0,0.0,0.0,0.2077922077922078
#ezire,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#amenophis,0.06060606060606061,0.5,0.0,0.045454545454545456,0.030303030303030304,0.06060606060606061,0.015151515151515152,0.2878787878787879
#menos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#menos,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
#osiris,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#zaraes,0.0,0.5135135135135135,0.0,0.4864864864864865,0.0,0.0,0.0,0.0
