VALEUR,#ombre,#cleomene,#panthee,#choeur,#cratesiclea,#stratonice,#archidamie,#agis,#leonidas,#pausanias,#pheax,#damoiselle,#ptolomee,#messager
Fréquences (scènes),0.2,0.2,0.2,1.0,0.6,0.4,0.2,0.6,0.2,0.2,0.2,0.2,0.2,0.2
Fréquences(répliques),0.05259781911481719,0.09942270686337396,0.042976266837716486,0.15458627325208468,0.2610647851186658,0.09236690186016677,0.030147530468248876,0.028223220012828735,0.007697241821680564,0.0025657472738935213,0.1565105837075048,0.001924310455420141,0.029506093649775498,0.040410519563822966
Confrontation,0.03488372093023256,0.03488372093023256,0.03488372093023256,0.20930232558139536,0.13953488372093023,0.08139534883720931,0.046511627906976744,0.13953488372093023,0.05813953488372093,0.05813953488372093,0.05813953488372093,0.03488372093023256,0.03488372093023256,0.03488372093023256
Déviations,#ombre,#cleomene,#panthee,#choeur,#cratesiclea,#stratonice,#archidamie,#agis,#leonidas,#pausanias,#pheax,#damoiselle,#ptolomee,#messager
#ombre,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.0,0.6,0.4000000000000001,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#ombre,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.0,0.6,0.4000000000000001,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#ombre,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.0,0.6,0.4000000000000001,0.20000000000000004,0.6,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#choeur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#cratesiclea,0.6000000000000001,0.6000000000000001,0.6000000000000001,0.0,0.8000000000000003,0.03333333333333339,0.2666666666666665,0.8000000000000003,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.2666666666666665,0.6000000000000001,0.6000000000000001
#stratonice,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.0,0.03333333333333332,1.7999999999999998,0.8999999999999999,0.03333333333333332,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.4000000000000001,0.8999999999999999,0.8999999999999999
#archidamie,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.0,0.2666666666666667,0.8999999999999999,3.2000000000000006,0.2666666666666667,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
