VALEUR,#le-chevalier,#julie,#le-marquis,#le-domestique,#martin,#le-baron,#la-comtesse,#la-comtesse #le-marquis,#julie #le-chevalier,#choeur,#tous-quatre-ensemble,#la-comtesse #julie,#le-marquis #le-chevalier
Fréquences (scènes),0.2962962962962963,0.3333333333333333,0.37037037037037035,0.037037037037037035,0.1111111111111111,0.2222222222222222,0.48148148148148145,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.1724137931034483,0.24630541871921183,0.18719211822660098,0.0,0.0049261083743842365,0.10837438423645321,0.1724137931034483,0.034482758620689655,0.034482758620689655,0.014778325123152709,0.0049261083743842365,0.009852216748768473,0.009852216748768473
Confrontation,0.10588235294117647,0.10588235294117647,0.1,0.0058823529411764705,0.07647058823529412,0.09411764705882353,0.12352941176470589,0.06470588235294118,0.06470588235294118,0.06470588235294118,0.06470588235294118,0.06470588235294118,0.06470588235294118
Déviations,#le-chevalier,#julie,#le-marquis,#le-domestique,#martin,#le-baron,#la-comtesse,#la-comtesse #le-marquis,#julie #le-chevalier,#choeur,#tous-quatre-ensemble,#la-comtesse #julie,#le-marquis #le-chevalier
#le-chevalier,13.370370370370372,2.0416666666666674,1.3004629629629627,0.2962962962962963,0.013888888888888902,0.3402777777777777,0.005698005698005715,1.6712962962962965,1.6712962962962965,1.6712962962962965,1.6712962962962965,1.6712962962962965,1.6712962962962965
#julie,2.0416666666666674,12.0,1.633333333333333,0.3333333333333333,0.0,0.5,0.025641025641025595,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337,1.3333333333333337
#le-marquis,1.3004629629629627,1.633333333333333,10.703703703703706,1.0703703703703706,0.711111111111111,1.422222222222222,1.6455840455840456,1.0703703703703706,1.0703703703703706,1.0703703703703706,1.0703703703703706,1.0703703703703706,1.0703703703703706
#le-domestique,0.2962962962962963,0.3333333333333333,1.0703703703703706,25.03703703703704,0.1111111111111111,0.2222222222222222,0.48148148148148145,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.037037037037037035
#martin,0.013888888888888902,0.0,0.711111111111111,0.1111111111111111,21.333333333333332,0.1666666666666667,0.2136752136752137,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111,7.111111111111111
#le-baron,0.3402777777777777,0.5,1.422222222222222,0.2222222222222222,0.1666666666666667,16.33333333333334,0.004273504273504277,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223,2.7222222222222223
#la-comtesse,0.005698005698005715,0.025641025641025595,1.6455840455840456,0.48148148148148145,0.2136752136752137,0.004273504273504277,7.259259259259261,0.5584045584045586,0.5584045584045586,0.5584045584045586,0.5584045584045586,0.5584045584045586,0.5584045584045586
#la-comtesse #le-marquis,1.6712962962962965,1.3333333333333337,1.0703703703703706,0.037037037037037035,7.111111111111111,2.7222222222222223,0.5584045584045586,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704
#la-comtesse #le-marquis,1.6712962962962965,1.3333333333333337,1.0703703703703706,0.037037037037037035,7.111111111111111,2.7222222222222223,0.5584045584045586,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704
#la-comtesse #le-marquis,1.6712962962962965,1.3333333333333337,1.0703703703703706,0.037037037037037035,7.111111111111111,2.7222222222222223,0.5584045584045586,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704,25.03703703703704
