VALEUR,#leandre,#beatrix,#guillot,#ragotin,#angelique,#le-docteur,#la-topiniere,#tarasquin
Fréquences (scènes),0.125,0.1875,0.5625,0.625,0.3125,0.3125,0.3125,0.25
Fréquences(répliques),0.04335260115606936,0.04190751445086705,0.36127167630057805,0.22976878612716764,0.02023121387283237,0.17196531791907516,0.10838150289017341,0.023121387283236993
Confrontation,0.020833333333333332,0.052083333333333336,0.21875,0.22916666666666666,0.10416666666666667,0.07291666666666667,0.15625,0.14583333333333334
Déviations,#leandre,#beatrix,#guillot,#ragotin,#angelique,#le-docteur,#la-topiniere,#tarasquin
#leandre,12.25,1.0416666666666667,1.125,1.25,0.625,0.225,0.625,0.5
#beatrix,1.0416666666666667,10.5625,0.2800925925925926,0.008333333333333333,0.004166666666666667,0.9375,0.9375,0.75
#guillot,1.125,0.2800925925925926,3.0625,1.0027777777777778,0.23472222222222222,0.23472222222222222,0.5013888888888889,1.3611111111111112
#ragotin,1.25,0.008333333333333333,1.0027777777777778,2.25,0.005,1.445,0.245,0.9
#angelique,0.625,0.004166666666666667,0.23472222222222222,0.005,7.5625,0.2025,0.1225,0.05
#le-docteur,0.225,0.9375,0.23472222222222222,1.445,0.2025,7.5625,0.2025,0.05
#la-topiniere,0.625,0.9375,0.5013888888888889,0.245,0.1225,0.2025,7.5625,6.05
#tarasquin,0.5,0.75,1.3611111111111112,0.9,0.05,0.05,6.05,9.0
Successions,#leandre,#beatrix,#guillot,#ragotin,#angelique,#le-docteur,#la-topiniere,#tarasquin
#leandre,0.0,0.2857142857142857,0.0,0.0,0.0,0.5714285714285714,0.0,0.14285714285714285
#beatrix,0.25,0.0,0.125,0.625,0.0,0.0,0.0,0.0
#guillot,0.012345679012345678,0.012345679012345678,0.0,0.5185185185185185,0.024691358024691357,0.35802469135802467,0.06172839506172839,0.012345679012345678
#ragotin,0.0,0.09090909090909091,0.7818181818181819,0.01818181818181818,0.0,0.01818181818181818,0.05454545454545454,0.03636363636363636
#angelique,0.0,0.0,0.16666666666666666,0.16666666666666666,0.0,0.16666666666666666,0.16666666666666666,0.3333333333333333
#le-docteur,0.13157894736842105,0.0,0.7631578947368421,0.0,0.05263157894736842,0.02631578947368421,0.02631578947368421,0.0
#la-topiniere,0.0,0.0,0.3333333333333333,0.3333333333333333,0.06666666666666667,0.06666666666666667,0.0,0.2
#tarasquin,0.0,0.0,0.2222222222222222,0.1111111111111111,0.1111111111111111,0.0,0.5555555555555556,0.0
