VALEUR,#eole,#un-triton,#tous-les-tritons,#un-amour,#un-autre-amour,#choeur,#clitidas,#sostrate,#aristione,#timocles,#iphicrate,#anaxarque,#cleonice,#eriphile,#chorebe,#la-nymphe-de-tempe,#tircis,#lycaste,#menandre,#lycaste #menandre,#caliste,#tircis #lycaste #menandre,#premier-satyre,#deuxieme-satyre,#tous,#philinte,#climene,#tous-deux,#tous-les-acteurs,#bergers #bergeres,#venus,#cleon,#la-pretresse,#une-grecque-2,#autre-grecque-1,#autre-grecque-2,#tous-ensemble,#le-choeur,#apollon
Fréquences (scènes),0.0,0.0,0.0,0.0,0.0,0.0,0.25,0.2857142857142857,0.25,0.17857142857142858,0.17857142857142858,0.10714285714285714,0.17857142857142858,0.39285714285714285,0.03571428571428571,0.0,0.10714285714285714,0.07142857142857142,0.07142857142857142,0.07142857142857142,0.10714285714285714,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.03571428571428571
Fréquences(répliques),0.01809954751131222,0.027149321266968326,0.00904977375565611,0.004524886877828055,0.013574660633484163,0.06787330316742081,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.027149321266968326,0.17647058823529413,0.04072398190045249,0.03619909502262444,0.05429864253393665,0.05429864253393665,0.027149321266968326,0.03167420814479638,0.03167420814479638,0.027149321266968326,0.06334841628959276,0.06334841628959276,0.00904977375565611,0.0,0.058823529411764705,0.04524886877828054,0.0,0.02262443438914027,0.00904977375565611,0.00904977375565611,0.00904977375565611,0.01809954751131222,0.0,0.04524886877828054
Confrontation,0.0,0.0,0.0,0.0,0.0,0.0,0.07317073170731707,0.08130081300813008,0.07317073170731707,0.06910569105691057,0.06910569105691057,0.04878048780487805,0.024390243902439025,0.07723577235772358,0.0040650406504065045,0.0,0.032520325203252036,0.032520325203252036,0.032520325203252036,0.032520325203252036,0.032520325203252036,0.02032520325203252,0.012195121951219513,0.012195121951219513,0.012195121951219513,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.016260162601626018,0.0040650406504065045,0.0040650406504065045,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025,0.024390243902439025
Déviations,#eole,#un-triton,#tous-les-tritons,#un-amour,#un-autre-amour,#choeur,#clitidas,#sostrate,#aristione,#timocles,#iphicrate,#anaxarque,#cleonice,#eriphile,#chorebe,#la-nymphe-de-tempe,#tircis,#lycaste,#menandre,#lycaste #menandre,#caliste,#tircis #lycaste #menandre,#premier-satyre,#deuxieme-satyre,#tous,#philinte,#climene,#tous-deux,#tous-les-acteurs,#bergers #bergeres,#venus,#cleon,#la-pretresse,#une-grecque-2,#autre-grecque-1,#autre-grecque-2,#tous-ensemble,#le-choeur,#apollon
#eole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#eole,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clitidas,0.0,0.0,0.0,0.0,0.0,0.0,15.75,0.5,0.03571428571428571,2.45,2.45,2.0833333333333335,0.05,0.5681818181818182,0.25,0.0,0.75,0.5,0.5,0.5,0.75,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
