VALEUR,#charlemagne,#nymes,#aymon,#beatrix,#renaud,#la-roque,#bradamante,#leon,#roger,#hippalque,#la-montagne,#marphise,#charles,#aymon #beatrix,#basile,#ambassadeurs,#melisse
#charlemagne,0.047619047619047616,0.3333333333333333,0.047619047619047616,0.047619047619047616,0.0,0.0,0.09523809523809523,0.23809523809523808,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.047619047619047616
#nymes,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aymon,0.02531645569620253,0.012658227848101266,0.0,0.2911392405063291,0.35443037974683544,0.0379746835443038,0.0,0.02531645569620253,0.012658227848101266,0.0,0.10126582278481013,0.0379746835443038,0.10126582278481013,0.0,0.0,0.0,0.0
#beatrix,0.0,0.0,0.4642857142857143,0.017857142857142856,0.0,0.0,0.42857142857142855,0.017857142857142856,0.0,0.0,0.017857142857142856,0.03571428571428571,0.017857142857142856,0.0,0.0,0.0,0.0
#renaud,0.0,0.0,0.9655172413793104,0.034482758620689655,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-roque,0.0,0.0,0.6666666666666666,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#bradamante,0.04225352112676056,0.0,0.0,0.323943661971831,0.0,0.0,0.0,0.0,0.056338028169014086,0.39436619718309857,0.0,0.18309859154929578,0.0,0.0,0.0,0.0,0.0
#leon,0.10869565217391304,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.021739130434782608,0.021739130434782608,0.30434782608695654,0.0,0.0,0.06521739130434782,0.06521739130434782,0.0,0.32608695652173914,0.0,0.0
#roger,0.047619047619047616,0.0,0.09523809523809523,0.0,0.0,0.0,0.047619047619047616,0.7142857142857143,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09523809523809523,0.0
#hippalque,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.9354838709677419,0.0,0.0,0.0,0.0,0.03225806451612903,0.0,0.0,0.0,0.0,0.0
#la-montagne,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#marphise,0.0,0.0,0.1111111111111111,0.07407407407407407,0.0,0.0,0.4444444444444444,0.0,0.0,0.1111111111111111,0.0,0.0,0.18518518518518517,0.07407407407407407,0.0,0.0,0.0
#charles,0.058823529411764705,0.0,0.35294117647058826,0.11764705882352941,0.0,0.0,0.0,0.23529411764705882,0.0,0.0,0.0,0.17647058823529413,0.0,0.058823529411764705,0.0,0.0,0.0
#aymon #beatrix,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.0
#basile,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#ambassadeurs,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#melisse,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
