VALEUR,#la-fee,#la-fee-des-plaisirs,#le-choeur,#le-suivant-de-la-fee,#la-sagesse,#melisende,#blandonie,#darinel,#finette,#inegilde,#lambethie,#zizime,#cleonide,#astur,#inegilde #cleonide,#une-habitante-de-l-ile,#le-petit-choeur,#un-habitant-de-l-ile,#zirphilin,#astibel,#astibem,#logistille,#une-fee-des-plasirs,#trio,#un-suivant-de-l-ile
Fréquences (scènes),0.06521739130434782,0.043478260869565216,0.06521739130434782,0.043478260869565216,0.021739130434782608,0.2608695652173913,0.15217391304347827,0.32608695652173914,0.43478260869565216,0.34782608695652173,0.06521739130434782,0.043478260869565216,0.21739130434782608,0.32608695652173914,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.10869565217391304,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608
Fréquences(répliques),0.2727272727272727,0.05371900826446281,0.049586776859504134,0.10330578512396695,0.06198347107438017,0.0,0.0,0.03305785123966942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.17355371900826447,0.049586776859504134,0.128099173553719,0.0,0.0,0.0,0.0,0.02066115702479339,0.01652892561983471,0.0371900826446281
Confrontation,0.016304347826086956,0.016304347826086956,0.024456521739130436,0.016304347826086956,0.008152173913043478,0.07880434782608696,0.05434782608695652,0.09239130434782608,0.1331521739130435,0.11413043478260869,0.01358695652173913,0.005434782608695652,0.0625,0.11413043478260869,0.010869565217391304,0.02717391304347826,0.016304347826086956,0.016304347826086956,0.07336956521739131,0.04619565217391304,0.005434782608695652,0.021739130434782608,0.010869565217391304,0.010869565217391304,0.010869565217391304
Déviations,#la-fee,#la-fee-des-plaisirs,#le-choeur,#le-suivant-de-la-fee,#la-sagesse,#melisende,#blandonie,#darinel,#finette,#inegilde,#lambethie,#zizime,#cleonide,#astur,#inegilde #cleonide,#une-habitante-de-l-ile,#le-petit-choeur,#un-habitant-de-l-ile,#zirphilin,#astibel,#astibem,#logistille,#une-fee-des-plasirs,#trio,#un-suivant-de-l-ile
#la-fee,40.19565217391305,26.797101449275367,3.306763285024155,26.797101449275367,13.398550724637683,0.7826086956521738,0.4565217391304348,0.9782608695652174,1.3043478260869565,1.0434782608695652,0.19565217391304346,0.13043478260869565,0.6521739130434783,0.9782608695652174,0.06521739130434782,0.19565217391304346,0.13043478260869565,0.13043478260869565,0.5217391304347826,0.32608695652173914,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782
#la-fee-des-plaisirs,26.797101449275367,42.08695652173913,5.797101449275362,42.08695652173913,21.043478260869566,0.5217391304347826,0.30434782608695654,0.6521739130434783,0.8695652173913043,0.6956521739130435,0.13043478260869565,0.08695652173913043,0.43478260869565216,0.6521739130434783,0.043478260869565216,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.34782608695652173,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-choeur,3.306763285024155,5.797101449275362,40.19565217391305,5.797101449275362,0.06521739130434782,0.7826086956521738,0.4565217391304348,0.9782608695652174,1.3043478260869565,1.0434782608695652,0.19565217391304346,0.13043478260869565,0.6521739130434783,0.9782608695652174,0.06521739130434782,16.64009661835749,26.797101449275367,26.797101449275367,0.5217391304347826,0.32608695652173914,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782,0.06521739130434782
#la-fee-des-plaisirs,26.797101449275367,42.08695652173913,5.797101449275362,42.08695652173913,21.043478260869566,0.5217391304347826,0.30434782608695654,0.6521739130434783,0.8695652173913043,0.6956521739130435,0.13043478260869565,0.08695652173913043,0.43478260869565216,0.6521739130434783,0.043478260869565216,0.13043478260869565,0.08695652173913043,0.08695652173913043,0.34782608695652173,0.21739130434782608,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#la-sagesse,13.398550724637683,21.043478260869566,0.06521739130434782,21.043478260869566,44.02173913043478,0.2608695652173913,0.15217391304347827,0.32608695652173914,0.43478260869565216,0.34782608695652173,0.06521739130434782,0.043478260869565216,0.21739130434782608,0.32608695652173914,0.021739130434782608,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.17391304347826086,0.10869565217391304,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608,0.021739130434782608
#melisende,0.7826086956521738,0.5217391304347826,0.7826086956521738,0.5217391304347826,0.2608695652173913,25.1304347826087,0.7546583850931675,0.21304347826086958,0.009057971014492761,0.16349637681159426,0.060386473429951744,0.5217391304347826,0.9920289855072464,0.30193236714975846,0.2608695652173913,0.7826086956521738,0.5217391304347826,0.5217391304347826,0.5661231884057971,5.571014492753624,0.2608695652173913,2.094202898550724,0.2608695652173913,0.2608695652173913,0.2608695652173913
