VALEUR,#la-baronne,#le-comte,#blaise,#nanine,#germon,#marin,#la-marquise,#le-paysan,#philippe-hombert
Fréquences (scènes),0.4666666666666667,0.7,0.13333333333333333,0.3,0.23333333333333334,0.06666666666666667,0.26666666666666666,0.03333333333333333,0.03333333333333333
Fréquences(répliques),0.2087912087912088,0.33613445378151263,0.05429864253393665,0.1667744020685197,0.06787330316742081,0.02262443438914027,0.10601163542340013,0.03361344537815126,0.003878474466709761
Confrontation,0.19230769230769232,0.3076923076923077,0.04807692307692308,0.09615384615384616,0.09615384615384616,0.038461538461538464,0.16346153846153846,0.028846153846153848,0.028846153846153848
Déviations,#la-baronne,#le-comte,#blaise,#nanine,#germon,#marin,#la-marquise,#le-paysan,#philippe-hombert
#la-baronne,8.533333333333333,0.06530612244897943,0.688095238095238,2.4380952380952383,1.5727891156462583,0.00476190476190476,0.01904761904761904,0.6095238095238095,0.4666666666666667
#le-comte,0.0653061224489797,2.700000000000001,1.157142857142857,0.8396825396825396,0.24693877551020393,0.25714285714285723,1.028571428571429,0.12857142857142861,0.12857142857142861
#blaise,0.688095238095238,1.157142857142857,22.533333333333335,0.03333333333333332,0.9333333333333333,0.26666666666666666,1.0666666666666667,0.13333333333333333,0.13333333333333333
#nanine,2.4380952380952383,0.8396825396825396,0.03333333333333332,14.700000000000006,0.00476190476190477,0.6,0.8166666666666665,0.3,1.633333333333333
#germon,1.5727891156462583,0.24693877551020432,0.9333333333333333,0.00476190476190477,17.633333333333336,0.4666666666666667,0.4023809523809524,0.23333333333333334,0.23333333333333334
#marin,0.00476190476190476,0.25714285714285723,0.26666666666666666,0.6,0.4666666666666667,26.133333333333336,0.4083333333333334,0.06666666666666667,0.06666666666666667
#la-marquise,0.01904761904761904,1.028571428571429,1.0666666666666667,0.8166666666666665,0.4023809523809524,0.4083333333333334,16.133333333333336,2.016666666666667,2.016666666666667
#le-paysan,0.6095238095238095,0.12857142857142861,0.13333333333333333,0.3,0.23333333333333334,0.06666666666666667,2.016666666666667,28.03333333333333,0.03333333333333333
#philippe-hombert,0.4666666666666667,0.12857142857142861,0.13333333333333333,1.633333333333333,0.23333333333333334,0.06666666666666667,2.016666666666667,0.03333333333333333,28.03333333333333
Successions,#la-baronne,#le-comte,#blaise,#nanine,#germon,#marin,#la-marquise,#le-paysan,#philippe-hombert
#la-baronne,0.010526315789473684,0.4,0.16842105263157894,0.21052631578947367,0.031578947368421054,0.042105263157894736,0.12631578947368421,0.010526315789473684,0.0
#le-comte,0.2546583850931677,0.024844720496894408,0.062111801242236024,0.22981366459627328,0.22981366459627328,0.037267080745341616,0.09937888198757763,0.043478260869565216,0.018633540372670808
#blaise,0.39473684210526316,0.2631578947368421,0.0,0.34210526315789475,0.0,0.0,0.0,0.0,0.0
#nanine,0.25301204819277107,0.4578313253012048,0.14457831325301204,0.0,0.10843373493975904,0.0,0.024096385542168676,0.0,0.012048192771084338
#germon,0.06,0.72,0.0,0.18,0.0,0.0,0.04,0.0,0.0
#marin,0.18181818181818182,0.5454545454545454,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0
#la-marquise,0.25,0.55,0.0,0.075,0.025,0.025,0.0,0.075,0.0
#le-paysan,0.2727272727272727,0.45454545454545453,0.0,0.0,0.0,0.0,0.2727272727272727,0.0,0.0
#philippe-hombert,0.0,0.5,0.0,0.25,0.0,0.0,0.25,0.0,0.0
