VALEUR,#licidas,#celiante,#delie,#orphise,#philene,#florice,#celidan,#periandre,#le-garde
Fréquences (scènes),0.44680851063829785,0.48936170212765956,0.723404255319149,0.3404255319148936,0.2553191489361702,0.14893617021276595,0.06382978723404255,0.0851063829787234,0.02127659574468085
Fréquences(répliques),0.09683098591549295,0.1602112676056338,0.3268779342723005,0.12617370892018778,0.11032863849765258,0.041666666666666664,0.02992957746478873,0.1073943661971831,0.0005868544600938967
Confrontation,0.20149253731343283,0.2126865671641791,0.24253731343283583,0.1455223880597015,0.0708955223880597,0.06343283582089553,0.026119402985074626,0.022388059701492536,0.014925373134328358
Déviations,#licidas,#celiante,#delie,#orphise,#philene,#florice,#celidan,#periandre,#le-garde
#licidas,14.382978723404255,7.404960133914806,0.04302997794862617,0.47929331306990897,0.3458291117865583,0.005210594876248369,0.08645727794663957,0.34675785207700094,0.6849037487335361
#celiante,7.404960133914806,12.25531914893617,0.11144365239157616,1.2835915818686405,1.4049491211840883,0.05286110744020081,0.14924452667283367,0.4683163737280296,0.5328399629972249
#delie,0.04302997794862636,0.11144365239157676,3.5957446808510616,1.0138063204005014,1.5607530246141004,0.0008045771500089393,0.013350020859407563,0.003911138923654588,0.10575719649561958
#orphise,0.47929331306990897,1.2835915818686405,1.0138063204005001,20.446808510638295,2.32989804964539,0.8026215805471123,1.0212765957446808,0.09607712765957445,1.2779255319148934
#philene,0.3458291117865583,1.4049491211840883,1.5607530246141004,2.32989804964539,26.063829787234052,2.7396149949341457,1.9881796690307343,1.0212765957446808,0.2553191489361702
#florice,0.005210594876248369,0.05286110744020081,0.0008045771500089393,0.8026215805471123,2.7396149949341444,34.04255319148937,0.6849037487335361,0.5957446808510638,0.14893617021276595
#celidan,0.08645727794663957,0.14924452667283367,0.013350020859407563,1.0212765957446808,1.9881796690307343,0.6849037487335364,41.19148936170214,0.2553191489361702,0.06382978723404255
#periandre,0.34675785207700094,0.4683163737280296,0.0039111389236545545,0.09607712765957445,1.0212765957446808,0.5957446808510638,0.2553191489361702,39.340425531914896,0.0851063829787234
#le-garde,0.6849037487335361,0.5328399629972249,0.10575719649561947,1.2779255319148934,0.2553191489361702,0.14893617021276595,0.06382978723404255,0.0851063829787234,45.02127659574468
Successions,#licidas,#celiante,#delie,#orphise,#philene,#florice,#celidan,#periandre,#le-garde
#licidas,0.0,0.49382716049382713,0.32098765432098764,0.037037037037037035,0.04938271604938271,0.037037037037037035,0.024691358024691357,0.024691358024691357,0.012345679012345678
#celiante,0.4731182795698925,0.010752688172043012,0.2903225806451613,0.15053763440860216,0.053763440860215055,0.0,0.010752688172043012,0.010752688172043012,0.0
#delie,0.12021857923497267,0.16939890710382513,0.01092896174863388,0.3551912568306011,0.15846994535519127,0.04918032786885246,0.060109289617486336,0.07650273224043716,0.0
#orphise,0.058823529411764705,0.12941176470588237,0.7647058823529411,0.0,0.023529411764705882,0.011764705882352941,0.0,0.011764705882352941,0.0
#philene,0.10909090909090909,0.05454545454545454,0.5454545454545454,0.0,0.01818181818181818,0.2,0.07272727272727272,0.0,0.0
#florice,0.04,0.08,0.44,0.0,0.44,0.0,0.0,0.0,0.0
#celidan,0.1111111111111111,0.1111111111111111,0.5555555555555556,0.0,0.16666666666666666,0.05555555555555555,0.0,0.0,0.0
#periandre,0.10526315789473684,0.05263157894736842,0.631578947368421,0.15789473684210525,0.0,0.0,0.0,0.05263157894736842,0.0
#le-garde,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
