VALEUR,#agesistrate,#lysander,#emphases,#les-senateurs,#agis,#chelonis,#leonidas,#le-choeur,#un-jeune-spartiate,#une-jeune-fille,#un-laquais,#tous,#le-senat,#le-garde,#premier-senateur,#second-senateur,#troisieme-senateur,#quatrieme-senateur
Fréquences (scènes),0.35,0.2,0.3,0.1,0.35,0.2,0.3,0.1,0.05,0.05,0.05,0.1,0.1,0.05,0.05,0.05,0.05,0.05
Fréquences(répliques),0.14757281553398058,0.1533980582524272,0.07961165048543689,0.009708737864077669,0.20970873786407768,0.08155339805825243,0.2,0.011650485436893204,0.015533980582524271,0.015533980582524271,0.013592233009708738,0.009708737864077669,0.011650485436893204,0.02524271844660194,0.005825242718446602,0.001941747572815534,0.003883495145631068,0.003883495145631068
Confrontation,0.10256410256410256,0.019230769230769232,0.08333333333333333,0.02564102564102564,0.11538461538461539,0.08974358974358974,0.09615384615384616,0.07692307692307693,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.08333333333333333,0.02564102564102564,0.00641025641025641,0.02564102564102564,0.02564102564102564,0.02564102564102564,0.02564102564102564
Déviations,#agesistrate,#lysander,#emphases,#les-senateurs,#agis,#chelonis,#leonidas,#le-choeur,#un-jeune-spartiate,#une-jeune-fille,#un-laquais,#tous,#le-senat,#le-garde,#premier-senateur,#second-senateur,#troisieme-senateur,#quatrieme-senateur
#agesistrate,8.450000000000005,0.257142857142857,0.00476190476190477,0.7000000000000001,0.12346938775510216,0.257142857142857,0.5761904761904763,2.4142857142857133,1.2071428571428566,1.2071428571428566,1.2071428571428566,0.1285714285714285,0.7000000000000001,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
#lysander,0.25714285714285723,12.800000000000002,0.03333333333333332,0.4000000000000001,1.4,0.8000000000000002,1.2,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#emphases,0.004761904761904729,0.03333333333333339,9.8,0.2666666666666665,0.5761904761904759,0.03333333333333339,0.022222222222222265,0.2666666666666665,1.6333333333333329,1.6333333333333329,1.6333333333333329,0.2666666666666665,0.6000000000000001,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
#les-senateurs,0.7,0.4000000000000001,0.2666666666666667,16.2,0.12857142857142861,0.4000000000000001,0.2666666666666667,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.20000000000000004,3.2000000000000006,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#agis,0.12346938775510216,1.4000000000000001,0.5761904761904763,0.1285714285714285,8.450000000000005,4.8285714285714265,0.00476190476190477,2.4142857142857133,1.2071428571428566,1.2071428571428566,1.2071428571428566,0.1285714285714285,0.1285714285714285,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003,0.35000000000000003
#chelonis,0.25714285714285723,0.8000000000000002,0.03333333333333332,0.4000000000000001,4.828571428571429,12.800000000000002,0.03333333333333332,6.400000000000001,3.2000000000000006,3.2000000000000006,3.2000000000000006,0.8999999999999999,0.4000000000000001,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004,0.20000000000000004
#leonidas,0.5761904761904759,1.2000000000000002,0.022222222222222265,0.2666666666666665,0.004761904761904729,0.03333333333333339,9.8,0.2666666666666665,1.6333333333333329,1.6333333333333329,1.6333333333333329,0.2666666666666665,3.2666666666666657,1.6333333333333329,0.30000000000000004,0.30000000000000004,0.30000000000000004,0.30000000000000004
#le-choeur,2.4142857142857146,0.4000000000000001,0.2666666666666667,0.20000000000000004,2.4142857142857146,6.400000000000001,0.2666666666666667,16.2,8.1,8.1,8.1,3.2000000000000006,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#un-jeune-spartiate,1.2071428571428573,0.20000000000000004,1.633333333333333,0.10000000000000002,1.2071428571428573,3.2000000000000006,1.633333333333333,8.1,18.049999999999997,18.049999999999997,18.049999999999997,8.1,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#un-jeune-spartiate,1.2071428571428573,0.20000000000000004,1.633333333333333,0.10000000000000002,1.2071428571428573,3.2000000000000006,1.633333333333333,8.1,18.049999999999997,18.049999999999997,18.049999999999997,8.1,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#un-jeune-spartiate,1.2071428571428573,0.20000000000000004,1.633333333333333,0.10000000000000002,1.2071428571428573,3.2000000000000006,1.633333333333333,8.1,18.049999999999997,18.049999999999997,18.049999999999997,8.1,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#tous,0.12857142857142861,0.4000000000000001,0.2666666666666667,0.20000000000000004,0.12857142857142861,0.8999999999999999,0.2666666666666667,3.2000000000000006,8.1,8.1,8.1,16.2,0.20000000000000004,0.10000000000000002,8.1,8.1,8.1,8.1
#le-senat,0.7,0.4000000000000001,0.6,3.2000000000000006,0.12857142857142861,0.4000000000000001,3.266666666666666,0.20000000000000004,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.20000000000000004,16.2,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002,0.10000000000000002
#le-garde,0.35,0.20000000000000004,0.3,0.10000000000000002,0.35,0.20000000000000004,1.633333333333333,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.10000000000000002,0.10000000000000002,18.049999999999997,0.05000000000000001,0.05000000000000001,0.05000000000000001,0.05000000000000001
#premier-senateur,0.35,0.20000000000000004,0.3,0.10000000000000002,0.35,0.20000000000000004,0.3,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,8.1,0.10000000000000002,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
#premier-senateur,0.35,0.20000000000000004,0.3,0.10000000000000002,0.35,0.20000000000000004,0.3,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,8.1,0.10000000000000002,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
#premier-senateur,0.35,0.20000000000000004,0.3,0.10000000000000002,0.35,0.20000000000000004,0.3,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,8.1,0.10000000000000002,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
#premier-senateur,0.35,0.20000000000000004,0.3,0.10000000000000002,0.35,0.20000000000000004,0.3,0.10000000000000002,0.05000000000000001,0.05000000000000001,0.05000000000000001,8.1,0.10000000000000002,0.05000000000000001,18.049999999999997,18.049999999999997,18.049999999999997,18.049999999999997
Successions,#agesistrate,#lysander,#emphases,#les-senateurs,#agis,#chelonis,#leonidas,#le-choeur,#un-jeune-spartiate,#une-jeune-fille,#un-laquais,#tous,#le-senat,#le-garde,#premier-senateur,#second-senateur,#troisieme-senateur,#quatrieme-senateur
#agesistrate,0.09523809523809523,0.23809523809523808,0.09523809523809523,0.0,0.42857142857142855,0.09523809523809523,0.047619047619047616,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lysander,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.09090909090909091,0.0,0.0,0.0,0.0,0.0,0.0
#emphases,0.13043478260869565,0.17391304347826086,0.043478260869565216,0.043478260869565216,0.0,0.0,0.6086956521739131,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-senateurs,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#agis,0.17142857142857143,0.02857142857142857,0.02857142857142857,0.0,0.05714285714285714,0.2571428571428571,0.37142857142857144,0.05714285714285714,0.0,0.0,0.0,0.0,0.02857142857142857,0.0,0.0,0.0,0.0,0.0
#chelonis,0.3125,0.0,0.0625,0.0,0.4375,0.0,0.1875,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#leonidas,0.0,0.0,0.325,0.025,0.325,0.1,0.05,0.0,0.025,0.025,0.025,0.025,0.05,0.025,0.0,0.0,0.0,0.0
#le-choeur,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
