VALEUR,#zelide,#panope,#choeur,#bergere,#berger,#bergers,#tanis,#phanor,#le-choeur-des-bergers,#le-choeur-des-bergeres,#le-pretre-d-isis,#cleofis,#isis #osiris,#tanis #zelide,#grand-choeur,#tanis #choeur,#oroes,#choeur-mages,#mages
Fréquences (scènes),0.5185185185185185,0.037037037037037035,0.37037037037037035,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.5925925925925926,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.19821162444113263,0.020864381520119227,0.08196721311475409,0.03576751117734724,0.02384500745156483,0.01639344262295082,0.3174366616989568,0.10283159463487332,0.007451564828614009,0.013412816691505217,0.01639344262295082,0.03427719821162444,0.005961251862891207,0.019374068554396422,0.0029806259314456036,0.0014903129657228018,0.09090909090909091,0.007451564828614009,0.0029806259314456036
Confrontation,0.15060240963855423,0.006024096385542169,0.16265060240963855,0.07228915662650602,0.04819277108433735,0.03614457831325301,0.18072289156626506,0.07228915662650602,0.024096385542168676,0.024096385542168676,0.024096385542168676,0.030120481927710843,0.0,0.04216867469879518,0.024096385542168676,0.018072289156626505,0.05421686746987952,0.012048192771084338,0.018072289156626505
Déviations,#zelide,#panope,#choeur,#bergere,#berger,#bergers,#tanis,#phanor,#le-choeur-des-bergers,#le-choeur-des-bergeres,#le-pretre-d-isis,#cleofis,#isis #osiris,#tanis #zelide,#grand-choeur,#tanis #choeur,#oroes,#choeur-mages,#mages
#zelide,6.259259259259261,0.44708994708994715,0.9208994708994709,0.1984126984126983,0.0013227513227513188,0.8941798941798943,0.01058201058201055,0.5173847316704463,0.5185185185185185,0.5185185185185185,0.5185185185185185,1.5555555555555551,0.5185185185185185,1.3412698412698416,0.5185185185185185,0.5185185185185185,0.5562169312169312,0.5185185185185185,0.5185185185185185
#panope,0.44708994708994715,25.03703703703704,0.37037037037037035,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.5925925925925926,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035
#choeur,0.9208994708994709,0.37037037037037035,10.703703703703706,3.211111111111111,2.1407407407407413,0.09074074074074077,0.0009259259259259342,0.9783068783068783,1.0703703703703706,1.0703703703703706,1.0703703703703706,0.01111111111111112,0.37037037037037035,0.01111111111111112,1.0703703703703706,1.0703703703703706,0.18148148148148155,1.0703703703703706,1.0703703703703706
#bergere,0.1984126984126983,0.1111111111111111,3.211111111111111,21.333333333333332,14.222222222222221,2.7222222222222223,0.3402777777777777,0.7777777777777776,7.111111111111111,7.111111111111111,7.111111111111111,0.3333333333333333,0.1111111111111111,0.3333333333333333,7.111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.1111111111111111
#berger,0.0013227513227513188,0.07407407407407407,2.1407407407407413,14.222222222222221,23.148148148148152,4.898148148148148,0.028935185185185164,0.5185185185185185,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.2222222222222222,11.574074074074076,0.07407407407407407,0.2962962962962963,0.07407407407407407,0.07407407407407407
#bergers,0.8941798941798943,0.07407407407407407,0.09074074074074077,2.7222222222222223,4.898148148148148,23.148148148148152,1.1851851851851851,0.44708994708994715,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.2222222222222222,0.07407407407407407,0.07407407407407407,0.2962962962962963,0.07407407407407407,0.07407407407407407
#tanis,0.01058201058201055,0.5925925925925926,0.0009259259259259342,0.3402777777777777,0.028935185185185164,1.1851851851851851,4.481481481481483,0.3177910052910052,0.5925925925925926,0.5925925925925926,0.5925925925925926,0.8402777777777779,0.5925925925925926,0.8402777777777779,0.28009259259259267,0.28009259259259267,0.05787037037037033,0.5925925925925926,0.28009259259259267
#phanor,0.5173847316704463,0.25925925925925924,0.9783068783068783,0.7777777777777776,0.5185185185185185,0.44708994708994715,0.3177910052910052,14.814814814814815,0.25925925925925924,0.25925925925925924,0.25925925925925924,0.7777777777777776,0.25925925925925924,0.7777777777777776,0.25925925925925924,0.25925925925925924,0.8941798941798943,0.25925925925925924,0.25925925925925924
#le-choeur-des-bergers,0.5185185185185185,0.037037037037037035,1.0703703703703706,7.111111111111111,0.07407407407407407,0.07407407407407407,0.5925925925925926,0.25925925925925924,25.03703703703704,25.03703703703704,25.03703703703704,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035
#le-choeur-des-bergers,0.5185185185185185,0.037037037037037035,1.0703703703703706,7.111111111111111,0.07407407407407407,0.07407407407407407,0.5925925925925926,0.25925925925925924,25.03703703703704,25.03703703703704,25.03703703703704,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035
#le-choeur-des-bergers,0.5185185185185185,0.037037037037037035,1.0703703703703706,7.111111111111111,0.07407407407407407,0.07407407407407407,0.5925925925925926,0.25925925925925924,25.03703703703704,25.03703703703704,25.03703703703704,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035
#cleofis,1.5555555555555551,0.1111111111111111,0.01111111111111112,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.8402777777777779,0.7777777777777776,0.1111111111111111,0.1111111111111111,0.1111111111111111,21.333333333333332,0.1111111111111111,0.3333333333333333,0.1111111111111111,7.111111111111111,0.4444444444444444,0.1111111111111111,0.1111111111111111
#isis #osiris,0.5185185185185185,0.037037037037037035,0.37037037037037035,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.5925925925925926,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,25.03703703703704,0.1111111111111111,0.037037037037037035,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035
#tanis #zelide,1.3412698412698416,0.1111111111111111,0.01111111111111112,0.3333333333333333,0.2222222222222222,0.2222222222222222,0.8402777777777779,0.7777777777777776,0.1111111111111111,0.1111111111111111,0.1111111111111111,0.3333333333333333,0.1111111111111111,21.333333333333332,0.1111111111111111,0.1111111111111111,0.4444444444444444,0.1111111111111111,0.1111111111111111
#grand-choeur,0.5185185185185185,0.037037037037037035,1.0703703703703706,7.111111111111111,11.574074074074076,0.07407407407407407,0.28009259259259267,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.1111111111111111,25.03703703703704,0.037037037037037035,0.14814814814814814,0.037037037037037035,0.037037037037037035
#tanis #choeur,0.5185185185185185,0.037037037037037035,1.0703703703703706,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.28009259259259267,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035,7.111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,25.03703703703704,0.14814814814814814,0.037037037037037035,0.037037037037037035
#oroes,0.5562169312169312,0.14814814814814814,0.18148148148148155,0.4444444444444444,0.2962962962962963,0.2962962962962963,0.05787037037037033,0.8941798941798943,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.4444444444444444,0.14814814814814814,0.4444444444444444,0.14814814814814814,0.14814814814814814,19.59259259259259,4.898148148148148,4.898148148148148
#choeur-mages,0.5185185185185185,0.037037037037037035,1.0703703703703706,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.5925925925925926,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,4.898148148148148,25.03703703703704,0.037037037037037035
#mages,0.5185185185185185,0.037037037037037035,1.0703703703703706,0.1111111111111111,0.07407407407407407,0.07407407407407407,0.28009259259259267,0.25925925925925924,0.037037037037037035,0.037037037037037035,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.1111111111111111,0.037037037037037035,0.037037037037037035,4.898148148148148,0.037037037037037035,25.03703703703704
Successions,#zelide,#panope,#choeur,#bergere,#berger,#bergers,#tanis,#phanor,#le-choeur-des-bergers,#le-choeur-des-bergeres,#le-pretre-d-isis,#cleofis,#isis #osiris,#tanis #zelide,#grand-choeur,#tanis #choeur,#oroes,#choeur-mages,#mages
#zelide,0.0,0.1111111111111111,0.1111111111111111,0.0,0.0,0.08333333333333333,0.4722222222222222,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.027777777777777776,0.0,0.0,0.027777777777777776,0.0,0.0
#panope,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#choeur,0.1,0.0,0.0,0.0,0.05,0.0,0.6,0.1,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.0
#bergere,0.0,0.0,0.25,0.0,0.25,0.0,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
