VALEUR,#le-tambour,#un-amour,#l-amour,#mars,#venus,#bellone,#vulcain,#cupidon,#le-laquais,#un-des-amours,#plutus,#mercure,#momus,#les-dieux,#junon,#jupiter,#l-ocean,#diane,#pluton,#bacchus
Fréquences (scènes),0.125,0.25,0.125,0.25,1.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
Fréquences(répliques),0.05625,0.04375,0.0125,0.0,0.13125,0.040625,0.20625,0.159375,0.0,0.025,0.0,0.0,0.09375,0.0,0.046875,0.040625,0.0375,0.046875,0.025,0.034375
Confrontation,0.03205128205128205,0.05128205128205128,0.03205128205128205,0.05128205128205128,0.16025641025641027,0.03205128205128205,0.09615384615384616,0.02564102564102564,0.019230769230769232,0.019230769230769232,0.00641025641025641,0.01282051282051282,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.057692307692307696,0.057692307692307696
Déviations,#le-tambour,#un-amour,#l-amour,#mars,#venus,#bellone,#vulcain,#cupidon,#le-laquais,#un-des-amours,#plutus,#mercure,#momus,#les-dieux,#junon,#jupiter,#l-ocean,#diane,#pluton,#bacchus
#le-tambour,6.125,2.25,6.125,2.25,0.0,6.125,0.5,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#un-amour,2.25,4.5,2.25,4.5,0.0,2.25,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
#le-tambour,6.125,2.25,6.125,2.25,0.0,6.125,0.5,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#un-amour,2.25,4.5,2.25,4.5,0.0,2.25,0.0,0.5,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
#venus,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-tambour,6.125,2.25,6.125,2.25,0.0,6.125,0.5,0.25,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#vulcain,0.5,0.0,0.5,0.0,0.0,0.5,2.0,1.0,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5,0.5
#cupidon,0.25,0.5,0.25,0.5,0.0,0.25,1.0,4.5,2.25,2.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25,0.25
#le-laquais,0.125,0.25,0.125,0.25,0.0,0.125,0.5,2.25,6.125,6.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#le-laquais,0.125,0.25,0.125,0.25,0.0,0.125,0.5,2.25,6.125,6.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#plutus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,6.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#mercure,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,6.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125,0.125
#momus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
#momus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
#momus,0.125,0.25,0.125,0.25,0.0,0.125,0.5,0.25,0.125,0.125,0.125,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
