VALEUR,#saül,#michol,#jonathas,#abner,#phalti,#la-pythonisse,#l-ombre,#achas,#l-ecuyer
Fréquences (scènes),0.7692307692307693,0.3076923076923077,0.34615384615384615,0.5,0.38461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,0.038461538461538464
Fréquences(répliques),0.5063013698630137,0.11232876712328767,0.20821917808219179,0.044931506849315066,0.06684931506849315,0.014794520547945205,0.03397260273972603,0.002191780821917808,0.010410958904109589
Confrontation,0.27419354838709675,0.12903225806451613,0.1532258064516129,0.20967741935483872,0.14516129032258066,0.04032258064516129,0.008064516129032258,0.024193548387096774,0.016129032258064516
Déviations,#saül,#michol,#jonathas,#abner,#phalti,#la-pythonisse,#l-ombre,#achas,#l-ecuyer
#saül,1.3846153846153844,0.11634615384615375,0.0008547008547008486,0.1,0.3723076923076924,0.20769230769230754,0.0692307692307692,0.7692307692307693,0.0692307692307692
#michol,0.11634615384615375,12.46153846153846,0.019230769230769242,0.0,0.376923076923077,0.9230769230769231,0.3076923076923077,0.3076923076923077,0.3076923076923077
#jonathas,0.0008547008547008486,0.019230769230769242,11.115384615384617,0.05555555555555555,0.6170940170940172,1.0384615384615385,0.34615384615384615,1.235042735042735,1.235042735042735
#abner,0.1,0.0,0.05555555555555555,6.5,0.2,0.16666666666666666,0.5,0.5,0.5
#phalti,0.3723076923076924,0.376923076923077,0.6170940170940172,0.2,9.846153846153845,0.020512820512820544,0.38461538461538464,0.9846153846153847,0.38461538461538464
#la-pythonisse,0.20769230769230754,0.9230769230769231,1.0384615384615383,0.16666666666666666,0.020512820512820544,20.346153846153843,0.11538461538461539,0.11538461538461539,0.11538461538461539
#l-ombre,0.0692307692307692,0.3076923076923077,0.34615384615384615,0.5,0.38461538461538464,0.11538461538461539,24.038461538461537,0.038461538461538464,0.038461538461538464
#achas,0.7692307692307693,0.3076923076923077,1.235042735042735,0.5,0.9846153846153847,0.11538461538461539,0.038461538461538464,24.038461538461537,0.038461538461538464
#l-ecuyer,0.0692307692307692,0.3076923076923077,1.235042735042735,0.5,0.38461538461538464,0.11538461538461539,0.038461538461538464,0.038461538461538464,24.038461538461537
Successions,#saül,#michol,#jonathas,#abner,#phalti,#la-pythonisse,#l-ombre,#achas,#l-ecuyer
#saül,0.0392156862745098,0.1895424836601307,0.35947712418300654,0.12418300653594772,0.12418300653594772,0.0718954248366013,0.026143790849673203,0.0,0.06535947712418301
#michol,0.8529411764705882,0.0,0.029411764705882353,0.029411764705882353,0.08823529411764706,0.0,0.0,0.0,0.0
#jonathas,0.8412698412698413,0.015873015873015872,0.0,0.06349206349206349,0.031746031746031744,0.0,0.0,0.047619047619047616,0.0
#abner,0.6176470588235294,0.0,0.11764705882352941,0.0,0.2647058823529412,0.0,0.0,0.0,0.0
#phalti,0.5428571428571428,0.11428571428571428,0.05714285714285714,0.2571428571428571,0.0,0.02857142857142857,0.0,0.0,0.0
#la-pythonisse,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
#l-ombre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#achas,0.0,0.0,0.3333333333333333,0.0,0.6666666666666666,0.0,0.0,0.0,0.0
#l-ombre,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
