VALEUR,#le-comte,#leonore,#beatrix,#don-felix,#crispin,#don-louis,#zamorin,#don-pedre,#cassandre,#lisette,#le-prevot,#la-taillade
Fréquences (scènes),0.5,0.29411764705882354,0.3235294117647059,0.2647058823529412,0.38235294117647056,0.058823529411764705,0.14705882352941177,0.5,0.14705882352941177,0.058823529411764705,0.11764705882352941,0.08823529411764706
Fréquences(répliques),0.17735263702171664,0.09358841778697001,0.07652533609100311,0.13960703205791106,0.17890382626680454,0.0077559462254395035,0.055842812823164424,0.1892450879007239,0.02843846949327818,0.004136504653567736,0.01964839710444674,0.028955532574974147
Confrontation,0.17256637168141592,0.12831858407079647,0.11061946902654868,0.11504424778761062,0.13274336283185842,0.022123893805309734,0.03982300884955752,0.1504424778761062,0.048672566371681415,0.022123893805309734,0.04424778761061947,0.01327433628318584
Déviations,#le-comte,#leonore,#beatrix,#don-felix,#crispin,#don-louis,#zamorin,#don-pedre,#cassandre,#lisette,#le-prevot,#la-taillade
#le-comte,8.5,0.2,0.045454545454545456,0.5,1.8846153846153846,0.0,0.9,0.7352941176470589,0.1,1.0,0.5,0.16666666666666666
#leonore,0.2,16.941176470588232,4.380748663101604,7.158169934640525,0.008144796380090523,0.5882352941176471,1.470588235294118,1.8,0.19058823529411756,0.5882352941176471,0.026470588235294128,0.8823529411764707
#beatrix,0.045454545454545456,4.380748663101604,15.558823529411764,1.497623291740939,0.14993829699712083,0.6470588235294118,1.6176470588235297,2.227272727272727,0.2358288770053476,0.6470588235294118,1.2941176470588236,0.9705882352941178
#don-felix,0.5,7.158169934640525,1.4976232917409382,18.38235294117647,0.056561085972850624,0.5294117647058824,1.3235294117647058,0.05555555555555555,1.3235294117647058,0.5294117647058824,0.0032679738562091517,0.7941176470588235
#crispin,1.8846153846153846,0.008144796380090481,0.14993829699712047,0.05656108597285073,12.970588235294118,0.0723981900452489,0.0040723981900452405,0.038461538461538464,0.6194570135746605,1.9954751131221722,0.18325791855203616,1.147058823529412
#don-louis,0.0,0.5882352941176471,0.6470588235294118,0.5294117647058824,0.0723981900452489,30.11764705882353,9.894117647058824,0.0,0.29411764705882354,0.11764705882352941,0.23529411764705882,0.17647058823529413
#zamorin,0.9,1.470588235294118,1.6176470588235297,1.3235294117647058,0.004072398190045261,9.894117647058824,24.735294117647058,0.1,0.735294117647059,0.29411764705882354,0.28823529411764703,0.7078431372549019
#don-pedre,0.7352941176470589,1.8,2.227272727272727,0.05555555555555555,0.038461538461538464,0.0,0.1,8.5,0.9,0.0,0.5,0.16666666666666666
#cassandre,0.1,0.19058823529411756,0.2358288770053476,1.3235294117647058,0.6194570135746609,0.29411764705882354,0.735294117647059,0.9,24.735294117647058,9.894117647058824,0.5882352941176471,0.44117647058823534
#lisette,1.0,0.5882352941176471,0.6470588235294118,0.5294117647058824,1.9954751131221722,0.11764705882352941,0.29411764705882354,0.0,9.894117647058824,30.11764705882353,0.23529411764705882,0.17647058823529413
#le-prevot,0.5,0.026470588235294128,1.2941176470588236,0.0032679738562091517,0.18325791855203616,0.23529411764705882,0.28823529411764703,0.5,0.5882352941176471,0.23529411764705882,26.470588235294116,0.35294117647058826
#la-taillade,0.16666666666666666,0.8823529411764706,0.9705882352941178,0.7941176470588235,1.1470588235294117,0.1764705882352941,0.707843137254902,0.16666666666666666,0.4411764705882353,0.1764705882352941,0.3529411764705882,28.264705882352942
Successions,#le-comte,#leonore,#beatrix,#don-felix,#crispin,#don-louis,#zamorin,#don-pedre,#cassandre,#lisette,#le-prevot,#la-taillade
#le-comte,0.0,0.1322314049586777,0.0743801652892562,0.1487603305785124,0.01652892561983471,0.0,0.0,0.48760330578512395,0.05785123966942149,0.0,0.06611570247933884,0.01652892561983471
#leonore,0.36538461538461536,0.019230769230769232,0.2692307692307692,0.28846153846153844,0.019230769230769232,0.0,0.0,0.019230769230769232,0.019230769230769232,0.0,0.0,0.0
#beatrix,0.14545454545454545,0.3090909090909091,0.0,0.10909090909090909,0.43636363636363634,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-felix,0.21518987341772153,0.21518987341772153,0.10126582278481013,0.0,0.13924050632911392,0.0,0.0,0.3037974683544304,0.0,0.0,0.02531645569620253,0.0
#crispin,0.021739130434782608,0.0,0.2391304347826087,0.16304347826086957,0.0,0.0,0.14130434782608695,0.391304347826087,0.021739130434782608,0.021739130434782608,0.0,0.0
#don-louis,0.0,0.0,0.0,0.1,0.2,0.0,0.4,0.3,0.0,0.0,0.0,0.0
#zamorin,0.0,0.0,0.02564102564102564,0.0,0.3333333333333333,0.15384615384615385,0.0,0.15384615384615385,0.0,0.0,0.02564102564102564,0.3076923076923077
#don-pedre,0.427536231884058,0.0,0.007246376811594203,0.16666666666666666,0.2391304347826087,0.028985507246376812,0.057971014492753624,0.0,0.028985507246376812,0.0,0.028985507246376812,0.014492753623188406
#cassandre,0.375,0.0625,0.0,0.0,0.25,0.0,0.0,0.1875,0.0,0.125,0.0,0.0
#lisette,0.0,0.0,0.0,0.0,0.25,0.0,0.0,0.25,0.5,0.0,0.0,0.0
#le-prevot,0.6,0.0,0.0,0.06666666666666667,0.0,0.0,0.06666666666666667,0.2,0.0,0.0,0.0,0.06666666666666667
#la-taillade,0.11764705882352941,0.0,0.0,0.0,0.0,0.0,0.7647058823529411,0.11764705882352941,0.0,0.0,0.0,0.0
