VALEUR,#genevieve,#benoni,#orismond,#lisandre,#cleon,#premier-amour,#second-amour,#troisieme-amour,#quatrieme-amour,#lysis,#echo,#tous-trois-ensemble,#leris,#sifroy,#golo,#le-sommeil,#le-choeur-des-anges,#l-amour,#une-voix-du-choeur,#le-choeur,#troupe-des-nymphes,#siroy
Fréquences (scènes),0.38235294117647056,0.14705882352941177,0.29411764705882354,0.2647058823529412,0.23529411764705882,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177,0.4411764705882353,0.14705882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.029411764705882353
Fréquences(répliques),0.24588744588744588,0.0329004329004329,0.11601731601731602,0.08961038961038961,0.04285714285714286,0.006926406926406926,0.005627705627705628,0.0030303030303030303,0.0017316017316017316,0.021645021645021644,0.008658008658008658,0.0025974025974025974,0.04069264069264069,0.26277056277056277,0.08008658008658008,0.003463203463203463,0.006926406926406926,0.005627705627705628,0.003896103896103896,0.006060606060606061,0.0,0.012987012987012988
Confrontation,0.16363636363636364,0.08181818181818182,0.12727272727272726,0.16363636363636364,0.13636363636363635,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06363636363636363,0.2,0.06363636363636363,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Déviations,#genevieve,#benoni,#orismond,#lisandre,#cleon,#premier-amour,#second-amour,#troisieme-amour,#quatrieme-amour,#lysis,#echo,#tous-trois-ensemble,#leris,#sifroy,#golo,#le-sommeil,#le-choeur-des-anges,#l-amour,#une-voix-du-choeur,#le-choeur,#troupe-des-nymphes,#siroy
#genevieve,12.970588235294118,4.988687782805428,0.1773755656108598,0.6035696329813978,1.3857466063348414,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.911764705882353,0.012217194570135743,0.4348416289592761,0.0,0.0,0.0,0.0,0.0,0.0,0.3823529411764706
#benoni,4.988687782805431,24.735294117647058,0.1505882352941177,0.07908496732026142,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.735294117647059,0.019215686274509834,0.735294117647059,0.0,0.0,0.0,0.0,0.0,0.0,0.14705882352941177
#orismond,0.17737556561085965,0.1505882352941177,16.941176470588232,0.047058823529411785,0.17794117647058819,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1505882352941177,1.31843137254902,0.1505882352941177,0.0,0.0,0.0,0.0,0.0,0.0,0.29411764705882354
#lisandre,0.6035696329813974,0.07908496732026142,0.047058823529411785,18.38235294117647,11.25653594771242,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.3235294117647058,0.00021786492374727514,0.07908496732026142,0.0,0.0,0.0,0.0,0.0,0.0,0.2647058823529412
#cleon,1.3857466063348414,1.1764705882352942,0.17794117647058819,11.25653594771242,19.88235294117647,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.026470588235294128,0.07941176470588233,1.1764705882352942,0.0,0.0,0.0,0.0,0.0,0.0,0.23529411764705882
#premier-amour,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
