VALEUR,#henriette,#licaste,#frontin,#lisette,#madame-mananville,#ragotin,#listte,#colas,#monsieur-mananville,#jasmin,#fontaubin,#le-baron,#premier-musicien,#second-musicien,#troisieme-musicien,#crispin,#le-choeur
Fréquences (scènes),0.21875,0.125,0.15625,0.375,0.40625,0.15625,0.03125,0.375,0.40625,0.03125,0.3125,0.0625,0.03125,0.03125,0.03125,0.03125,0.03125
Fréquences(répliques),0.0,0.0,0.0,0.10112359550561797,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.06741573033707865,0.0449438202247191,0.14606741573033707,0.25842696629213485,0.38202247191011235
Confrontation,0.0743801652892562,0.028925619834710745,0.05371900826446281,0.1487603305785124,0.11983471074380166,0.028925619834710745,0.008264462809917356,0.13636363636363635,0.1446280991735537,0.008264462809917356,0.10330578512396695,0.04132231404958678,0.028925619834710745,0.028925619834710745,0.028925619834710745,0.008264462809917356,0.008264462809917356
Déviations,#henriette,#licaste,#frontin,#lisette,#madame-mananville,#ragotin,#listte,#colas,#monsieur-mananville,#jasmin,#fontaubin,#le-baron,#premier-musicien,#second-musicien,#troisieme-musicien,#crispin,#le-choeur
#henriette,19.53125,5.160714285714286,0.7508928571428571,0.7202380952380952,0.2503434065934066,1.09375,2.7901785714285716,1.005952380952381,1.1953983516483517,0.21875,0.6446428571428572,0.4375,2.7901785714285716,2.7901785714285716,2.7901785714285716,0.21875,0.21875
#licaste,5.160714285714286,24.5,3.025,0.16666666666666666,1.625,0.625,0.125,1.5,1.625,0.125,0.05,0.25,0.125,0.125,0.125,0.125,0.125
#frontin,0.7508928571428571,3.025,22.78125,0.675,0.5235576923076923,0.78125,0.15625,0.4083333333333333,0.5235576923076923,0.15625,0.1225,1.5125,0.15625,0.15625,0.15625,0.15625,0.15625
#lisette,0.7202380952380952,0.16666666666666666,0.675,12.5,0.15705128205128205,0.4083333333333333,0.375,0.05555555555555555,0.003205128205128205,0.375,2.816666666666667,2.0833333333333335,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667,1.0416666666666667
#madame-mananville,0.2503434065934066,1.625,0.5235576923076923,0.15705128205128205,11.28125,0.0004807692307692308,0.8677884615384616,2.003205128205128,0.5593565088757396,0.40625,1.0471153846153847,1.7355769230769231,0.40625,0.40625,0.40625,0.40625,0.40625
#ragotin,1.09375,0.625,0.78125,0.4083333333333333,0.0004807692307692308,22.78125,0.15625,0.4083333333333333,0.0004807692307692308,0.15625,0.2025,0.3125,0.15625,0.15625,0.15625,0.15625,0.15625
#listte,2.7901785714285716,0.125,0.15625,0.375,0.8677884615384616,0.15625,30.03125,0.375,0.40625,0.03125,0.3125,0.0625,0.03125,0.03125,0.03125,0.03125,0.03125
#colas,1.005952380952381,1.5,0.4083333333333333,0.05555555555555555,2.003205128205128,0.4083333333333333,0.375,12.5,3.4903846153846154,1.0416666666666667,0.15,2.0833333333333335,1.0416666666666667,1.0416666666666667,1.0416666666666667,0.375,0.375
#monsieur-mananville,1.1953983516483517,1.625,0.5235576923076923,0.003205128205128205,0.5593565088757396,0.0004807692307692308,0.40625,3.4903846153846154,11.28125,0.8677884615384616,0.0009615384615384616,1.7355769230769231,0.8677884615384616,0.8677884615384616,0.8677884615384616,0.40625,0.40625
#jasmin,0.21875,0.125,0.15625,0.375,0.40625,0.15625,0.03125,1.0416666666666667,0.8677884615384616,30.03125,0.3125,0.0625,0.03125,0.03125,0.03125,0.03125,0.03125
#fontaubin,0.6446428571428572,0.05,0.1225,2.816666666666667,1.0471153846153847,0.2025,0.3125,0.15,0.0009615384615384616,0.3125,15.125,0.225,1.5125,1.5125,1.5125,0.3125,0.3125
#le-baron,0.4375,0.25,1.5125,2.0833333333333335,1.7355769230769231,0.3125,0.0625,2.0833333333333335,1.7355769230769231,0.0625,0.225,28.125,0.0625,0.0625,0.0625,0.0625,0.0625
#premier-musicien,2.7901785714285716,0.125,0.15625,1.0416666666666667,0.40625,0.15625,0.03125,1.0416666666666667,0.8677884615384616,0.03125,1.5125,0.0625,30.03125,30.03125,30.03125,0.03125,0.03125
#premier-musicien,2.7901785714285716,0.125,0.15625,1.0416666666666667,0.40625,0.15625,0.03125,1.0416666666666667,0.8677884615384616,0.03125,1.5125,0.0625,30.03125,30.03125,30.03125,0.03125,0.03125
