VALEUR,#thalie,#venus,#lisis,#dromon,#carite,#mirto,#nicandre,#phorbas,#anaximene,#un-esclave,#tergalion,#aristeme,#electre,#oreste
Fréquences (scènes),0.1,0.1,0.5,0.2,0.3,0.3,0.7,0.3,0.3,0.2,0.1,0.2,0.2,0.2
Fréquences(répliques),0.04317548746518106,0.04178272980501393,0.2116991643454039,0.06824512534818941,0.057103064066852366,0.1615598885793872,0.17688022284122562,0.033426183844011144,0.04456824512534819,0.005571030640668524,0.033426183844011144,0.0807799442896936,0.025069637883008356,0.016713091922005572
Confrontation,0.007142857142857143,0.007142857142857143,0.11428571428571428,0.02857142857142857,0.1,0.1,0.15714285714285714,0.1,0.1,0.02857142857142857,0.02142857142857143,0.07857142857142857,0.07857142857142857,0.07857142857142857
Déviations,#thalie,#venus,#lisis,#dromon,#carite,#mirto,#nicandre,#phorbas,#anaximene,#un-esclave,#tergalion,#aristeme,#electre,#oreste
#thalie,8.1,8.1,0.5,0.20000000000000004,0.3,0.3,0.7,0.3,0.3,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004
#thalie,8.1,8.1,0.5,0.20000000000000004,0.3,0.3,0.7,0.3,0.3,0.20000000000000004,0.10000000000000002,0.20000000000000004,0.20000000000000004,0.20000000000000004
#lisis,0.5,0.5,2.5,1.0,1.5,1.5,0.07142857142857142,0.16666666666666666,0.16666666666666666,1.0,0.5,0.0,0.0,0.0
#dromon,0.20000000000000004,0.20000000000000004,1.0,6.400000000000001,0.2666666666666667,0.2666666666666667,1.4,0.6,0.6,0.4000000000000001,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.4000000000000001
#carite,0.30000000000000004,0.30000000000000004,1.5,0.2666666666666665,4.9,4.9,0.004761904761904729,0.011111111111111132,0.011111111111111132,0.6000000000000001,0.30000000000000004,0.2666666666666665,0.2666666666666665,0.2666666666666665
#carite,0.30000000000000004,0.30000000000000004,1.5,0.2666666666666665,4.9,4.9,0.004761904761904729,0.011111111111111132,0.011111111111111132,0.6000000000000001,0.30000000000000004,0.2666666666666665,0.2666666666666665,0.2666666666666665
#nicandre,0.7000000000000001,0.7000000000000001,0.07142857142857142,1.4000000000000001,0.00476190476190477,0.00476190476190477,0.9000000000000005,0.3857142857142856,0.3857142857142856,0.257142857142857,0.1285714285714285,0.257142857142857,0.257142857142857,0.257142857142857
#phorbas,0.30000000000000004,0.30000000000000004,0.16666666666666666,0.6000000000000001,0.011111111111111132,0.011111111111111132,0.38571428571428606,4.9,4.9,0.2666666666666665,1.6333333333333329,0.2666666666666665,0.2666666666666665,0.2666666666666665
#phorbas,0.30000000000000004,0.30000000000000004,0.16666666666666666,0.6000000000000001,0.011111111111111132,0.011111111111111132,0.38571428571428606,4.9,4.9,0.2666666666666665,1.6333333333333329,0.2666666666666665,0.2666666666666665,0.2666666666666665
#un-esclave,0.20000000000000004,0.20000000000000004,1.0,0.4000000000000001,0.6,0.6,0.25714285714285723,0.2666666666666667,0.2666666666666667,6.400000000000001,0.20000000000000004,0.4000000000000001,0.4000000000000001,0.4000000000000001
#tergalion,0.10000000000000002,0.10000000000000002,0.5,0.20000000000000004,0.3,0.3,0.12857142857142861,1.633333333333333,1.633333333333333,0.20000000000000004,8.1,0.20000000000000004,0.20000000000000004,0.20000000000000004
#aristeme,0.20000000000000004,0.20000000000000004,0.0,0.4000000000000001,0.2666666666666667,0.2666666666666667,0.25714285714285723,0.2666666666666667,0.2666666666666667,0.4000000000000001,0.20000000000000004,6.400000000000001,6.400000000000001,6.400000000000001
#aristeme,0.20000000000000004,0.20000000000000004,0.0,0.4000000000000001,0.2666666666666667,0.2666666666666667,0.25714285714285723,0.2666666666666667,0.2666666666666667,0.4000000000000001,0.20000000000000004,6.400000000000001,6.400000000000001,6.400000000000001
#aristeme,0.20000000000000004,0.20000000000000004,0.0,0.4000000000000001,0.2666666666666667,0.2666666666666667,0.25714285714285723,0.2666666666666667,0.2666666666666667,0.4000000000000001,0.20000000000000004,6.400000000000001,6.400000000000001,6.400000000000001
Successions,#thalie,#venus,#lisis,#dromon,#carite,#mirto,#nicandre,#phorbas,#anaximene,#un-esclave,#tergalion,#aristeme,#electre,#oreste
#thalie,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#venus,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lisis,0.01639344262295082,0.0,0.0,0.18032786885245902,0.16393442622950818,0.22950819672131148,0.2459016393442623,0.03278688524590164,0.04918032786885246,0.0,0.0,0.08196721311475409,0.0,0.0
#dromon,0.0,0.0,0.9166666666666666,0.0,0.0,0.08333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#carite,0.0,0.0,0.3684210526315789,0.05263157894736842,0.0,0.2631578947368421,0.3157894736842105,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#mirto,0.0,0.0,0.7083333333333334,0.0,0.125,0.0,0.16666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nicandre,0.0,0.0,0.2786885245901639,0.0,0.09836065573770492,0.06557377049180328,0.03278688524590164,0.11475409836065574,0.16393442622950818,0.03278688524590164,0.08196721311475409,0.13114754098360656,0.0,0.0
#phorbas,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.7058823529411765,0.0,0.11764705882352941,0.0,0.058823529411764705,0.0,0.0,0.0
#anaximene,0.0,0.0,0.11764705882352941,0.0,0.0,0.0,0.5294117647058824,0.23529411764705882,0.0,0.058823529411764705,0.058823529411764705,0.0,0.0,0.0
#un-esclave,0.0,0.0,0.0,0.0,0.0,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#tergalion,0.0,0.0,0.0,0.0,0.0,0.0,0.5714285714285714,0.14285714285714285,0.2857142857142857,0.0,0.0,0.0,0.0,0.0
#aristeme,0.0,0.0,0.35714285714285715,0.0,0.0,0.0,0.42857142857142855,0.14285714285714285,0.0,0.0,0.0,0.0,0.07142857142857142,0.0
#electre,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1,0.0,0.9
#oreste,0.0,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.0,0.8888888888888888,0.0
