VALEUR,#fontalbe,#marine,#ensemble,#blaise,#belinde,#fontalbe #marine,#fontalbe #belinde,#marine #belinde
Fréquences (scènes),0.5217391304347826,0.5652173913043478,0.17391304347826086,0.5652173913043478,0.43478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.17597765363128492,0.24581005586592178,0.04748603351955307,0.30446927374301674,0.19273743016759776,0.0111731843575419,0.0111731843575419,0.0111731843575419
Confrontation,0.22413793103448276,0.19827586206896552,0.11206896551724138,0.1724137931034483,0.16379310344827586,0.06896551724137931,0.02586206896551724,0.034482758620689655
Déviations,#fontalbe,#marine,#ensemble,#blaise,#belinde,#fontalbe #marine,#fontalbe #belinde,#marine #belinde
#fontalbe,5.2608695652173925,0.006967670011148277,1.7536231884057973,0.4685061315496098,0.11739130434782606,0.8768115942028987,0.43840579710144933,0.43840579710144933
#marine,0.0069676700111483345,4.347826086956526,0.2416387959866222,0.016465140210959423,1.24448160535117,0.6688963210702342,0.5652173913043478,0.3344481605351171
#ensemble,1.7536231884057973,0.2416387959866222,15.695652173913043,0.7031772575250835,0.03913043478260871,1.2228260869565217,3.9239130434782608,3.9239130434782608
#blaise,0.46850613154960935,0.016465140210959423,0.7031772575250835,4.347826086956526,0.07525083612040119,0.01505016722408025,0.5652173913043478,0.3344481605351171
#belinde,0.11739130434782606,1.24448160535117,0.03913043478260871,0.07525083612040119,7.347826086956523,1.4695652173913045,0.7347826086956523,0.43478260869565216
#fontalbe #marine,0.8768115942028987,0.6688963210702342,1.2228260869565217,0.01505016722408025,1.4695652173913045,19.17391304347826,0.08695652173913043,0.08695652173913043
#fontalbe #belinde,0.43840579710144933,0.5652173913043478,3.9239130434782608,0.5652173913043478,0.7347826086956523,0.08695652173913043,21.043478260869566,0.043478260869565216
#marine #belinde,0.43840579710144933,0.3344481605351171,3.9239130434782608,0.3344481605351171,0.43478260869565216,0.08695652173913043,0.043478260869565216,21.043478260869566
Successions,#fontalbe,#marine,#ensemble,#blaise,#belinde,#fontalbe #marine,#fontalbe #belinde,#marine #belinde
#fontalbe,0.0,0.46938775510204084,0.02040816326530612,0.1836734693877551,0.2857142857142857,0.02040816326530612,0.02040816326530612,0.0
#marine,0.3611111111111111,0.013888888888888888,0.013888888888888888,0.5833333333333334,0.027777777777777776,0.0,0.0,0.0
#ensemble,0.2,0.4,0.0,0.2,0.2,0.0,0.0,0.0
#blaise,0.09859154929577464,0.5633802816901409,0.014084507042253521,0.0,0.30985915492957744,0.0,0.0,0.014084507042253521
#belinde,0.36585365853658536,0.0975609756097561,0.024390243902439025,0.4634146341463415,0.024390243902439025,0.024390243902439025,0.0,0.0
#fontalbe #marine,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0
#fontalbe #belinde,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#fontalbe #belinde,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
