VALEUR,#lelio,#tous,#carle,#arlequin,#ali,#arlequin #lelio,#lelio #arlequin,#taher,#isabelle,#lelio #arlequin #taher,#isabelle #lelio,#les-esclaves
Fréquences (scènes),1.0,0.16666666666666666,0.25,0.75,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.3342857142857143,0.04285714285714286,0.03428571428571429,0.22,0.07428571428571429,0.008571428571428572,0.02,0.11428571428571428,0.12285714285714286,0.008571428571428572,0.005714285714285714,0.014285714285714285
Confrontation,0.2459016393442623,0.04918032786885246,0.07377049180327869,0.19672131147540983,0.05737704918032787,0.03278688524590164,0.02459016393442623,0.12295081967213115,0.10655737704918032,0.03278688524590164,0.02459016393442623,0.03278688524590164
Déviations,#lelio,#tous,#carle,#arlequin,#ali,#arlequin #lelio,#lelio #arlequin,#taher,#isabelle,#lelio #arlequin #taher,#isabelle #lelio,#les-esclaves
#lelio,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#tous,0.0,8.333333333333336,0.5,0.16666666666666666,1.3333333333333337,4.166666666666668,0.16666666666666666,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#carle,0.0,0.5,6.75,0.027777777777777776,0.5,0.25,0.25,0.05,0.0,0.25,0.25,2.25
#arlequin,0.0,0.16666666666666666,0.027777777777777776,0.75,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.15,0.0,0.08333333333333333,0.75,0.08333333333333333
#ali,0.0,1.3333333333333337,0.5,0.16666666666666666,8.333333333333336,4.166666666666668,4.166666666666668,0.8333333333333334,0.6666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
#arlequin #lelio,0.0,4.166666666666668,0.25,0.08333333333333333,4.166666666666668,10.083333333333332,0.08333333333333333,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#lelio #arlequin,0.0,0.16666666666666666,0.25,0.08333333333333333,4.166666666666668,0.08333333333333333,10.083333333333332,0.4166666666666667,0.3333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
#taher,0.0,0.8333333333333333,0.05,0.15,0.8333333333333333,0.41666666666666663,0.41666666666666663,4.083333333333332,1.0666666666666669,0.8166666666666669,0.8166666666666669,0.8166666666666669
#isabelle,0.0,0.6666666666666666,0.0,0.0,0.6666666666666666,0.3333333333333333,0.3333333333333333,1.0666666666666667,5.333333333333335,1.3333333333333337,1.3333333333333337,0.3333333333333333
#lelio #arlequin #taher,0.0,0.16666666666666666,0.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8166666666666664,1.3333333333333337,10.083333333333332,0.08333333333333333,0.08333333333333333
#isabelle #lelio,0.0,0.16666666666666666,0.25,0.75,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8166666666666664,1.3333333333333337,0.08333333333333333,10.083333333333332,0.08333333333333333
#les-esclaves,0.0,0.16666666666666666,2.25,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.8166666666666664,0.3333333333333333,0.08333333333333333,0.08333333333333333,10.083333333333332
Successions,#lelio,#tous,#carle,#arlequin,#ali,#arlequin #lelio,#lelio #arlequin,#taher,#isabelle,#lelio #arlequin #taher,#isabelle #lelio,#les-esclaves
#lelio,0.02459016393442623,0.0,0.09016393442622951,0.20491803278688525,0.07377049180327869,0.0,0.0,0.319672131147541,0.2786885245901639,0.0,0.00819672131147541,0.0
#tous,0.2,0.0,0.2,0.2,0.0,0.4,0.0,0.0,0.0,0.0,0.0,0.0
#carle,0.7333333333333333,0.13333333333333333,0.0,0.06666666666666667,0.0,0.0,0.0,0.06666666666666667,0.0,0.0,0.0,0.0
#arlequin,0.5166666666666667,0.016666666666666666,0.05,0.03333333333333333,0.16666666666666666,0.0,0.016666666666666666,0.16666666666666666,0.03333333333333333,0.0,0.0,0.0
#ali,0.3,0.0,0.0,0.7,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arlequin #lelio,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lelio #arlequin,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#taher,0.5757575757575758,0.0,0.0,0.24242424242424243,0.0,0.0,0.0,0.0,0.15151515151515152,0.015151515151515152,0.0,0.015151515151515152
#isabelle,0.6666666666666666,0.0,0.0,0.020833333333333332,0.0,0.0,0.0,0.3125,0.0,0.0,0.0,0.0
#lelio #arlequin #taher,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#isabelle #lelio,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#les-esclaves,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0
