VALEUR,#salome,#philon,#alexandre,#phedime,#antipater,#phenice,#glaphira,#herode,#thirron,#achas,#narbal
Fréquences (scènes),0.35135135135135137,0.13513513513513514,0.2972972972972973,0.05405405405405406,0.1891891891891892,0.05405405405405406,0.1891891891891892,0.3783783783783784,0.10810810810810811,0.10810810810810811,0.05405405405405406
Fréquences(répliques),0.20369267421083978,0.06075044669446099,0.22870756402620607,0.016676593210244194,0.051816557474687316,0.01072066706372841,0.07980941036331149,0.21560452650387135,0.10482430017867779,0.01786777843954735,0.009529481834425254
Confrontation,0.15,0.05,0.175,0.025,0.1125,0.025,0.125,0.1875,0.0375,0.075,0.0375
Déviations,#salome,#philon,#alexandre,#phedime,#antipater,#phenice,#glaphira,#herode,#thirron,#achas,#narbal
#salome,15.567567567567563,0.03367983367983367,0.8998298998298999,2.395010395010395,0.08583308583308591,0.7027027027027027,2.4594594594594597,0.7485892485892488,0.11694386694386699,1.4054054054054055,0.7027027027027027
#philon,0.03367983367983367,27.67567567567568,0.1773955773955773,0.2702702702702703,0.945945945945946,0.2702702702702703,0.945945945945946,1.891891891891892,0.5405405405405406,0.5405405405405406,0.2702702702702703
#alexandre,0.8998298998298999,0.1773955773955773,18.27027027027027,0.5945945945945946,0.0031590031590031636,0.5945945945945946,0.4057564057564057,0.32449982449982456,0.030098280098280115,0.030098280098280115,0.5945945945945946
#phedime,2.395010395010395,0.2702702702702703,0.5945945945945946,33.108108108108105,0.37837837837837834,0.10810810810810811,0.37837837837837834,0.7567567567567567,0.21621621621621623,0.21621621621621623,0.10810810810810811
#antipater,0.08583308583308591,0.945945945945946,0.0031590031590031636,0.37837837837837834,24.324324324324323,0.37837837837837834,5.405956977385547,1.0261996690568118,0.7567567567567567,0.7567567567567567,0.37837837837837834
#phenice,0.7027027027027027,0.2702702702702703,0.5945945945945946,0.10810810810810811,0.37837837837837834,33.108108108108105,6.9498069498069475,0.7567567567567567,0.21621621621621623,0.21621621621621623,0.10810810810810811
#glaphira,2.4594594594594597,0.945945945945946,0.4057564057564057,0.37837837837837834,5.405956977385547,6.9498069498069475,24.324324324324323,1.0261996690568118,0.7567567567567567,0.7567567567567567,0.37837837837837834
#herode,0.7485892485892488,1.891891891891892,0.32449982449982456,0.7567567567567567,1.0261996690568118,0.7567567567567567,1.0261996690568118,14.297297297297293,0.17422779922779927,4.084942084942084,2.042471042471042
#thirron,0.11694386694386699,0.5405405405405406,0.030098280098280115,0.21621621621621623,0.7567567567567567,0.21621621621621623,0.7567567567567567,0.17422779922779927,29.43243243243243,0.43243243243243246,0.21621621621621623
#achas,1.4054054054054055,0.5405405405405406,0.030098280098280115,0.21621621621621623,0.7567567567567567,0.21621621621621623,0.7567567567567567,4.084942084942084,0.43243243243243246,29.43243243243243,2.8412162162162162
#narbal,0.7027027027027027,0.2702702702702703,0.5945945945945946,0.10810810810810811,0.37837837837837834,0.10810810810810811,0.37837837837837834,2.042471042471042,0.21621621621621623,2.8412162162162162,33.108108108108105
Successions,#salome,#philon,#alexandre,#phedime,#antipater,#phenice,#glaphira,#herode,#thirron,#achas,#narbal
#salome,0.022727272727272728,0.045454545454545456,0.22727272727272727,0.20454545454545456,0.06818181818181818,0.0,0.0,0.36363636363636365,0.06818181818181818,0.0,0.0
#philon,0.10526315789473684,0.05263157894736842,0.7894736842105263,0.0,0.0,0.0,0.0,0.0,0.05263157894736842,0.0,0.0
#alexandre,0.16666666666666666,0.2962962962962963,0.037037037037037035,0.0,0.05555555555555555,0.0,0.16666666666666666,0.12962962962962962,0.14814814814814814,0.0,0.0
#phedime,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#antipater,0.16666666666666666,0.0,0.16666666666666666,0.0,0.05555555555555555,0.0,0.5,0.1111111111111111,0.0,0.0,0.0
#phenice,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#glaphira,0.0,0.0,0.42857142857142855,0.0,0.38095238095238093,0.14285714285714285,0.0,0.047619047619047616,0.0,0.0,0.0
#herode,0.34782608695652173,0.0,0.10869565217391304,0.0,0.06521739130434782,0.0,0.043478260869565216,0.06521739130434782,0.10869565217391304,0.1956521739130435,0.06521739130434782
#thirron,0.23529411764705882,0.0,0.47058823529411764,0.0,0.0,0.0,0.0,0.29411764705882354,0.0,0.0,0.0
#achas,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0
#narbal,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
