VALEUR,#choeur,#ariane,#miss-clustenbrut,#pasiphaë,#minos,#un-garde,#thesee,#le-choeur,#tous,#pasipiiaë,#pasiphae,#ariane #thesee,#v
Fréquences (scènes),0.3333333333333333,0.6666666666666666,0.4166666666666667,0.75,0.5,0.16666666666666666,0.4166666666666667,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.08333333333333333,0.08333333333333333
Fréquences(répliques),0.08680555555555555,0.19791666666666666,0.003472222222222222,0.1388888888888889,0.14930555555555555,0.0,0.2951388888888889,0.017361111111111112,0.08333333333333333,0.0,0.0,0.027777777777777776,0.0
Confrontation,0.10326086956521739,0.125,0.09239130434782608,0.15760869565217392,0.1358695652173913,0.02717391304347826,0.10869565217391304,0.04891304347826087,0.07065217391304347,0.04891304347826087,0.04891304347826087,0.010869565217391304,0.021739130434782608
Déviations,#choeur,#ariane,#miss-clustenbrut,#pasiphaë,#minos,#un-garde,#thesee,#le-choeur,#tous,#pasipiiaë,#pasiphae,#ariane #thesee,#v
#choeur,5.333333333333335,0.1666666666666666,0.06666666666666664,0.0,0.5,0.6666666666666666,1.0666666666666667,1.3333333333333337,2.6666666666666674,1.3333333333333337,1.3333333333333337,0.3333333333333333,1.3333333333333337
#ariane,0.1666666666666666,1.3333333333333337,0.8333333333333331,0.16666666666666666,0.25,0.0833333333333333,0.5333333333333334,0.1666666666666667,0.0833333333333333,0.1666666666666667,0.1666666666666667,0.1666666666666667,0.6666666666666666
#miss-clustenbrut,0.06666666666666674,0.8333333333333336,4.083333333333332,0.15,0.1,0.8333333333333333,0.5633333333333335,0.8166666666666669,0.03333333333333337,0.8166666666666669,0.8166666666666669,0.41666666666666663,0.41666666666666663
#pasiphaë,0.0,0.16666666666666666,0.15,0.75,0.5,0.16666666666666666,0.016666666666666666,0.08333333333333333,0.16666666666666666,0.08333333333333333,0.08333333333333333,0.75,0.08333333333333333
#minos,0.5,0.25,0.1,0.5,3.0,1.0,0.1,0.5,1.0,0.5,0.5,0.5,0.5
#un-garde,0.6666666666666666,0.0833333333333333,0.8333333333333334,0.16666666666666666,1.0,8.333333333333336,0.8333333333333334,0.16666666666666666,0.3333333333333333,0.16666666666666666,0.16666666666666666,0.16666666666666666,0.16666666666666666
