VALEUR,#eraste,#la-fleur,#clitandre,#la-fontaine,#lolive,#thibaut,#mathurine,#cleonte,#madame-loricart,#mariane,#angelique,#le-choeur,#le-tabellion,#guillemette,#colinette,#ensemble
Fréquences (scènes),0.22727272727272727,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.6363636363636364,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07142857142857142,0.30357142857142855,0.35714285714285715,0.14285714285714285,0.125
Confrontation,0.06944444444444445,0.006944444444444444,0.06944444444444445,0.006944444444444444,0.09027777777777778,0.0763888888888889,0.1736111111111111,0.1111111111111111,0.0763888888888889,0.06944444444444445,0.0625,0.04861111111111111,0.05555555555555555,0.027777777777777776,0.027777777777777776,0.027777777777777776
Déviations,#eraste,#la-fleur,#clitandre,#la-fontaine,#lolive,#thibaut,#mathurine,#cleonte,#madame-loricart,#mariane,#angelique,#le-choeur,#le-tabellion,#guillemette,#colinette,#ensemble
#eraste,13.136363636363638,2.627272727272727,4.809090909090908,0.2272727272727273,0.2969696969696971,1.1363636363636362,1.496103896103896,0.016363636363636334,1.1363636363636362,0.14848484848484855,0.6545454545454544,0.4545454545454546,0.4545454545454546,0.2272727272727273,0.2272727272727273,0.2272727272727273
#la-fleur,2.627272727272727,20.045454545454547,0.18181818181818182,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.6363636363636364,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456
#clitandre,4.809090909090909,0.18181818181818182,14.727272727272725,3.681818181818181,0.7575757575757578,0.9090909090909091,0.9383116883116882,0.009090909090909097,0.9090909090909091,0.3787878787878789,1.1136363636363635,0.36363636363636365,0.36363636363636365,0.18181818181818182,0.18181818181818182,0.18181818181818182
#la-fontaine,0.22727272727272727,0.045454545454545456,3.681818181818181,20.045454545454547,0.2727272727272727,0.22727272727272727,0.6363636363636364,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.09090909090909091,0.09090909090909091,0.09090909090909091,0.045454545454545456,0.045454545454545456,0.045454545454545456
#lolive,0.2969696969696971,0.2727272727272727,0.7575757575757578,0.2727272727272727,11.636363636363635,0.2969696969696971,0.17532467532467538,0.09696969696969691,0.09696969696969691,0.040404040404040435,0.3787878787878789,0.5454545454545454,0.5454545454545454,0.2727272727272727,0.2727272727272727,0.2727272727272727
#thibaut,1.1363636363636362,0.2272727272727273,0.9090909090909092,0.2272727272727273,0.2969696969696971,13.136363636363638,0.21038961038961046,0.016363636363636334,0.6563636363636366,0.6818181818181818,0.4545454545454546,0.6545454545454544,0.6545454545454544,0.2272727272727273,0.2272727272727273,0.2272727272727273
#mathurine,1.496103896103896,0.6363636363636364,0.9383116883116882,0.6363636363636364,0.17532467532467522,0.21038961038961046,2.9090909090909105,1.038961038961039,0.21038961038961046,0.6233766233766236,0.4155844155844156,0.05844155844155843,0.05844155844155843,0.6363636363636364,0.6363636363636364,0.6363636363636364
#cleonte,0.016363636363636334,0.2272727272727273,0.009090909090909073,0.2272727272727273,0.09696969696969691,0.016363636363636334,1.038961038961039,13.136363636363638,0.6563636363636366,2.5484848484848492,5.254545454545454,0.4545454545454546,0.6545454545454544,0.2272727272727273,0.2272727272727273,0.2272727272727273
#madame-loricart,1.1363636363636362,0.2272727272727273,0.9090909090909092,0.2272727272727273,0.09696969696969691,0.6563636363636366,0.21038961038961046,0.6563636363636366,13.136363636363638,0.6818181818181818,0.4545454545454546,0.6545454545454544,0.6545454545454544,0.2272727272727273,0.2272727272727273,0.2272727272727273
#mariane,0.14848484848484855,0.13636363636363635,0.3787878787878789,0.13636363636363635,0.040404040404040435,0.6818181818181818,0.6233766233766233,2.5484848484848492,0.6818181818181818,16.40909090909091,10.939393939393941,0.2727272727272727,0.2727272727272727,0.13636363636363635,0.13636363636363635,0.13636363636363635
#angelique,0.6545454545454544,0.09090909090909091,1.1136363636363635,0.09090909090909091,0.3787878787878789,0.45454545454545453,0.4155844155844156,5.254545454545454,0.45454545454545453,10.939393939393941,18.18181818181818,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.09090909090909091
#le-choeur,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.6545454545454544,0.05844155844155843,0.45454545454545453,0.6545454545454544,0.2727272727272727,0.18181818181818182,18.18181818181818,3.681818181818181,9.09090909090909,9.09090909090909,9.09090909090909
#le-tabellion,0.45454545454545453,0.09090909090909091,0.36363636363636365,0.09090909090909091,0.5454545454545454,0.6545454545454544,0.05844155844155843,0.6545454545454544,0.6545454545454544,0.2727272727272727,0.18181818181818182,3.681818181818181,18.18181818181818,9.09090909090909,9.09090909090909,9.09090909090909
#guillemette,0.22727272727272727,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.6363636363636364,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.09090909090909091,9.09090909090909,9.09090909090909,20.045454545454547,20.045454545454547,20.045454545454547
#guillemette,0.22727272727272727,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.6363636363636364,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.09090909090909091,9.09090909090909,9.09090909090909,20.045454545454547,20.045454545454547,20.045454545454547
#guillemette,0.22727272727272727,0.045454545454545456,0.18181818181818182,0.045454545454545456,0.2727272727272727,0.22727272727272727,0.6363636363636364,0.22727272727272727,0.22727272727272727,0.13636363636363635,0.09090909090909091,9.09090909090909,9.09090909090909,20.045454545454547,20.045454545454547,20.045454545454547
Successions,#eraste,#la-fleur,#clitandre,#la-fontaine,#lolive,#thibaut,#mathurine,#cleonte,#madame-loricart,#mariane,#angelique,#le-choeur,#le-tabellion,#guillemette,#colinette,#ensemble
#eraste,0.0,0.08333333333333333,0.2916666666666667,0.041666666666666664,0.4583333333333333,0.0,0.0,0.08333333333333333,0.0,0.0,0.041666666666666664,0.0,0.0,0.0,0.0,0.0
#la-fleur,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#clitandre,0.55,0.0,0.0,0.05,0.3,0.0,0.05,0.0,0.0,0.05,0.0,0.0,0.0,0.0,0.0,0.0
#la-fontaine,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#lolive,0.16666666666666666,0.0,0.15,0.0,0.0,0.4666666666666667,0.15,0.05,0.016666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thibaut,0.0,0.0,0.0,0.0,0.45161290322580644,0.0,0.2903225806451613,0.06451612903225806,0.16129032258064516,0.0,0.0,0.016129032258064516,0.016129032258064516,0.0,0.0,0.0
#mathurine,0.01098901098901099,0.0,0.0,0.0,0.12087912087912088,0.17582417582417584,0.0,0.21978021978021978,0.32967032967032966,0.12087912087912088,0.02197802197802198,0.0,0.0,0.0,0.0,0.0
