VALEUR,#isabelle,#gilles,#cassandre,#le-docteur,#leandre
Fréquences (scènes),0.6,0.8,0.8,0.4,0.2
Fréquences(répliques),0.0,0.5,0.5,0.0,0.0
Confrontation,0.1875,0.25,0.25,0.1875,0.125
Déviations,#isabelle,#gilles,#cassandre,#le-docteur,#leandre
#isabelle,0.8000000000000003,0.06666666666666678,0.06666666666666678,0.03333333333333339,0.2666666666666665
#gilles,0.06666666666666664,0.1999999999999999,0.012500000000000022,0.09999999999999995,0.049999999999999975
#cassandre,0.06666666666666664,0.012500000000000022,0.1999999999999999,0.09999999999999995,0.049999999999999975
#le-docteur,0.03333333333333332,0.09999999999999995,0.09999999999999995,1.7999999999999998,0.8999999999999999
#leandre,0.2666666666666667,0.049999999999999975,0.049999999999999975,0.8999999999999999,3.2000000000000006
Successions,#isabelle,#gilles,#cassandre,#le-docteur,#leandre
#isabelle,0.0,0.43478260869565216,0.34782608695652173,0.0,0.21739130434782608
#gilles,0.225,0.025,0.55,0.125,0.075
#cassandre,0.2,0.525,0.0,0.225,0.05
#le-docteur,0.0,0.3125,0.5625,0.0625,0.0625
#leandre,0.6363636363636364,0.18181818181818182,0.09090909090909091,0.09090909090909091,0.0
