VALEUR,#medee,#nerine,#aetes,#jason,#medee #aetes #jason,#aetes #medee,#orphee,#pollux,#idamas,#choeur,#medee #jason,#l-amour,#venus
Fréquences (scènes),0.7777777777777778,0.05555555555555555,0.2777777777777778,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555
Fréquences(répliques),0.42589437819420783,0.0034071550255536627,0.13287904599659284,0.23509369676320271,0.010221465076660987,0.008517887563884156,0.018739352640545145,0.034071550255536626,0.020442930153321975,0.07836456558773425,0.008517887563884156,0.008517887563884156,0.015332197614991482
Confrontation,0.23,0.01,0.13,0.19,0.05,0.09,0.05,0.02,0.04,0.14,0.03,0.0,0.02
Déviations,#medee,#nerine,#aetes,#jason,#medee #aetes #jason,#aetes #medee,#orphee,#pollux,#idamas,#choeur,#medee #jason,#l-amour,#venus
#medee,0.8888888888888886,0.06349206349206356,0.31746031746031717,0.0,0.06349206349206356,0.12698412698412712,0.06349206349206356,0.7777777777777776,0.1984126984126983,0.09523809523809508,0.06349206349206356,0.7777777777777776,0.7777777777777776
#nerine,0.06349206349206349,16.055555555555557,0.2777777777777778,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555
#aetes,0.3174603174603175,0.2777777777777778,9.38888888888889,0.1,1.8777777777777775,3.755555555555555,1.8777777777777775,0.2777777777777778,0.5555555555555556,0.06666666666666674,0.2777777777777778,0.2777777777777778,0.2777777777777778
#jason,0.0,0.5,0.1,4.5,0.5,1.0,0.5,0.5,0.0,0.0,0.5,0.5,0.5
#medee #aetes #jason,0.06349206349206349,0.05555555555555555,1.8777777777777775,0.5,16.055555555555557,7.111111111111111,16.055555555555557,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555
#aetes #medee,0.12698412698412698,0.1111111111111111,3.755555555555555,1.0,7.111111111111111,14.222222222222221,7.111111111111111,0.1111111111111111,0.2222222222222222,0.1666666666666667,0.1111111111111111,0.1111111111111111,0.1111111111111111
#medee #aetes #jason,0.06349206349206349,0.05555555555555555,1.8777777777777775,0.5,16.055555555555557,7.111111111111111,16.055555555555557,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.05555555555555555,0.05555555555555555,0.05555555555555555
#pollux,0.7777777777777778,0.05555555555555555,0.2777777777777778,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,16.055555555555557,7.111111111111111,1.3333333333333337,0.05555555555555555,0.05555555555555555,0.05555555555555555
#idamas,0.19841269841269843,0.1111111111111111,0.5555555555555556,0.0,0.1111111111111111,0.2222222222222222,0.1111111111111111,7.111111111111111,14.222222222222221,0.1666666666666667,0.1111111111111111,0.1111111111111111,0.1111111111111111
#choeur,0.09523809523809532,0.3333333333333333,0.06666666666666664,0.0,0.3333333333333333,0.1666666666666667,0.3333333333333333,1.3333333333333337,0.1666666666666667,8.0,1.3333333333333337,0.3333333333333333,1.3333333333333337
#medee #jason,0.06349206349206349,0.05555555555555555,0.2777777777777778,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,1.3333333333333337,16.055555555555557,0.05555555555555555,0.05555555555555555
#l-amour,0.7777777777777778,0.05555555555555555,0.2777777777777778,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,0.3333333333333333,0.05555555555555555,16.055555555555557,0.05555555555555555
#venus,0.7777777777777778,0.05555555555555555,0.2777777777777778,0.5,0.05555555555555555,0.1111111111111111,0.05555555555555555,0.05555555555555555,0.1111111111111111,1.3333333333333337,0.05555555555555555,0.05555555555555555,16.055555555555557
Successions,#medee,#nerine,#aetes,#jason,#medee #aetes #jason,#aetes #medee,#orphee,#pollux,#idamas,#choeur,#medee #jason,#l-amour,#venus
#medee,0.05,0.016666666666666666,0.35,0.4666666666666667,0.0,0.0,0.016666666666666666,0.0,0.0,0.1,0.0,0.0,0.0
#nerine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aetes,0.6571428571428571,0.0,0.05714285714285714,0.05714285714285714,0.05714285714285714,0.0,0.0,0.0,0.02857142857142857,0.14285714285714285,0.0,0.0,0.0
#jason,0.75,0.0,0.08333333333333333,0.0,0.027777777777777776,0.0,0.0,0.0,0.027777777777777776,0.08333333333333333,0.0,0.0,0.027777777777777776
#medee #aetes #jason,0.0,0.0,0.3333333333333333,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#aetes #medee,0.0,0.0,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#orphee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pollux,0.0,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.6666666666666666,0.1111111111111111,0.0,0.0,0.0
#idamas,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.375,0.0,0.125,0.0
#choeur,0.2631578947368421,0.0,0.3157894736842105,0.05263157894736842,0.0,0.10526315789473684,0.0,0.21052631578947367,0.0,0.0,0.05263157894736842,0.0,0.0
#medee #jason,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.0
#orphee,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#nerine,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
