VALEUR,#nerine,#daphne,#philante,#scamandre,#rodope,#tirene,#tracine,#geron
Fréquences (scènes),0.48,0.68,0.28,0.56,0.48,0.36,0.08,0.04
Fréquences(répliques),0.17308707124010553,0.20897097625329816,0.07018469656992084,0.24379947229551452,0.20474934036939313,0.08390501319261214,0.010026385224274407,0.005277044854881266
Confrontation,0.16489361702127658,0.21808510638297873,0.11170212765957446,0.2127659574468085,0.1276595744680851,0.11702127659574468,0.031914893617021274,0.015957446808510637
Déviations,#nerine,#daphne,#philante,#scamandre,#rodope,#tirene,#tracine,#geron
#nerine,6.760000000000001,0.41490196078431363,0.8004761904761901,0.24380952380952353,1.3224999999999998,0.4033333333333335,0.0016666666666666698,0.5633333333333335
#daphne,0.41490196078431363,2.5599999999999996,0.012100840336134384,0.6460504201680665,0.571764705882353,0.0023529411764705924,0.09529411764705888,0.15058823529411758
#philante,0.8004761904761901,0.012100840336134384,12.959999999999992,2.419999999999998,0.5504761904761907,0.10730158730158731,0.56,0.28
#scamandre,0.24380952380952353,0.6460504201680665,2.419999999999998,4.839999999999996,0.07714285714285728,0.00031746031746031806,0.01285714285714288,0.34571428571428564
#rodope,1.3224999999999998,0.571764705882353,0.5504761904761907,0.07714285714285728,6.760000000000001,0.10703703703703693,1.126666666666667,0.48
#tirene,0.4033333333333335,0.0023529411764705924,0.10730158730158747,0.00031746031746033204,0.10703703703703693,10.24,0.10888888888888891,0.36
#tracine,0.0016666666666666698,0.09529411764705888,0.56,0.01285714285714288,1.126666666666667,0.10888888888888891,21.16,0.08
#geron,0.5633333333333335,0.15058823529411758,0.28,0.34571428571428564,0.48,0.36,0.08,23.04
Successions,#nerine,#daphne,#philante,#scamandre,#rodope,#tirene,#tracine,#geron
#nerine,0.0,0.45,0.08,0.3,0.13,0.02,0.0,0.02
#daphne,0.38524590163934425,0.0,0.01639344262295082,0.23770491803278687,0.1721311475409836,0.16393442622950818,0.00819672131147541,0.01639344262295082
#philante,0.20588235294117646,0.11764705882352941,0.0,0.5294117647058824,0.08823529411764706,0.058823529411764705,0.0,0.0
#scamandre,0.28846153846153844,0.3076923076923077,0.18269230769230768,0.0,0.17307692307692307,0.019230769230769232,0.0,0.028846153846153848
#rodope,0.13414634146341464,0.24390243902439024,0.036585365853658534,0.2682926829268293,0.0,0.25609756097560976,0.06097560975609756,0.0
#tirene,0.06382978723404255,0.3617021276595745,0.02127659574468085,0.10638297872340426,0.44680851063829785,0.0,0.0,0.0
#tracine,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#geron,0.42857142857142855,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0
