VALEUR,#don-alvares,#don-gusman,#alvares,#monteze,#alzire,#gusman,#zamore,#americain,#garde,#emire,#cephane,#alonze
Fréquences (scènes),0.030303030303030304,0.21212121212121213,0.2727272727272727,0.18181818181818182,0.6363636363636364,0.12121212121212122,0.3939393939393939,0.06060606060606061,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.09090909090909091
Fréquences(répliques),0.06228842247799594,0.1029113067027759,0.12119160460392688,0.1002031144211239,0.2742044685172647,0.02979011509817197,0.23425863236289776,0.025050778605280974,0.0006770480704129993,0.02843601895734597,0.006770480704129994,0.014218009478672985
Confrontation,0.016129032258064516,0.14516129032258066,0.1693548387096774,0.04838709677419355,0.22580645161290322,0.08064516129032258,0.18548387096774194,0.016129032258064516,0.016129032258064516,0.04032258064516129,0.016129032258064516,0.04032258064516129
Déviations,#don-alvares,#don-gusman,#alvares,#monteze,#alzire,#gusman,#zamore,#americain,#garde,#emire,#cephane,#alonze
#don-alvares,31.03030303030303,2.9264069264069263,1.9393939393939397,0.18181818181818182,0.6363636363636364,0.12121212121212122,0.3939393939393939,0.06060606060606061,0.030303030303030304,0.12121212121212122,0.030303030303030304,0.09090909090909091
#don-gusman,2.9264069264069263,20.484848484848488,5.004329004329004,1.2727272727272727,0.06679035250463833,5.4556277056277045,0.021312021312021354,0.4242424242424243,0.21212121212121215,0.8484848484848486,0.21212121212121215,0.2077922077922078
#alvares,1.9393939393939397,5.004329004329004,17.45454545454546,0.24747474747474754,0.09235209235209241,3.3409090909090917,0.5967365967365967,0.5454545454545454,0.2727272727272727,1.0909090909090908,0.2727272727272727,0.04040404040404038
#monteze,0.18181818181818182,1.2727272727272727,0.2474747474747474,22.090909090909093,0.8658008658008659,0.7272727272727273,0.05594405594405585,0.36363636363636365,3.681818181818181,0.7272727272727273,0.18181818181818182,0.5454545454545454
#alzire,0.6363636363636364,0.06679035250463809,0.09235209235209219,0.8658008658008659,4.363636363636364,0.11688311688311687,0.19580419580419547,1.2727272727272727,0.6363636363636364,0.8311688311688312,0.2077922077922078,0.004329004329004321
#gusman,0.12121212121212122,5.4556277056277045,3.3409090909090917,0.7272727272727273,0.11688311688311687,25.484848484848484,0.11421911421911425,0.24242424242424243,0.12121212121212122,0.48484848484848486,0.12121212121212122,0.36363636363636365
#zamore,0.3939393939393939,0.021312021312021274,0.5967365967365972,0.05594405594405598,0.195804195804196,0.11421911421911425,12.121212121212121,1.864801864801865,0.9324009324009325,1.5757575757575757,0.3939393939393939,0.02797202797202799
#americain,0.06060606060606061,0.4242424242424243,0.5454545454545454,0.36363636363636365,1.2727272727272727,0.24242424242424243,1.864801864801865,29.12121212121212,0.06060606060606061,0.24242424242424243,0.06060606060606061,0.18181818181818182
#garde,0.030303030303030304,0.21212121212121215,0.2727272727272727,3.681818181818181,0.6363636363636364,0.12121212121212122,0.9324009324009325,0.06060606060606061,31.03030303030303,0.12121212121212122,0.030303030303030304,0.09090909090909091
#emire,0.12121212121212122,0.8484848484848486,1.0909090909090908,0.7272727272727273,0.8311688311688312,0.48484848484848486,1.5757575757575757,0.24242424242424243,0.12121212121212122,25.484848484848484,6.371212121212121,0.36363636363636365
#cephane,0.030303030303030304,0.21212121212121215,0.2727272727272727,0.18181818181818182,0.2077922077922078,0.12121212121212122,0.3939393939393939,0.06060606060606061,0.030303030303030304,6.371212121212121,31.03030303030303,0.09090909090909091
#alonze,0.09090909090909091,0.2077922077922078,0.040404040404040435,0.5454545454545454,0.004329004329004321,0.36363636363636365,0.027972027972027923,0.18181818181818182,0.09090909090909091,0.36363636363636365,0.09090909090909091,27.272727272727277
Successions,#don-alvares,#don-gusman,#alvares,#monteze,#alzire,#gusman,#zamore,#americain,#garde,#emire,#cephane,#alonze
#don-alvares,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#don-gusman,0.14285714285714285,0.0,0.38095238095238093,0.0,0.23809523809523808,0.0,0.19047619047619047,0.0,0.0,0.0,0.0,0.047619047619047616
#alvares,0.0,0.2727272727272727,0.030303030303030304,0.030303030303030304,0.24242424242424243,0.030303030303030304,0.3939393939393939,0.0,0.0,0.0,0.0,0.0
#monteze,0.0,0.0,0.09090909090909091,0.045454545454545456,0.3181818181818182,0.0,0.5,0.0,0.045454545454545456,0.0,0.0,0.0
#alzire,0.0,0.09230769230769231,0.03076923076923077,0.12307692307692308,0.09230769230769231,0.015384615384615385,0.46153846153846156,0.0,0.0,0.12307692307692308,0.03076923076923077,0.03076923076923077
#gusman,0.0,0.0,0.25,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#zamore,0.0,0.046153846153846156,0.24615384615384617,0.18461538461538463,0.4153846153846154,0.03076923076923077,0.03076923076923077,0.03076923076923077,0.0,0.0,0.0,0.015384615384615385
#americain,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#americain,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#emire,0.0,0.1111111111111111,0.0,0.0,0.7777777777777778,0.0,0.0,0.0,0.0,0.0,0.1111111111111111,0.0
#cephane,0.0,0.0,0.0,0.0,0.6666666666666666,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.0
#alonze,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0
