VALEUR,#brutus,#valerius,#octavius,#titus,#tiberinus,#marcellus,#valerie,#plautine,#aquilius,#aquilie,#albine,#un-garde
Fréquences (scènes),0.3888888888888889,0.19444444444444445,0.05555555555555555,0.3611111111111111,0.1111111111111111,0.08333333333333333,0.3611111111111111,0.1111111111111111,0.08333333333333333,0.2222222222222222,0.05555555555555555,0.027777777777777776
Fréquences(répliques),0.21814791796146674,0.05966438781852082,0.05904288377874456,0.2038533250466128,0.05531385954008701,0.01678060907395898,0.13673088875077688,0.014294592914853946,0.07955251709136109,0.15226848974518334,0.0037290242386575512,0.0006215040397762585
Confrontation,0.20454545454545456,0.11363636363636363,0.03409090909090909,0.14772727272727273,0.06818181818181818,0.03409090909090909,0.19318181818181818,0.056818181818181816,0.03409090909090909,0.07954545454545454,0.022727272727272728,0.011363636363636364
Déviations,#brutus,#valerius,#octavius,#titus,#tiberinus,#marcellus,#valerie,#plautine,#aquilius,#aquilie,#albine,#un-garde
#brutus,13.444444444444445,1.9058956916099772,0.06349206349206356,0.8357753357753356,0.12698412698412712,1.1666666666666665,0.17643467643467653,1.5555555555555551,1.1666666666666665,3.1111111111111103,0.7777777777777776,0.9603174603174606
#valerius,1.9058956916099772,23.361111111111114,0.9603174603174606,2.5277777777777777,0.7777777777777776,0.5833333333333333,0.08821733821733826,0.06349206349206356,0.5833333333333333,1.5555555555555551,0.3888888888888888,0.1944444444444444
#octavius,0.06349206349206349,0.9603174603174605,32.111111111111114,0.7222222222222222,0.2222222222222222,0.16666666666666666,0.7222222222222222,0.2222222222222222,4.166666666666668,0.4444444444444444,0.1111111111111111,0.05555555555555555
#titus,0.8357753357753356,2.5277777777777777,0.7222222222222222,14.694444444444443,0.2136752136752137,0.7756410256410258,1.5465154503616043,1.4444444444444444,0.006410256410256399,0.004273504273504277,0.7222222222222222,0.3611111111111111
#tiberinus,0.12698412698412698,0.7777777777777778,0.2222222222222222,0.2136752136752137,28.444444444444443,0.3333333333333333,0.13675213675213674,0.4444444444444444,0.3333333333333333,0.013888888888888902,0.2222222222222222,0.1111111111111111
#marcellus,1.1666666666666667,0.5833333333333334,0.16666666666666666,0.7756410256410258,0.3333333333333333,30.25,0.006410256410256399,0.3333333333333333,0.25,0.6666666666666666,0.16666666666666666,0.08333333333333333
#valerie,0.17643467643467653,0.08821733821733826,0.7222222222222222,1.5465154503616043,0.13675213675213674,0.006410256410256399,14.694444444444443,4.52136752136752,1.0833333333333333,2.888888888888889,0.7222222222222222,0.3611111111111111
#plautine,1.5555555555555556,0.06349206349206349,0.2222222222222222,1.4444444444444444,0.4444444444444444,0.3333333333333333,4.52136752136752,28.444444444444443,0.3333333333333333,0.8888888888888888,0.2222222222222222,0.1111111111111111
#aquilius,1.1666666666666667,0.5833333333333334,4.166666666666668,0.006410256410256399,0.3333333333333333,0.25,1.0833333333333333,0.3333333333333333,30.25,0.1666666666666667,0.16666666666666666,0.08333333333333333
#aquilie,3.111111111111111,1.5555555555555556,0.4444444444444444,0.004273504273504277,0.013888888888888902,0.6666666666666666,2.888888888888889,0.8888888888888888,0.1666666666666667,21.77777777777778,5.444444444444445,0.2222222222222222
#albine,0.7777777777777778,0.3888888888888889,0.1111111111111111,0.7222222222222222,0.2222222222222222,0.16666666666666666,0.7222222222222222,0.2222222222222222,0.16666666666666666,5.444444444444445,32.111111111111114,0.05555555555555555
#un-garde,0.9603174603174605,0.19444444444444445,0.05555555555555555,0.3611111111111111,0.1111111111111111,0.08333333333333333,0.3611111111111111,0.1111111111111111,0.08333333333333333,0.2222222222222222,0.05555555555555555,34.02777777777778
Successions,#brutus,#valerius,#octavius,#titus,#tiberinus,#marcellus,#valerie,#plautine,#aquilius,#aquilie,#albine,#un-garde
#brutus,0.10204081632653061,0.1836734693877551,0.08163265306122448,0.2857142857142857,0.08163265306122448,0.0,0.24489795918367346,0.0,0.0,0.0,0.0,0.02040816326530612
#valerius,0.7857142857142857,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.07142857142857142,0.0,0.0,0.0,0.0
#octavius,0.3333333333333333,0.1111111111111111,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.4444444444444444,0.0,0.0,0.0
#titus,0.2982456140350877,0.0,0.0,0.03508771929824561,0.07017543859649122,0.05263157894736842,0.07017543859649122,0.0,0.08771929824561403,0.38596491228070173,0.0,0.0
#tiberinus,0.42857142857142855,0.0,0.0,0.21428571428571427,0.0,0.0,0.0,0.0,0.0,0.2857142857142857,0.07142857142857142,0.0
#marcellus,0.0,0.0,0.0,0.6,0.0,0.0,0.4,0.0,0.0,0.0,0.0,0.0
#valerie,0.23333333333333334,0.06666666666666667,0.0,0.3,0.03333333333333333,0.06666666666666667,0.03333333333333333,0.26666666666666666,0.0,0.0,0.0,0.0
#plautine,0.0,0.1111111111111111,0.0,0.0,0.0,0.0,0.8888888888888888,0.0,0.0,0.0,0.0,0.0
#aquilius,0.0,0.0,0.26666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.4,0.0,0.0
#aquilie,0.0,0.0,0.02702702702702703,0.5675675675675675,0.13513513513513514,0.0,0.0,0.0,0.16216216216216217,0.05405405405405406,0.05405405405405406,0.0
#albine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#un-garde,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
