VALEUR,#ninon,#germain,#saint-pol,#un-domestique,#moliere,#le-laquais,#saint-evremont,#madame-de-lafayette,#madame-de-coulanges,#d-estrees,#tous,#longueville,#delaunay,#ensemble,#madame-de-saint-pol,#le-domestique,#madame-de-saint-pol #longueville #moliere
Fréquences (scènes),0.7647058823529411,0.11764705882352941,0.6470588235294118,0.058823529411764705,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.058823529411764705
Fréquences(répliques),0.5522388059701493,0.0,0.2537313432835821,0.0,0.11940298507462686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.014925373134328358,0.05970149253731343,0.0,0.0
Confrontation,0.15,0.05454545454545454,0.1409090909090909,0.00909090909090909,0.10454545454545454,0.05454545454545454,0.05,0.05,0.05,0.05,0.05,0.08636363636363636,0.05,0.00909090909090909,0.05,0.01818181818181818,0.022727272727272728
Déviations,#ninon,#germain,#saint-pol,#un-domestique,#moliere,#le-laquais,#saint-evremont,#madame-de-lafayette,#madame-de-coulanges,#d-estrees,#tous,#longueville,#delaunay,#ensemble,#madame-de-saint-pol,#le-domestique,#madame-de-saint-pol #longueville #moliere
#ninon,0.9411764705882352,0.1447963800904978,0.020156314273961362,0.0723981900452489,0.3619909502262442,0.1447963800904978,0.0723981900452489,0.0723981900452489,0.0723981900452489,0.0723981900452489,0.0723981900452489,0.0011312217194570057,0.0723981900452489,0.0723981900452489,0.1773755656108598,0.0723981900452489,0.0723981900452489
#germain,0.1447963800904978,13.235294117647058,0.06684491978609627,0.11764705882352941,0.28823529411764703,2.485294117647059,6.617647058823529,6.617647058823529,6.617647058823529,6.617647058823529,6.617647058823529,0.5955882352941178,6.617647058823529,0.11764705882352941,0.5882352941176471,0.11764705882352941,0.11764705882352941
#saint-pol,0.020156314273961192,0.06684491978609627,2.1176470588235285,0.19251336898395718,0.18074866310160426,0.06684491978609627,0.19251336898395718,0.19251336898395718,0.19251336898395718,0.19251336898395718,0.19251336898395718,0.7700534759358287,0.19251336898395718,0.19251336898395718,0.01711229946524065,0.19251336898395718,0.19251336898395718
#un-domestique,0.0723981900452489,0.11764705882352941,0.19251336898395718,15.058823529411764,0.29411764705882354,0.11764705882352941,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.058823529411764705,0.23529411764705882,0.058823529411764705,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.058823529411764705
#moliere,0.3619909502262445,0.28823529411764703,0.18074866310160426,0.29411764705882354,8.470588235294116,0.28823529411764703,1.6941176470588233,1.6941176470588233,1.6941176470588233,1.6941176470588233,1.6941176470588233,0.5764705882352941,1.6941176470588233,0.29411764705882354,0.19058823529411756,1.6941176470588233,1.6941176470588233
#le-laquais,0.1447963800904978,2.485294117647059,0.06684491978609627,0.11764705882352941,0.28823529411764703,13.235294117647058,6.617647058823529,6.617647058823529,6.617647058823529,6.617647058823529,6.617647058823529,0.5955882352941178,6.617647058823529,0.11764705882352941,0.5882352941176471,0.11764705882352941,0.11764705882352941
#saint-evremont,0.0723981900452489,6.617647058823529,0.19251336898395718,0.058823529411764705,1.6941176470588233,6.617647058823529,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,2.485294117647059,15.058823529411764,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.058823529411764705
#saint-evremont,0.0723981900452489,6.617647058823529,0.19251336898395718,0.058823529411764705,1.6941176470588233,6.617647058823529,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,2.485294117647059,15.058823529411764,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.058823529411764705
#saint-evremont,0.0723981900452489,6.617647058823529,0.19251336898395718,0.058823529411764705,1.6941176470588233,6.617647058823529,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,2.485294117647059,15.058823529411764,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.058823529411764705
#saint-evremont,0.0723981900452489,6.617647058823529,0.19251336898395718,0.058823529411764705,1.6941176470588233,6.617647058823529,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,15.058823529411764,2.485294117647059,15.058823529411764,0.058823529411764705,0.29411764705882354,0.058823529411764705,0.058823529411764705
