VALEUR,#le-magister,#lepine,#monsieur-grimaudin,#madame-la-roche,#martine,#angelique,#madame-perrinelle,#le-greffier,#clitandre,#maugrebleu,#colin,#la-suissesse,#le-choeur,#un-procureur,#deux-procureurs,#une-petite-paysanne,#une-paysanne,#le-barbier,#la-meuniere,#le-procureur-fiscal
Fréquences (scènes),0.125,0.75,0.375,0.3333333333333333,0.041666666666666664,0.20833333333333334,0.25,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
Fréquences(répliques),0.05405405405405406,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.18018018018018017,0.13513513513513514,0.12612612612612611,0.10810810810810811,0.08108108108108109,0.0990990990990991,0.05405405405405406,0.05405405405405406,0.05405405405405406
Confrontation,0.045774647887323945,0.13380281690140844,0.0880281690140845,0.07042253521126761,0.01056338028169014,0.056338028169014086,0.0528169014084507,0.07394366197183098,0.06338028169014084,0.08098591549295775,0.007042253521126761,0.035211267605633804,0.035211267605633804,0.035211267605633804,0.035211267605633804,0.035211267605633804,0.035211267605633804,0.035211267605633804,0.035211267605633804,0.035211267605633804
Déviations,#le-magister,#lepine,#monsieur-grimaudin,#madame-la-roche,#martine,#angelique,#madame-perrinelle,#le-greffier,#clitandre,#maugrebleu,#colin,#la-suissesse,#le-choeur,#un-procureur,#deux-procureurs,#une-petite-paysanne,#une-paysanne,#le-barbier,#la-meuniere,#le-procureur-fiscal
#le-magister,18.375,0.027777777777777776,1.125,1.0,0.125,0.625,0.75,0.875,0.017857142857142856,0.225,0.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125,6.125
#lepine,0.027777777777777776,1.5,0.23148148148148148,0.16666666666666666,0.08333333333333333,0.15,0.5,0.2976190476190476,0.5833333333333334,0.016666666666666666,0.08333333333333333,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75,0.75
#monsieur-grimaudin,1.125,0.23148148148148148,9.375,0.0,1.0416666666666667,0.4083333333333333,0.25,2.1488095238095237,1.005952380952381,0.008333333333333333,1.0416666666666667,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375,0.375
#madame-la-roche,1.0,0.16666666666666666,0.0,10.66666666666667,1.3333333333333337,3.2666666666666657,0.0,0.04761904761904766,0.04761904761904766,0.2666666666666667,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.3333333333333333
#martine,0.125,0.08333333333333333,1.0416666666666667,1.3333333333333337,22.04166666666667,0.20833333333333334,0.25,0.2916666666666667,0.2916666666666667,0.20833333333333334,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664,0.041666666666666664
#angelique,0.625,0.15,0.4083333333333333,3.2666666666666675,0.20833333333333331,15.041666666666663,0.05,0.20119047619047606,1.6297619047619043,0.8816666666666665,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331,0.20833333333333331
