VALEUR,#de-villiers,#leandre,#beau-chateau,#le-marquis,#cascaret,#alis,#la-marquise,#alcidon,#cleante
Fréquences (scènes),0.3333333333333333,0.3333333333333333,0.3333333333333333,0.6666666666666666,0.16666666666666666,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.16666666666666666
Fréquences(répliques),0.03365384615384615,0.06009615384615385,0.021634615384615384,0.4375,0.002403846153846154,0.12740384615384615,0.052884615384615384,0.23076923076923078,0.03365384615384615
Confrontation,0.07894736842105263,0.10526315789473684,0.07894736842105263,0.23684210526315788,0.05263157894736842,0.13157894736842105,0.13157894736842105,0.13157894736842105,0.05263157894736842
Déviations,#de-villiers,#leandre,#beau-chateau,#le-marquis,#cascaret,#alis,#la-marquise,#alcidon,#cleante
#de-villiers,2.6666666666666674,0.1666666666666667,2.6666666666666674,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
#leandre,0.1666666666666667,2.6666666666666674,0.1666666666666667,0.0833333333333333,0.3333333333333333,0.6666666666666666,0.1666666666666667,0.6666666666666666,0.3333333333333333
#de-villiers,2.6666666666666674,0.1666666666666667,2.6666666666666674,1.3333333333333333,0.3333333333333333,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333333
#le-marquis,1.3333333333333333,0.0833333333333333,1.3333333333333333,0.6666666666666669,0.1666666666666667,0.3333333333333334,0.3333333333333334,0.3333333333333334,0.1666666666666667
#cascaret,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666667,4.166666666666668,1.3333333333333337,0.3333333333333333,0.3333333333333333,0.16666666666666666
#alis,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333334,1.3333333333333337,2.6666666666666674,0.1666666666666667,0.1666666666666667,0.3333333333333333
#la-marquise,0.6666666666666666,0.1666666666666667,0.6666666666666666,0.3333333333333334,0.3333333333333333,0.1666666666666667,2.6666666666666674,0.1666666666666667,0.3333333333333333
#alcidon,0.6666666666666666,0.6666666666666666,0.6666666666666666,0.3333333333333334,0.3333333333333333,0.1666666666666667,0.1666666666666667,2.6666666666666674,1.3333333333333337
#cleante,0.3333333333333333,0.3333333333333333,0.3333333333333333,0.1666666666666667,0.16666666666666666,0.3333333333333333,0.3333333333333333,1.3333333333333337,4.166666666666668
Successions,#de-villiers,#leandre,#beau-chateau,#le-marquis,#cascaret,#alis,#la-marquise,#alcidon,#cleante
#de-villiers,0.0,0.75,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#leandre,0.3,0.0,0.4,0.0,0.0,0.0,0.3,0.0,0.0
#beau-chateau,0.3333333333333333,0.6666666666666666,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-marquis,0.0,0.0,0.014285714285714285,0.014285714285714285,0.014285714285714285,0.38571428571428573,0.1,0.4,0.07142857142857142
#cascaret,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#cascaret,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#la-marquise,0.0,0.25,0.0,0.5,0.0,0.0,0.0,0.25,0.0
#alcidon,0.0,0.0,0.0,0.96875,0.0,0.0,0.03125,0.0,0.0
#cleante,0.0,0.0,0.0,0.8,0.0,0.0,0.0,0.2,0.0
