VALEUR,#crispin,#valere,#penetrant,#victorine,#orphise,#lise,#victorin,#millepont
Fréquences (scènes),0.75,0.5,0.25,0.5625,0.375,0.25,0.125,0.0625
Fréquences(répliques),0.3946629213483146,0.10252808988764045,0.1151685393258427,0.16292134831460675,0.05758426966292135,0.07724719101123595,0.08286516853932584,0.007022471910112359
Confrontation,0.19230769230769232,0.16923076923076924,0.09230769230769231,0.18461538461538463,0.15384615384615385,0.1,0.06153846153846154,0.046153846153846156
Déviations,#crispin,#valere,#penetrant,#victorine,#orphise,#lise,#victorin,#millepont
#crispin,1.0,0.16666666666666666,0.3333333333333333,0.08333333333333333,0.05555555555555555,0.0,0.16666666666666666,0.08333333333333333
#valere,0.16666666666666666,4.0,0.5,0.5,0.3333333333333333,0.0,0.0,0.5
#penetrant,0.3333333333333333,0.5,9.0,0.027777777777777776,0.16666666666666666,0.0,0.5,0.25
#victorine,0.08333333333333333,0.5,0.027777777777777776,3.0625,0.7824074074074074,0.027777777777777776,0.6805555555555556,0.3402777777777778
#orphise,0.05555555555555555,0.3333333333333333,0.16666666666666666,0.7824074074074074,6.25,1.5,0.08333333333333333,1.0416666666666667
#lise,0.0,0.0,0.0,0.027777777777777776,1.5,9.0,0.5,2.25
#victorin,0.16666666666666666,0.0,0.5,0.6805555555555556,0.08333333333333333,0.5,12.25,6.125
#millepont,0.08333333333333333,0.5,0.25,0.3402777777777778,1.0416666666666667,2.25,6.125,14.0625
Successions,#crispin,#valere,#penetrant,#victorine,#orphise,#lise,#victorin,#millepont
#crispin,0.019417475728155338,0.1553398058252427,0.2912621359223301,0.2815533980582524,0.0,0.11650485436893204,0.13592233009708737,0.0
#valere,0.6,0.0,0.03333333333333333,0.3,0.0,0.0,0.03333333333333333,0.03333333333333333
#penetrant,0.7674418604651163,0.023255813953488372,0.0,0.18604651162790697,0.023255813953488372,0.0,0.0,0.0
#victorine,0.4444444444444444,0.16666666666666666,0.2037037037037037,0.0,0.09259259259259259,0.0,0.09259259259259259,0.0
#orphise,0.05263157894736842,0.10526315789473684,0.05263157894736842,0.0,0.0,0.7368421052631579,0.0,0.05263157894736842
#lise,0.4074074074074074,0.0,0.0,0.07407407407407407,0.48148148148148145,0.0,0.037037037037037035,0.0
#victorin,0.6818181818181818,0.045454545454545456,0.0,0.18181818181818182,0.0,0.045454545454545456,0.0,0.045454545454545456
#millepont,0.0,0.3333333333333333,0.0,0.3333333333333333,0.0,0.0,0.3333333333333333,0.0
