VALEUR,#iphise,#arthesis,#ramesses,#nephte,#palmis,#sosis,#amenophis,#l-officier,#le-grand-pretre
Fréquences (scènes),0.1111111111111111,0.6944444444444444,0.2777777777777778,0.16666666666666666,0.027777777777777776,0.3055555555555556,0.25,0.08333333333333333,0.05555555555555555
Fréquences(répliques),0.04623878536922015,0.3333333333333333,0.12353347135955832,0.1111111111111111,0.012422360248447204,0.14906832298136646,0.20841959972394755,0.0027605244996549345,0.013112491373360938
Confrontation,0.05813953488372093,0.313953488372093,0.09302325581395349,0.08139534883720931,0.011627906976744186,0.1744186046511628,0.16279069767441862,0.05813953488372093,0.046511627906976744
Déviations,#iphise,#arthesis,#ramesses,#nephte,#palmis,#sosis,#amenophis,#l-officier,#le-grand-pretre
#iphise,28.444444444444443,0.5377777777777779,1.1111111111111112,0.6666666666666666,0.1111111111111111,1.2222222222222223,0.0,0.3333333333333333,0.2222222222222222
#arthesis,0.5377777777777779,3.3611111111111116,2.240444444444445,1.1266666666666663,0.6944444444444444,0.053434343434343494,0.09,0.00333333333333331,0.26888888888888896
#ramesses,1.1111111111111112,2.240444444444445,18.77777777777778,0.26666666666666655,0.2777777777777778,0.3646464646464648,0.9,0.03333333333333337,0.5555555555555556
#nephte,0.6666666666666666,1.1266666666666663,0.2666666666666667,25.0,4.166666666666668,0.7424242424242421,1.5,0.5,0.3333333333333333
#palmis,0.1111111111111111,0.6944444444444444,0.2777777777777778,4.166666666666668,34.02777777777778,0.3055555555555556,0.25,0.08333333333333333,0.05555555555555555
#sosis,1.222222222222222,0.053434343434343355,0.3646464646464648,0.7424242424242427,0.3055555555555555,17.361111111111104,0.022727272727272728,0.9166666666666666,0.611111111111111
#amenophis,0.0,0.09,0.9,1.5,0.25,0.022727272727272728,20.25,0.08333333333333333,0.5
#l-officier,0.3333333333333333,0.00333333333333331,0.03333333333333332,0.5,0.08333333333333333,0.9166666666666667,0.08333333333333333,30.25,4.166666666666668
#le-grand-pretre,0.2222222222222222,0.26888888888888896,0.5555555555555556,0.3333333333333333,0.05555555555555555,0.6111111111111112,0.5,4.166666666666668,32.111111111111114
Successions,#iphise,#arthesis,#ramesses,#nephte,#palmis,#sosis,#amenophis,#l-officier,#le-grand-pretre
#iphise,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#arthesis,0.1388888888888889,0.05555555555555555,0.1111111111111111,0.046296296296296294,0.0,0.19444444444444445,0.4074074074074074,0.018518518518518517,0.027777777777777776
#ramesses,0.018518518518518517,0.2037037037037037,0.0,0.12962962962962962,0.0,0.2037037037037037,0.42592592592592593,0.018518518518518517,0.0
#nephte,0.0,0.20588235294117646,0.23529411764705882,0.029411764705882353,0.20588235294117646,0.3235294117647059,0.0,0.0,0.0
#palmis,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#sosis,0.0,0.42105263157894735,0.17543859649122806,0.22807017543859648,0.017543859649122806,0.03508771929824561,0.12280701754385964,0.0,0.0
#amenophis,0.0,0.4936708860759494,0.2911392405063291,0.0,0.0,0.1518987341772152,0.02531645569620253,0.0,0.0379746835443038
#l-officier,0.0,0.6666666666666666,0.3333333333333333,0.0,0.0,0.0,0.0,0.0,0.0
#le-grand-pretre,0.0,0.5,0.0,0.0,0.0,0.0,0.5,0.0,0.0
