VALEUR,#le-baron,#le-conseiller,#irene,#irene #le-baron,#la-gouvernante,#les-turcs,#quatuor-de-turcs,#abdalla,#irene #abdalla,#le-choeur
Fréquences (scènes),0.5714285714285714,0.14285714285714285,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.07142857142857142
Fréquences(répliques),0.27319587628865977,0.10051546391752578,0.3582474226804124,0.01804123711340206,0.03350515463917526,0.002577319587628866,0.02577319587628866,0.17268041237113402,0.010309278350515464,0.005154639175257732
Confrontation,0.21153846153846154,0.057692307692307696,0.28846153846153844,0.038461538461538464,0.057692307692307696,0.038461538461538464,0.057692307692307696,0.17307692307692307,0.038461538461538464,0.038461538461538464
Déviations,#le-baron,#le-conseiller,#irene,#irene #le-baron,#la-gouvernante,#les-turcs,#quatuor-de-turcs,#abdalla,#irene #abdalla,#le-choeur
#le-baron,2.571428571428572,0.642857142857143,0.2539682539682541,0.3214285714285715,1.1428571428571428,0.5714285714285714,0.3214285714285715,0.5952380952380951,0.5714285714285714,0.3214285714285715
#le-conseiller,0.642857142857143,10.285714285714288,0.06349206349206353,0.14285714285714285,0.2857142857142857,0.14285714285714285,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.14285714285714285
#irene,0.25396825396825373,0.06349206349206343,1.7857142857142847,0.1984126984126985,0.396825396825397,0.1984126984126985,0.1984126984126985,0.00529100529100532,0.1984126984126985,0.6428571428571428
#irene #le-baron,0.3214285714285715,0.14285714285714285,0.19841269841269835,12.071428571428573,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.07142857142857142
#la-gouvernante,1.1428571428571428,0.2857142857142857,0.3968253968253967,0.14285714285714285,10.285714285714288,5.142857142857144,0.14285714285714285,0.8571428571428571,0.14285714285714285,0.14285714285714285
#les-turcs,0.5714285714285714,0.14285714285714285,0.19841269841269835,0.07142857142857142,5.142857142857144,12.071428571428573,0.07142857142857142,0.42857142857142855,0.07142857142857142,0.07142857142857142
#quatuor-de-turcs,0.3214285714285715,0.14285714285714285,0.19841269841269835,0.07142857142857142,0.14285714285714285,0.07142857142857142,12.071428571428573,0.7619047619047619,0.07142857142857142,0.07142857142857142
#abdalla,0.5952380952380951,0.8571428571428571,0.005291005291005253,0.42857142857142855,0.8571428571428571,0.42857142857142855,0.7619047619047619,4.571428571428573,0.7619047619047619,0.7619047619047619
#irene #abdalla,0.5714285714285714,0.14285714285714285,0.19841269841269835,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.7619047619047619,12.071428571428573,0.07142857142857142
#le-choeur,0.3214285714285715,0.14285714285714285,0.6428571428571429,0.07142857142857142,0.14285714285714285,0.07142857142857142,0.07142857142857142,0.7619047619047619,0.07142857142857142,12.071428571428573
Successions,#le-baron,#le-conseiller,#irene,#irene #le-baron,#la-gouvernante,#les-turcs,#quatuor-de-turcs,#abdalla,#irene #abdalla,#le-choeur
#le-baron,0.041666666666666664,0.4166666666666667,0.375,0.0,0.0,0.0,0.0,0.125,0.041666666666666664,0.0
#le-conseiller,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#irene,0.3333333333333333,0.08333333333333333,0.041666666666666664,0.041666666666666664,0.16666666666666666,0.0,0.041666666666666664,0.2916666666666667,0.0,0.0
#irene #le-baron,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-gouvernante,0.0,0.0,0.8333333333333334,0.0,0.0,0.16666666666666666,0.0,0.0,0.0,0.0
#les-turcs,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0
#quatuor-de-turcs,0.5,0.0,0.0,0.0,0.5,0.0,0.0,0.0,0.0,0.0
#abdalla,0.15384615384615385,0.0,0.6153846153846154,0.0,0.0,0.0,0.07692307692307693,0.15384615384615385,0.0,0.0
#irene #abdalla,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#le-conseiller,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
