VALEUR,#gabriel,#l-abbesse,#seraphin,#petronille,#appoline,#la-tourriere,#eudalie,#agnes,#theotime,#nicolas,#dorval,#la-fleur,#madame-dorval
Fréquences (scènes),0.125,0.5,0.125,0.5,0.375,0.25,0.5,0.4375,0.375,0.125,0.75,0.0625,0.25
Fréquences(répliques),0.043859649122807015,0.07309941520467836,0.05847953216374269,0.0804093567251462,0.014619883040935672,0.07602339181286549,0.05847953216374269,0.06871345029239766,0.054093567251461985,0.08333333333333333,0.2412280701754386,0.0043859649122807015,0.14327485380116958
Confrontation,0.04395604395604396,0.12637362637362637,0.04395604395604396,0.12637362637362637,0.09340659340659341,0.07692307692307693,0.12362637362637363,0.10164835164835165,0.0989010989010989,0.024725274725274724,0.07692307692307693,0.0027472527472527475,0.06043956043956044
Déviations,#gabriel,#l-abbesse,#seraphin,#petronille,#appoline,#la-tourriere,#eudalie,#agnes,#theotime,#nicolas,#dorval,#la-fleur,#madame-dorval
#gabriel,12.25,1.0,12.25,1.0,0.08333333333333333,4.5,1.0,1.4464285714285714,2.0833333333333335,0.25,1.5,0.125,0.5
#l-abbesse,1.0,4.0,1.0,2.25,1.3333333333333333,2.0,2.25,0.6428571428571429,1.3333333333333333,1.0,0.6666666666666666,0.5,0.5
#gabriel,12.25,1.0,12.25,1.0,0.08333333333333333,4.5,1.0,1.4464285714285714,2.0833333333333335,0.25,1.5,0.125,0.5
#petronille,1.0,2.25,1.0,4.0,3.0,2.0,2.25,0.6428571428571429,1.3333333333333333,0.0,0.6666666666666666,0.5,0.5
#appoline,0.08333333333333333,1.3333333333333333,0.08333333333333333,3.0,6.25,0.16666666666666666,1.3333333333333333,0.7202380952380952,1.3611111111111112,0.08333333333333333,0.5,0.375,0.16666666666666666
#la-tourriere,4.5,2.0,4.5,2.0,0.16666666666666666,9.0,2.0,0.8928571428571429,1.5,0.5,0.3333333333333333,0.25,1.0
#eudalie,1.0,2.25,1.0,2.25,1.3333333333333333,2.0,4.0,0.07142857142857142,0.3333333333333333,1.0,0.16666666666666666,0.5,0.5
#agnes,1.4464285714285714,0.6428571428571429,1.4464285714285714,0.6428571428571429,0.7202380952380952,0.8928571428571429,0.07142857142857142,5.0625,4.339285714285714,0.017857142857142856,0.9642857142857143,0.4375,0.03571428571428571
#theotime,2.0833333333333335,1.3333333333333333,2.0833333333333335,1.3333333333333333,1.3611111111111112,1.5,0.3333333333333333,4.339285714285714,6.25,0.08333333333333333,1.3888888888888888,0.375,0.16666666666666666
#nicolas,0.25,1.0,0.25,0.0,0.08333333333333333,0.5,1.0,0.017857142857142856,0.08333333333333333,12.25,0.16666666666666666,0.125,0.5
#dorval,1.5,0.6666666666666666,1.5,0.6666666666666666,0.5,0.3333333333333333,0.16666666666666666,0.9642857142857143,1.3888888888888888,0.16666666666666666,1.0,0.08333333333333333,0.0
#la-fleur,0.125,0.5,0.125,0.5,0.375,0.25,0.5,0.4375,0.375,0.125,0.08333333333333333,14.0625,0.25
#madame-dorval,0.5,0.5,0.5,0.5,0.16666666666666666,1.0,0.5,0.03571428571428571,0.16666666666666666,0.5,0.0,0.25,9.0
Successions,#gabriel,#l-abbesse,#seraphin,#petronille,#appoline,#la-tourriere,#eudalie,#agnes,#theotime,#nicolas,#dorval,#la-fleur,#madame-dorval
#gabriel,0.0,0.14285714285714285,0.0,0.2857142857142857,0.0,0.14285714285714285,0.2857142857142857,0.0,0.14285714285714285,0.0,0.0,0.0,0.0
#l-abbesse,0.17647058823529413,0.0,0.11764705882352941,0.17647058823529413,0.058823529411764705,0.0,0.17647058823529413,0.0,0.058823529411764705,0.058823529411764705,0.11764705882352941,0.0,0.058823529411764705
#seraphin,0.2857142857142857,0.14285714285714285,0.0,0.14285714285714285,0.0,0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0
#petronille,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.2222222222222222,0.0,0.1111111111111111,0.0,0.05555555555555555,0.1111111111111111,0.1111111111111111,0.0,0.1111111111111111
#appoline,0.0,0.1111111111111111,0.0,0.5555555555555556,0.0,0.0,0.2222222222222222,0.0,0.0,0.0,0.1111111111111111,0.0,0.0
#la-tourriere,0.0,0.2,0.0,0.0,0.1,0.0,0.2,0.0,0.0,0.0,0.5,0.0,0.0
#eudalie,0.1,0.05,0.1,0.25,0.05,0.1,0.0,0.05,0.0,0.15,0.15,0.0,0.0
#agnes,0.0,0.08695652173913043,0.0,0.0,0.043478260869565216,0.043478260869565216,0.0,0.0,0.30434782608695654,0.0,0.4782608695652174,0.0,0.043478260869565216
#theotime,0.0,0.0625,0.0,0.0,0.0,0.0,0.0625,0.625,0.0,0.0,0.25,0.0,0.0
#nicolas,0.0,0.3333333333333333,0.0,0.2222222222222222,0.0,0.0,0.0,0.0,0.1111111111111111,0.0,0.3333333333333333,0.0,0.0
#dorval,0.0,0.03571428571428571,0.0,0.0,0.0,0.08928571428571429,0.07142857142857142,0.21428571428571427,0.05357142857142857,0.05357142857142857,0.017857142857142856,0.03571428571428571,0.42857142857142855
#la-fleur,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#madame-dorval,0.0,0.03571428571428571,0.0,0.0,0.03571428571428571,0.03571428571428571,0.03571428571428571,0.0,0.07142857142857142,0.0,0.7857142857142857,0.0,0.0
