VALEUR,#arlequin,#colombine,#octave,#scaramouche,#monsieur-disanvray,#le-docteur,#leandre,#un-espagnol,#une-espagnolette,#la-comtesse,#le-chevalier,#pierrot,#le-vieillard,#la-femme,#gasconne,#seconde-gasconne,#monsieur-de-colafon,#madame-de-l-architrave,#un-maçon,#la-chanteuse,#monsieur-de-geresol,#monsieur-de-la-cabriole,#le-libraire,#le-peintre,#jaquet,#macine,#un-berger #une-bergere,#une-bergere,#mezzetin
Fréquences (scènes),0.9130434782608695,0.34782608695652173,0.21739130434782608,0.21739130434782608,0.043478260869565216,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
Fréquences(répliques),0.5,0.13063063063063063,0.04504504504504504,0.018018018018018018,0.0,0.0,0.018018018018018018,0.04504504504504504,0.08558558558558559,0.0,0.0,0.0,0.0,0.0,0.05405405405405406,0.0,0.0,0.0,0.0,0.02702702702702703,0.0,0.0,0.0,0.0,0.0,0.0,0.018018018018018018,0.04054054054054054,0.018018018018018018
Confrontation,0.21578947368421053,0.10526315789473684,0.07368421052631578,0.09473684210526316,0.005263157894736842,0.06842105263157895,0.06842105263157895,0.02631578947368421,0.02631578947368421,0.010526315789473684,0.010526315789473684,0.005263157894736842,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.010526315789473684,0.005263157894736842,0.021052631578947368,0.015789473684210527,0.015789473684210527,0.010526315789473684,0.010526315789473684,0.005263157894736842,0.005263157894736842,0.015789473684210527,0.015789473684210527,0.042105263157894736,0.042105263157894736,0.042105263157894736
Déviations,#arlequin,#colombine,#octave,#scaramouche,#monsieur-disanvray,#le-docteur,#leandre,#un-espagnol,#une-espagnolette,#la-comtesse,#le-chevalier,#pierrot,#le-vieillard,#la-femme,#gasconne,#seconde-gasconne,#monsieur-de-colafon,#madame-de-l-architrave,#un-maçon,#la-chanteuse,#monsieur-de-geresol,#monsieur-de-la-cabriole,#le-libraire,#le-peintre,#jaquet,#macine,#un-berger #une-bergere,#une-bergere,#mezzetin
#arlequin,0.17391304347826142,0.012681159420289821,0.5366459627329191,0.5366459627329191,0.008281573498964814,0.01656314699792963,0.01656314699792963,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.01656314699792963,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814,0.008281573498964814
#colombine,0.012681159420289821,9.782608695652174,0.9141304347826088,0.9141304347826088,0.34782608695652173,0.1331521739130435,0.1331521739130435,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.6956521739130435,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,0.34782608695652173,1.2228260869565217,1.2228260869565217,1.2228260869565217,1.2228260869565217,1.2228260869565217
#octave,0.5366459627329191,0.9141304347826088,14.08695652173913,3.366956521739131,0.21739130434782608,0.7347826086956523,0.7347826086956523,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.43478260869565216,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,2.8173913043478267,2.8173913043478267,2.8173913043478267
#scaramouche,0.5366459627329191,0.9141304347826088,3.366956521739131,14.08695652173913,0.21739130434782608,5.634782608695653,5.634782608695653,2.8173913043478267,2.8173913043478267,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.43478260869565216,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,0.21739130434782608,2.8173913043478267,2.8173913043478267,2.8173913043478267
#monsieur-disanvray,0.008281573498964814,0.34782608695652173,0.21739130434782608,0.21739130434782608,21.043478260869566,0.08695652173913043,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
#le-docteur,0.01656314699792963,0.1331521739130435,0.7347826086956523,5.634782608695653,0.08695652173913043,19.17391304347826,19.17391304347826,9.58695652173913,9.58695652173913,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,9.58695652173913,9.58695652173913,9.58695652173913
#le-docteur,0.01656314699792963,0.1331521739130435,0.7347826086956523,5.634782608695653,0.08695652173913043,19.17391304347826,19.17391304347826,9.58695652173913,9.58695652173913,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.17391304347826086,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,0.08695652173913043,9.58695652173913,9.58695652173913,9.58695652173913
#un-espagnol,0.008281573498964814,0.34782608695652173,0.21739130434782608,2.8173913043478267,0.043478260869565216,9.58695652173913,9.58695652173913,21.043478260869566,21.043478260869566,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.08695652173913043,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216,0.043478260869565216
