VALEUR,#marine,#eliante,#crispin,#piracmon,#le-gouverneur,#l-insulaire,#licandre,#grand-pretre #grande-pretresse,#grande-pretresse,#choeur-d-insulaires,#grand-pretre
Fréquences (scènes),0.4,0.3333333333333333,0.4666666666666667,0.26666666666666666,0.6,0.13333333333333333,0.2,0.06666666666666667,0.13333333333333333,0.06666666666666667,0.06666666666666667
Fréquences(répliques),0.1702127659574468,0.09219858156028368,0.2641843971631206,0.13829787234042554,0.1773049645390071,0.010638297872340425,0.06205673758865248,0.008865248226950355,0.03546099290780142,0.0035460992907801418,0.03723404255319149
Confrontation,0.11702127659574468,0.11702127659574468,0.18085106382978725,0.07446808510638298,0.1595744680851064,0.031914893617021274,0.0851063829787234,0.0425531914893617,0.09574468085106383,0.0425531914893617,0.05319148936170213
Déviations,#marine,#eliante,#crispin,#piracmon,#le-gouverneur,#l-insulaire,#licandre,#grand-pretre #grande-pretresse,#grande-pretresse,#choeur-d-insulaires,#grand-pretre
#marine,5.399999999999998,2.0,0.22857142857142848,0.09999999999999995,3.5999999999999996,0.8000000000000002,1.2000000000000002,0.8999999999999999,0.049999999999999975,0.8999999999999999,0.4000000000000001
#eliante,2.0,6.666666666666668,0.04761904761904766,0.0833333333333333,1.3333333333333333,0.6666666666666666,0.0,0.3333333333333333,0.1666666666666667,0.3333333333333333,1.3333333333333337
#crispin,0.2285714285714287,0.04761904761904754,4.266666666666667,0.00952380952380952,0.1523809523809523,0.9333333333333333,0.11428571428571435,0.6095238095238095,1.219047619047619,0.6095238095238095,0.6095238095238095
#piracmon,0.09999999999999995,0.0833333333333333,0.00952380952380952,8.066666666666668,0.06666666666666664,0.5333333333333333,0.8000000000000002,0.26666666666666666,0.5333333333333333,0.26666666666666666,0.26666666666666666
#le-gouverneur,3.6,1.3333333333333333,0.1523809523809523,0.06666666666666664,2.4000000000000012,0.5333333333333334,0.7999999999999999,0.6,0.03333333333333332,0.6,0.2666666666666667
#l-insulaire,0.8000000000000002,0.6666666666666666,0.9333333333333333,0.5333333333333333,0.5333333333333334,11.266666666666667,0.8999999999999999,0.13333333333333333,0.26666666666666666,0.13333333333333333,0.13333333333333333
#licandre,1.2000000000000002,0.0,0.11428571428571424,0.8000000000000002,0.8000000000000003,0.8999999999999999,9.599999999999998,0.20000000000000004,0.8999999999999999,0.20000000000000004,3.2000000000000006
#grand-pretre #grande-pretresse,0.8999999999999999,0.3333333333333333,0.6095238095238095,0.26666666666666666,0.6,0.13333333333333333,0.20000000000000004,13.066666666666668,5.633333333333334,13.066666666666668,0.06666666666666667
#grande-pretresse,0.049999999999999975,0.1666666666666667,1.219047619047619,0.5333333333333333,0.03333333333333332,0.26666666666666666,0.8999999999999999,5.633333333333334,11.266666666666667,5.633333333333334,5.633333333333334
#grand-pretre #grande-pretresse,0.8999999999999999,0.3333333333333333,0.6095238095238095,0.26666666666666666,0.6,0.13333333333333333,0.20000000000000004,13.066666666666668,5.633333333333334,13.066666666666668,0.06666666666666667
#grand-pretre,0.4000000000000001,1.3333333333333337,0.6095238095238095,0.26666666666666666,0.2666666666666667,0.13333333333333333,3.2000000000000006,0.06666666666666667,5.633333333333334,0.06666666666666667,13.066666666666668
Successions,#marine,#eliante,#crispin,#piracmon,#le-gouverneur,#l-insulaire,#licandre,#grand-pretre #grande-pretresse,#grande-pretresse,#choeur-d-insulaires,#grand-pretre
#marine,0.06060606060606061,0.36363636363636365,0.15151515151515152,0.36363636363636365,0.0,0.0,0.0,0.0,0.06060606060606061,0.0,0.0
#eliante,0.5384615384615384,0.0,0.3076923076923077,0.0,0.038461538461538464,0.0,0.038461538461538464,0.0,0.0,0.0,0.07692307692307693
#crispin,0.078125,0.15625,0.015625,0.234375,0.453125,0.0,0.03125,0.0,0.015625,0.015625,0.0
#piracmon,0.3548387096774194,0.06451612903225806,0.3870967741935484,0.0,0.1935483870967742,0.0,0.0,0.0,0.0,0.0,0.0
#le-gouverneur,0.0,0.02040816326530612,0.6122448979591837,0.08163265306122448,0.061224489795918366,0.02040816326530612,0.1836734693877551,0.0,0.0,0.0,0.02040816326530612
#l-insulaire,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#licandre,0.0,0.0,0.3333333333333333,0.0,0.5833333333333334,0.08333333333333333,0.0,0.0,0.0,0.0,0.0
#grand-pretre #grande-pretresse,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#grande-pretresse,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.3333333333333333,0.0,0.3333333333333333,0.3333333333333333
#choeur-d-insulaires,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#grand-pretre,0.0,0.25,0.5,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
