VALEUR,#colin,#thibaut,#galoche,#la-fleche,#louison,#martine,#le-magister,#le-carillonneur,#le-menestrier,#la-nymphe,#pierrot,#pierrot #thibaut,#claudine,#pierrot #claudine
Fréquences (scènes),0.1875,0.625,0.25,0.8125,0.25,0.1875,0.0625,0.125,0.0625,0.0625,0.0625,0.0625,0.0625,0.0625
Fréquences(répliques),0.0,0.42857142857142855,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.1836734693877551,0.24489795918367346,0.04081632653061224,0.061224489795918366,0.04081632653061224
Confrontation,0.04032258064516129,0.20161290322580644,0.07258064516129033,0.20967741935483872,0.04838709677419355,0.07258064516129033,0.03225806451612903,0.06451612903225806,0.03225806451612903,0.03225806451612903,0.04838709677419355,0.04838709677419355,0.04838709677419355,0.04838709677419355
Déviations,#colin,#thibaut,#galoche,#la-fleche,#louison,#martine,#le-magister,#le-carillonneur,#le-menestrier,#la-nymphe,#pierrot,#pierrot #thibaut,#claudine,#pierrot #claudine
#colin,10.5625,0.675,0.08333333333333333,0.8477564102564102,0.75,0.5625,0.1875,0.375,0.1875,0.1875,0.1875,0.1875,0.1875,0.1875
#thibaut,0.675,2.25,0.1,0.0019230769230769232,0.9,0.4083333333333333,0.225,0.45,0.225,0.225,0.225,0.225,0.225,0.225
#galoche,0.08333333333333333,0.1,9.0,0.019230769230769232,1.0,0.75,0.25,0.5,0.25,2.25,0.25,0.25,0.25,0.25
#la-fleche,0.8477564102564102,0.0019230769230769232,0.019230769230769232,0.5625,0.019230769230769232,0.07852564102564102,0.04326923076923077,0.08653846153846154,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.04326923076923077,0.04326923076923077
#louison,0.75,0.9,1.0,0.019230769230769232,9.0,2.0833333333333335,0.25,0.5,0.25,0.25,0.25,0.25,0.25,0.25
#martine,0.5625,0.4083333333333333,0.75,0.07852564102564102,2.0833333333333335,10.5625,0.1875,0.375,0.1875,0.1875,3.5208333333333335,3.5208333333333335,3.5208333333333335,3.5208333333333335
#le-magister,0.1875,0.225,0.25,0.04326923076923077,0.25,0.1875,14.0625,6.125,14.0625,0.0625,0.0625,0.0625,0.0625,0.0625
#le-carillonneur,0.375,0.45,0.5,0.08653846153846154,0.5,0.375,6.125,12.25,6.125,6.125,0.125,0.125,0.125,0.125
#le-magister,0.1875,0.225,0.25,0.04326923076923077,0.25,0.1875,14.0625,6.125,14.0625,0.0625,0.0625,0.0625,0.0625,0.0625
#la-nymphe,0.1875,0.225,2.25,0.04326923076923077,0.25,0.1875,0.0625,6.125,0.0625,14.0625,0.0625,0.0625,0.0625,0.0625
#pierrot,0.1875,0.225,0.25,0.04326923076923077,0.25,3.5208333333333335,0.0625,0.125,0.0625,0.0625,14.0625,14.0625,14.0625,14.0625
#pierrot,0.1875,0.225,0.25,0.04326923076923077,0.25,3.5208333333333335,0.0625,0.125,0.0625,0.0625,14.0625,14.0625,14.0625,14.0625
#pierrot,0.1875,0.225,0.25,0.04326923076923077,0.25,3.5208333333333335,0.0625,0.125,0.0625,0.0625,14.0625,14.0625,14.0625,14.0625
#pierrot,0.1875,0.225,0.25,0.04326923076923077,0.25,3.5208333333333335,0.0625,0.125,0.0625,0.0625,14.0625,14.0625,14.0625,14.0625
Successions,#colin,#thibaut,#galoche,#la-fleche,#louison,#martine,#le-magister,#le-carillonneur,#le-menestrier,#la-nymphe,#pierrot,#pierrot #thibaut,#claudine,#pierrot #claudine
#colin,0.0,0.8571428571428571,0.0,0.14285714285714285,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#thibaut,0.14084507042253522,0.04225352112676056,0.28169014084507044,0.4084507042253521,0.04225352112676056,0.014084507042253521,0.0,0.014084507042253521,0.0,0.014084507042253521,0.04225352112676056,0.0,0.0,0.0
#galoche,0.029411764705882353,0.5882352941176471,0.0,0.38235294117647056,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#la-fleche,0.04477611940298507,0.3880597014925373,0.208955223880597,0.029850746268656716,0.19402985074626866,0.08955223880597014,0.014925373134328358,0.0,0.014925373134328358,0.0,0.0,0.0,0.014925373134328358,0.0
#louison,0.0,0.09375,0.0,0.46875,0.0,0.4375,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#martine,0.047619047619047616,0.0,0.0,0.19047619047619047,0.7619047619047619,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-magister,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-carillonneur,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-menestrier,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0
#le-magister,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#pierrot,0.0,0.5714285714285714,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.14285714285714285,0.14285714285714285,0.14285714285714285
#pierrot #thibaut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#pierrot #thibaut,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0
#pierrot #claudine,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
