VALEUR,#marine,#monsieur-mathieu,#scapin,#valere,#monsieur-grifon,#madame-argante,#leonor,#champagne,#un-venitien,#choeur,#une-musicienne
Fréquences (scènes),0.2962962962962963,0.07407407407407407,0.7037037037037037,0.25925925925925924,0.5925925925925926,0.07407407407407407,0.07407407407407407,0.07407407407407407,0.037037037037037035,0.037037037037037035,0.037037037037037035
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.11764705882352941,0.4117647058823529,0.47058823529411764
Confrontation,0.13114754098360656,0.03278688524590164,0.2459016393442623,0.14754098360655737,0.21311475409836064,0.04918032786885246,0.06557377049180328,0.01639344262295082,0.03278688524590164,0.03278688524590164,0.03278688524590164
Déviations,#marine,#monsieur-mathieu,#scapin,#valere,#monsieur-grifon,#madame-argante,#leonor,#champagne,#un-venitien,#choeur,#une-musicienne
#marine,13.370370370370372,0.28009259259259267,0.07041910331384019,0.4133597883597885,0.11574074074074066,0.28009259259259267,3.342592592592593,0.5925925925925926,0.2962962962962963,0.2962962962962963,0.2962962962962963
#monsieur-mathieu,0.28009259259259267,23.148148148148152,0.11793372319688111,0.44708994708994715,0.028935185185185164,0.14814814814814814,0.14814814814814814,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407
#scapin,0.07041910331384019,0.11793372319688111,2.3703703703703707,0.8732943469785578,0.14083820662768037,0.11793372319688111,0.24951267056530213,0.11793372319688111,0.12475633528265107,0.12475633528265107,0.12475633528265107
#valere,0.4133597883597885,0.44708994708994715,0.8732943469785578,14.814814814814815,0.005291005291005275,0.44708994708994715,4.232804232804233,0.5185185185185185,0.25925925925925924,0.25925925925925924,0.25925925925925924
#monsieur-grifon,0.11574074074074066,0.028935185185185164,0.14083820662768037,0.005291005291005275,4.481481481481483,0.5601851851851853,0.028935185185185164,0.028935185185185164,0.28009259259259267,0.28009259259259267,0.28009259259259267
#madame-argante,0.28009259259259267,0.14814814814814814,0.11793372319688111,0.44708994708994715,0.5601851851851853,23.148148148148152,4.898148148148148,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407
#leonor,3.342592592592593,0.14814814814814814,0.24951267056530213,4.232804232804233,0.028935185185185164,4.898148148148148,23.148148148148152,0.14814814814814814,0.07407407407407407,0.07407407407407407,0.07407407407407407
#champagne,0.5925925925925926,0.14814814814814814,0.11793372319688111,0.5185185185185185,0.028935185185185164,0.14814814814814814,0.14814814814814814,23.148148148148152,0.07407407407407407,0.07407407407407407,0.07407407407407407
#un-venitien,0.2962962962962963,0.07407407407407407,0.12475633528265107,0.25925925925925924,0.28009259259259267,0.07407407407407407,0.07407407407407407,0.07407407407407407,25.03703703703704,25.03703703703704,25.03703703703704
#un-venitien,0.2962962962962963,0.07407407407407407,0.12475633528265107,0.25925925925925924,0.28009259259259267,0.07407407407407407,0.07407407407407407,0.07407407407407407,25.03703703703704,25.03703703703704,25.03703703703704
#un-venitien,0.2962962962962963,0.07407407407407407,0.12475633528265107,0.25925925925925924,0.28009259259259267,0.07407407407407407,0.07407407407407407,0.07407407407407407,25.03703703703704,25.03703703703704,25.03703703703704
Successions,#marine,#monsieur-mathieu,#scapin,#valere,#monsieur-grifon,#madame-argante,#leonor,#champagne,#un-venitien,#choeur,#une-musicienne
#marine,0.0,0.16981132075471697,0.4339622641509434,0.03773584905660377,0.33962264150943394,0.018867924528301886,0.0,0.0,0.0,0.0,0.0
#monsieur-mathieu,0.75,0.0,0.0,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0
#scapin,0.24561403508771928,0.02631578947368421,0.06140350877192982,0.19298245614035087,0.3157894736842105,0.0,0.0,0.14912280701754385,0.008771929824561403,0.0,0.0
#valere,0.022727272727272728,0.0,0.5681818181818182,0.022727272727272728,0.2727272727272727,0.022727272727272728,0.09090909090909091,0.0,0.0,0.0,0.0
#monsieur-grifon,0.15789473684210525,0.0,0.35789473684210527,0.17894736842105263,0.021052631578947368,0.042105263157894736,0.031578947368421054,0.2,0.0,0.0,0.010526315789473684
#madame-argante,0.08333333333333333,0.0,0.25,0.08333333333333333,0.25,0.0,0.3333333333333333,0.0,0.0,0.0,0.0
#leonor,0.0,0.0,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.5454545454545454,0.0,0.0,0.0,0.0,0.0
#champagne,0.0,0.0,0.4722222222222222,0.0,0.5277777777777778,0.0,0.0,0.0,0.0,0.0,0.0
#un-venitien,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#un-venitien,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#une-musicienne,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0
