VALEUR,#marton,#bartolin,#belise,#garbatacase,#celide,#valere,#frontin,#la-comtesse,#clitandre,#jasmin,#la-marquise,#le-caissier,#l-intendante,#eraste,#le-marquis,#choeur,#ensemble,#merlin
Fréquences (scènes),0.7307692307692307,0.4230769230769231,0.7307692307692307,0.15384615384615385,0.3076923076923077,0.15384615384615385,0.11538461538461539,0.4230769230769231,0.34615384615384615,0.038461538461538464,0.2692307692307692,0.038461538461538464,0.038461538461538464,0.15384615384615385,0.07692307692307693,0.038461538461538464,0.0,0.0
Fréquences(répliques),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5268817204301075,0.34408602150537637,0.12903225806451613
Confrontation,0.1337719298245614,0.07675438596491228,0.1513157894736842,0.04824561403508772,0.06140350877192982,0.04824561403508772,0.043859649122807015,0.10964912280701754,0.10087719298245613,0.006578947368421052,0.08333333333333333,0.010964912280701754,0.010964912280701754,0.06140350877192982,0.02850877192982456,0.02412280701754386,0.0,0.0
Déviations,#marton,#bartolin,#belise,#garbatacase,#celide,#valere,#frontin,#la-comtesse,#clitandre,#jasmin,#la-marquise,#le-caissier,#l-intendante,#eraste,#le-marquis,#choeur,#ensemble,#merlin
#marton,1.884615384615386,0.13415531836584466,0.2558065203494563,0.002024291497975694,0.7935222672064773,0.39676113360323867,0.297570850202429,0.0001840264998159722,0.05060728744939267,0.7307692307692308,0.24320416425679567,0.7307692307692308,0.7307692307692308,0.002024291497975694,0.19838056680161933,0.09919028340080967,0.0,0.0
#bartolin,0.13415531836584466,8.653846153846152,0.11501656238498346,0.05594405594405586,1.6800699300699304,0.28321678321678334,0.05710955710955717,0.5877304513668152,0.17132867132867127,0.42307692307692313,0.3641358641358644,0.42307692307692313,0.42307692307692313,0.05594405594405586,0.02797202797202793,0.7867132867132864,0.0,0.0
#belise,0.2558065203494563,0.11501656238498346,1.884615384615386,0.39676113360323867,0.5829959514170043,0.29149797570850217,0.016869095816464272,0.4786529260213472,0.8927125506072877,0.09919028340080967,0.6943319838056684,0.09919028340080967,0.09919028340080967,0.39676113360323867,0.19838056680161933,0.09919028340080967,0.0,0.0
#garbatacase,0.0020242914979757176,0.05594405594405595,0.396761133603239,18.615384615384613,0.48076923076923067,3.115384615384615,5.128205128205127,0.2832167832167832,0.10683760683760682,0.15384615384615385,0.005494505494505487,0.15384615384615385,0.15384615384615385,3.115384615384615,1.5576923076923075,4.653846153846153,0.0,0.0
#celide,0.793522267206478,1.68006993006993,0.5829959514170039,0.48076923076923067,12.46153846153846,2.5432692307692304,1.2564102564102562,0.0437062937062937,0.21367521367521364,0.3076923076923077,0.618131868131868,0.3076923076923077,0.3076923076923077,0.04326923076923079,0.6153846153846154,1.5576923076923075,0.0,0.0
#valere,0.396761133603239,0.2832167832167832,0.29149797570850194,3.115384615384615,2.5432692307692304,18.615384615384613,13.96153846153846,0.2832167832167832,0.10683760683760682,0.15384615384615385,0.005494505494505487,0.15384615384615385,0.15384615384615385,3.115384615384615,1.5576923076923075,4.653846153846153,0.0,0.0
