VALEUR,#monsieur-jovial,#parterre,#loge,#balcon,#heraclite,#catafalcus,#cascaret,#madame-jovial
Fréquences (scènes),1.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.18181818181818182,0.09090909090909091,0.18181818181818182,0.18181818181818182
Fréquences(répliques),0.5206786850477201,0.044538706256627786,0.06362672322375397,0.04029692470837752,0.07635206786850478,0.061505832449628844,0.061505832449628844,0.13149522799575822
Confrontation,0.2826086956521739,0.15217391304347827,0.15217391304347827,0.15217391304347827,0.06521739130434782,0.043478260869565216,0.043478260869565216,0.10869565217391304
Déviations,#monsieur-jovial,#parterre,#loge,#balcon,#heraclite,#catafalcus,#cascaret,#madame-jovial
#monsieur-jovial,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#parterre,0.0,7.363636363636362,7.363636363636362,7.363636363636362,0.36363636363636365,0.18181818181818182,0.36363636363636365,1.1136363636363635
#parterre,0.0,7.363636363636362,7.363636363636362,7.363636363636362,0.36363636363636365,0.18181818181818182,0.36363636363636365,1.1136363636363635
#parterre,0.0,7.363636363636362,7.363636363636362,7.363636363636362,0.36363636363636365,0.18181818181818182,0.36363636363636365,1.1136363636363635
#heraclite,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,7.363636363636362,3.681818181818181,0.36363636363636365,0.36363636363636365
#catafalcus,0.0,0.18181818181818182,0.18181818181818182,0.18181818181818182,3.681818181818181,9.09090909090909,0.18181818181818182,0.18181818181818182
#cascaret,0.0,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.36363636363636365,0.18181818181818182,7.363636363636362,0.36363636363636365
#madame-jovial,0.0,1.1136363636363635,1.1136363636363635,1.1136363636363635,0.36363636363636365,0.18181818181818182,0.36363636363636365,7.363636363636362
Successions,#monsieur-jovial,#parterre,#loge,#balcon,#heraclite,#catafalcus,#cascaret,#madame-jovial
#monsieur-jovial,0.027586206896551724,0.05517241379310345,0.0896551724137931,0.09655172413793103,0.2,0.1310344827586207,0.19310344827586207,0.20689655172413793
#parterre,0.7142857142857143,0.0,0.0,0.2857142857142857,0.0,0.0,0.0,0.0
#loge,0.5416666666666666,0.20833333333333334,0.0,0.16666666666666666,0.0,0.0,0.0,0.08333333333333333
#balcon,0.6086956521739131,0.043478260869565216,0.34782608695652173,0.0,0.0,0.0,0.0,0.0
#heraclite,0.8787878787878788,0.0,0.0,0.0,0.0,0.12121212121212122,0.0,0.0
#catafalcus,0.7916666666666666,0.0,0.0,0.0,0.16666666666666666,0.041666666666666664,0.0,0.0
#cascaret,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
#madame-jovial,0.875,0.0,0.09375,0.03125,0.0,0.0,0.0,0.0
