VALEUR,#madame-gervais,#suzon,#vincent,#madame-mongei,#mongei,#marlot,#le-personnage-de-geolier,#boncour
Fréquences (scènes),0.21428571428571427,0.7857142857142857,0.6428571428571429,0.6428571428571429,0.35714285714285715,0.21428571428571427,0.07142857142857142,0.42857142857142855
Fréquences(répliques),0.06256206554121152,0.2135054617676266,0.2423038728897716,0.14399205561072492,0.10923535253227408,0.08440913604766634,0.003972194637537239,0.1400198609731877
Confrontation,0.07042253521126761,0.16901408450704225,0.19718309859154928,0.176056338028169,0.11971830985915492,0.09154929577464789,0.035211267605633804,0.14084507042253522
Déviations,#madame-gervais,#suzon,#vincent,#madame-mongei,#mongei,#marlot,#le-personnage-de-geolier,#boncour
#madame-gervais,8.642857142857144,0.05411255411255413,0.0026455026455026267,0.0026455026455026267,0.004761904761904758,0.1984126984126985,0.21428571428571427,0.396825396825397
#suzon,0.05411255411255413,0.6428571428571431,0.0007215007215007343,0.16233766233766253,0.21948051948051958,0.05411255411255413,0.7857142857142857,0.10822510822510827
#vincent,0.00264550264550266,0.0007215007215007164,1.7857142857142847,0.007936507936507879,0.19206349206349202,0.5952380952380955,0.1984126984126985,0.3386243386243389
#madame-mongei,0.00264550264550266,0.16233766233766225,0.007936507936507879,1.7857142857142847,0.992063492063492,0.00264550264550266,0.1984126984126985,0.19047619047619033
#mongei,0.004761904761904758,0.21948051948051941,0.19206349206349202,0.992063492063492,5.785714285714286,0.004761904761904758,1.1571428571428575,0.009523809523809516
#marlot,0.1984126984126985,0.05411255411255413,0.5952380952380949,0.0026455026455026267,0.004761904761904758,8.642857142857144,2.880952380952381,2.2857142857142865
#le-personnage-de-geolier,0.21428571428571427,0.7857142857142857,0.19841269841269835,0.19841269841269835,1.1571428571428568,2.880952380952381,12.071428571428573,0.7619047619047619
#boncour,0.396825396825397,0.10822510822510827,0.3386243386243383,0.19047619047619066,0.009523809523809516,2.2857142857142865,0.7619047619047619,4.571428571428573
Successions,#madame-gervais,#suzon,#vincent,#madame-mongei,#mongei,#marlot,#le-personnage-de-geolier,#boncour
#madame-gervais,0.0,0.6,0.0,0.0,0.0,0.0,0.0,0.4
#suzon,0.1076923076923077,0.03076923076923077,0.47692307692307695,0.13846153846153847,0.015384615384615385,0.0,0.0,0.23076923076923078
#vincent,0.0,0.5573770491803278,0.03278688524590164,0.19672131147540983,0.03278688524590164,0.04918032786885246,0.0,0.13114754098360656
#madame-mongei,0.034482758620689655,0.27586206896551724,0.3448275862068966,0.0,0.27586206896551724,0.0,0.0,0.06896551724137931
#mongei,0.0,0.06666666666666667,0.4,0.3333333333333333,0.0,0.13333333333333333,0.06666666666666667,0.0
#marlot,0.0,0.0,0.21052631578947367,0.05263157894736842,0.10526315789473684,0.0,0.0,0.631578947368421
#le-personnage-de-geolier,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0
#boncour,0.07142857142857142,0.3333333333333333,0.19047619047619047,0.047619047619047616,0.047619047619047616,0.30952380952380953,0.0,0.0
